调仓日期,因子公式,选股列表,当日净值
2019-12-31,"sub(div(close, total_turnover), open)","CI005101.INDX,CI005201.INDX,CI005135.INDX,CI005290.INDX,CI005439.INDX",100000.0
2020-01-23,"div(close, open)","CI005101.INDX,CI005201.INDX,CI005439.INDX,CI005135.INDX,CI005290.INDX",98022.01
2020-02-28,"sub(open, div(close, low))","CI005101.INDX,CI005201.INDX,CI005439.INDX,CI005231.INDX,CI005357.INDX",92527.27
2020-03-31,"sub(close, high)","CI005101.INDX,CI005201.INDX,CI005457.INDX,CI005231.INDX,CI005418.INDX",90131.58
2020-04-30,"div(PRICE_POS, min(close, MF_10))","CI005101.INDX,CI005201.INDX,CI005404.INDX,CI005396.INDX,CI005187.INDX",90424.04
2020-05-29,"div(PRICE_POS, close)","CI005511.INDX,CI005439.INDX,CI005576.INDX,CI005398.INDX,CI005396.INDX",87330.27
2020-06-30,"add(div(PRICE_POS, close), PRICE_POS)","CI005101.INDX,CI005201.INDX,CI005397.INDX,CI005439.INDX,CI005187.INDX",90055.13
2020-07-31,"sub(min(PRICE_POS, MF_5), open)","CI005003.INDX,CI005006.INDX,CI005008.INDX,CI005009.INDX,CI005010.INDX",99568.94
2020-08-31,"mul(PRICE_POS, mul(PRICE_POS, REV_5))","CI005574.INDX,CI005516.INDX,CI005575.INDX,CI005357.INDX,CI005199.INDX",100733.13
2020-09-30,"mul(MF_10, mul(REV_5, PRICE_POS))","CI005492.INDX,CI005421.INDX,CI005509.INDX,CI005441.INDX,CI005800.INDX",95850.67
2020-10-30,"mul(PRICE_POS, mul(PRICE_POS, REV_5))","CI005916.INDX,CI005924.INDX,CI005922.INDX,CI005923.INDX,CI005343.INDX",90063.42
2020-11-30,"max(close, div(PRICE_POS, VOL_20))","CI005353.INDX,CI005170.INDX,CI005354.INDX,CI005921.INDX,CI005404.INDX",94324.2
2020-12-31,"mul(close, sub(MF_5, close))","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",92322.78
2021-01-29,"mul(sub(close, MF_10), close)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",93037.51
2021-02-26,"div(close, MF_10)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",90328.96
2021-03-31,"div(sub(VOL_20, close), MOM_20)","CI005160.INDX,CI005020.INDX,CI005255.INDX,CI005905.INDX,CI005022.INDX",79703.63
2021-04-30,"sub(close, VOL_20)","CI005240.INDX,CI005259.INDX,CI005909.INDX,CI005917.INDX,CI005008.INDX",77816.55
2021-05-31,"sub(VOL_20, add(ATR_14, close))","CI005240.INDX,CI005381.INDX,CI005912.INDX,CI005259.INDX,CI005902.INDX",78066.85
2021-06-30,"mul(PRICE_POS, div(close, VOL_20))","CI005924.INDX,CI005922.INDX,CI005902.INDX,CI005923.INDX,CI005010.INDX",77626.27
2021-07-30,"min(min(close, PRICE_POS), volume)","CI005001.INDX,CI005002.INDX,CI005003.INDX,CI005005.INDX,CI005006.INDX",77127.79
2021-08-31,"min(TURN_RATIO, div(PRICE_POS, ATR_14))","CI005001.INDX,CI005002.INDX,CI005003.INDX,CI005004.INDX,CI005005.INDX",92500.57
2021-09-30,"min(PRICE_POS, ATR_14)","CI005001.INDX,CI005002.INDX,CI005004.INDX,CI005011.INDX,CI005015.INDX",90866.07
2021-10-29,"min(PRICE_POS, ATR_14)","CI005006.INDX,CI005010.INDX,CI005011.INDX,CI005012.INDX,CI005013.INDX",87529.98
2021-11-30,"min(PRICE_POS, min(close, MOM_20))","CI005294.INDX,CI005138.INDX,CI005295.INDX,CI005288.INDX,CI005242.INDX",90734.02
2021-12-31,"min(sub(PRICE_POS, MOM_5), MF_10)","CI005020.INDX,CI005109.INDX,CI005160.INDX,CI005220.INDX,CI005221.INDX",87995.09
