date,order_book_id,open,high,low,close,volume,total_turnover,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha009,alpha010,alpha011,alpha012,alpha013,alpha015,alpha016,alpha017,alpha018,alpha020,alpha021,alpha022,alpha023,alpha024,alpha026,alpha027,alpha028,alpha030,alpha031,alpha032,alpha033,alpha034,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha048,alpha049,alpha050,alpha051,alpha053,alpha054,alpha055,alpha057,alpha058,alpha059,alpha060,alpha061,alpha062,alpha063,alpha064,alpha065,alpha066,alpha067,alpha068,alpha069,alpha070,alpha073,alpha074,alpha075,alpha076,alpha077,alpha078,alpha079,alpha080,alpha081,alpha082,alpha083,alpha086,alpha087,alpha089,alpha090,alpha091,alpha092,alpha093,alpha095,alpha098,alpha099,alpha100,alpha101,y
2017/7/3,CI005001.INDX,2358.111,2372.741,2352.679,2371.6,596811400,5172919000,0.852874859,-0.245133478,0.378848201,-9,-0.383354565,0.360342261,-39,-15.6875,15.6875,0.821615293,-15.6875,-0.578072153,-2.010698198,-0.61837655,-0.47775788,-0.337936866,-0.573099678,-1,0.001982653,-22.672,-80.7972,-0.800326731,1,-2.71E-06,0.018045503,-0.249810485,0.002828448,0.583333333,0.277949873,1.330475688,-0.760032034,0.043840285,2276.012765,1.016004415,18,-0.409766397,-0.195761926,-1,0.284466065,-0.016163946,-15.6875,-0.721402214,-15.6875,-0.504899801,-0.916608483,0.191935387,-16467.34564,-5,-7,-0.000503198,FALSE,-1,-0.095353888,-1,-1,-1.923207228,-0.994114323,0,-0.863751763,-0.741481273,-4,0,FALSE,-1,0.777526182,0.513523938,FALSE,-0.417987471,-1,-0.778625954,-78362.25874,0,-11,-4,-0.727395525,-0.815161441,4,12.82176871,TRUE,-0.296296296,0,-0.000774354,0.672332154,0.016458298
2017/7/4,CI005001.INDX,2370.558,2396.642,2369.575,2391.2155,722959200,6076895000,0.852874859,-0.486330679,-0.028803022,-9,-0.402286786,-0.090964665,-46,19.6155,19.6155,0.955475575,-19.6155,-0.853438557,-2.407376126,-0.846956032,-0.447784477,-0.423055242,-0.255041863,-1,-0.011821814,-38.976,-100.4127,-0.800326731,1,-2.39E-06,0.018493042,-0.391507612,0.002906136,0.530405405,0.235989862,1.273719871,-0.809904991,-0.167045333,2299.014222,0.956896552,20,-0.907598427,-0.219681233,-1,0.891096442,-0.017284498,-19.6155,-0.83302583,-19.6155,0.142001007,-0.765572826,-0.115791804,-3449.723469,-6,-8,-0.000468333,FALSE,-1,-0.137493376,-1,-1,-2.933370977,-0.995652295,0,-0.480778164,-0.173472261,-1,0,FALSE,-1,0.780922729,0.41580204,FALSE,-0.351071777,-1,-0.822448403,-76964.63985,0,-13,-5,-0.727395525,-0.802058961,1,11.30427829,TRUE,-0.490857947,-1,-0.000888947,0.763170533,4.25E-05
2017/7/5,CI005001.INDX,2389.875,2399.145,2381.71,2397.9815,613226100,5234673000,0.852874859,-0.771800655,-0.041776852,-9,-0.412692805,-0.047545223,-37,6.766,6.766,0.831497863,6.766,-0.863866967,-2.488738739,-0.854847802,-0.234181789,-0.300450958,-0.21708306,-1,-0.025864935,-26.404,-107.1787,-0.800326731,1,-2.04E-06,0.01895408,-0.437383963,0.002924723,0.636261261,0.413967896,1.417144397,-0.710159077,-0.148917633,2305.04875,0.932167462,51,-0.891284426,0.199238241,-1,0.396424981,-0.006479238,-6.766,-0.83902214,-6.766,-8.927888087,-0.917597937,-0.400322779,-2456.242234,-4,-6,-0.000503832,FALSE,-1,-0.118652465,-1,-1,-1.950028233,-0.954594563,0,-0.358692774,-0.767107857,-1,0,TRUE,-1,0.760357815,0.436207993,FALSE,-0.351071777,-1,-0.875883517,-114308.6847,0,-13,-5,-0.852874859,-0.489471221,1,10.40559441,TRUE,-0.661275199,-1,-0.000786517,0.464928883,-0.005624731
2017/7/6,CI005001.INDX,2392.549,2401.665,2383.41,2399.1576,622892600,5716121000,0.852874859,-0.825089911,-0.177211712,-9,-0.410038002,-0.186158858,-48,1.1761,1.1761,0.757843709,-1.1761,-0.770856821,-1.635698198,-0.746899662,-0.2850286,-0.275930101,-0.149164371,-1,-0.08171948,-5.023,-108.3548,-0.778498944,1,-1.71E-06,0.01985004,-0.415682846,0.002891897,0.650056306,0.512531681,1.445040879,-0.697160274,-0.225560849,2300.752728,0.924882629,18,-0.747465778,-0.200783315,-1,0.400810509,-0.000911105,-1.1761,-0.83902214,-1.1761,0.148189554,-0.850830118,-0.515285498,-2450.68912,-3,-4,-0.000477525,FALSE,-1,-0.042588583,-1,-1,-7.962450593,-0.927862765,0,-0.267608881,-0.843384386,-2,0,TRUE,-1,0.786866686,0.532887963,FALSE,-0.497657567,-1,-0.87192536,-134330.5401,0,-13,-7,-0.727395525,-0.62189986,1,9.972486772,TRUE,-0.778012189,-1,-0.000780677,0.361996056,0.004566144
2017/7/7,CI005001.INDX,2392.757,2402.366,2385.521,2400.1272,558715100,4971851000,0.852874859,-0.777857186,-0.21077196,-9,-0.412375119,-0.169512559,-1,0.9696,0.9696,0.105703451,0.9696,-0.153889515,-0.751407658,-0.104565953,-0.05421794,-0.288895152,-0.122927077,1,-0.012461746,-3.221,-109.3244,-0.748455199,1,-1.61E-06,0.019947131,-0.311350526,0.002867396,0.642736486,0.516192622,1.420501946,-0.704057598,-0.222290121,2304.941452,0.922955975,36,-0.072339952,0.211124706,-1,0.385294006,-0.000856173,-0.9696,-0.83902214,-0.9696,0.151948334,-0.853862442,0.587067242,-2454.671724,-2,-3,-0.000459459,FALSE,-1,0.046809784,-1,-1,-6.942405421,-0.890861636,0,-0.021408533,-0.00080427,-5,0,TRUE,-1,0.789414096,0.729222219,FALSE,-0.705448486,-1,-0.858071812,-104647.3967,0,-14,-12,-0.852874859,-1.82732803,1,9.968970381,TRUE,-0.841303329,-1,-0.000688455,0.437504452,0.004071576
2017/7/10,CI005001.INDX,2398.098,2420.308,2396.114,2410.6325,712310500,6083549000,0.852874859,-0.922575738,-0.59457937,-9,-0.421966738,-0.567924762,-48,10.5053,10.5053,0.840414082,-10.5053,-0.589064262,-0.857826577,-0.600901917,-0.387438373,-0.348365276,-0.201641972,-1,0.019637827,-18.643,-119.8297,0,1,-6.87E-07,0.020442207,-0.362158362,0.002787212,0.591497748,0.349760631,1.326757321,-0.752338865,-0.46356995,2322.774758,0.889633832,19,-0.303321387,-0.243981011,-1,1.706879116,-0.009638918,-10.5053,-0.83902214,-10.5053,-1.312418267,-0.584646925,0.834165526,-2469.63324,-1,-3,-0.000307005,TRUE,-1,0.10751811,-1,-1,-5.910784867,-0.96653207,0,-0.05596805,-6.90E-06,-8,0,TRUE,-1,0.556497175,0.86742358,FALSE,-0.839909808,-1,-0.860899067,-83940.14604,0,-14,-11,-0.727395525,-3.736546561,1,9.993637328,TRUE,-0.842475387,-1,-0.000730823,0.518061583,-0.018438314
2017/7/11,CI005001.INDX,2408.047,2409.764,2389.908,2391.3171,569569200,4953451000,0.629086809,-0.373314418,-0.495489649,-8,-0.41065192,-0.443943723,-1,19.3154,19.3154,0.211453335,-19.3154,-0.701803833,-1.702984234,-0.653325817,-0.037492881,-0.074408117,-0.132985116,1,0.053620859,-7.398,-100.5143,-0.395284708,1,2.57E-06,0.090219239,-0.199925478,0.002745919,0.870495495,0.783722895,1.624197736,-0.122294858,-0.429636387,2312.847085,0.960321716,77,-0.603414265,-0.463193658,-1,1.09396574,0.01918872,19.3154,-0.83902214,19.3154,12.88919359,-0.073483359,-0.246024468,-2607.565485,-1,-2,0.000364674,FALSE,-1,0.249311025,0,-1,-4.869847544,-0.80996146,0,-0.090493381,-0.064560896,-10,0,TRUE,-1,0.264124294,0.90006335,FALSE,-0.705448486,-1,-0.878428046,-87855.86771,0,-14,-7,-0.483934611,-4.335049134,1,10.56107583,TRUE,-0.709563994,-1,-4.45E-05,-0.842519011,-0.004891823
2017/7/12,CI005001.INDX,2391.65,2400.468,2367.859,2384.4935,594321200,5076161000,0.482243517,-0.262621688,-0.473288694,-3,-0.400631527,-0.391915507,-1,6.8236,6.8236,0.77188988,6.8236,-0.716459977,-2.378941441,-0.666009019,-0.123257237,-0.140078918,-0.089546805,1,0.023926547,19.84,-93.6907,-0.395284708,1,-1.98E-07,0.184165373,-0.132006265,0.00270069,0.798423423,0.632779499,1.54124269,-0.141779255,-0.389423206,2298.696678,0.978861789,104,-0.698308651,0.105613834,-1,1.205653734,0.006371791,6.8236,-0.577490775,6.8236,0.710537764,-0.517821022,-0.271461315,-2795.720209,-1,-1,-0.000356161,TRUE,-1,0.45654651,0,-1,-3.707227555,-0.820325528,0,-0.382513463,-2.96E-09,-16,0,TRUE,-1,0.104519774,0.880961813,FALSE,-0.003076085,-1,-0.804636698,-67770.5006,0,-13,-5,-0.425591883,-4.150678521,3,10.01133144,TRUE,-0.225269573,-1,-0.000542709,-0.219457222,0.010635089
2017/7/13,CI005001.INDX,2384.51,2410.914,2381.423,2410.1125,697886500,5985473000,0.332581736,-0.519941856,-0.20594057,-4,-0.416509572,-0.150547785,-21,-25.619,-25.619,0.285219006,-25.619,-0.760146561,-2.257601351,-0.689120631,-0.423961046,-0.466459977,-0.141634447,-1,-0.021002766,-1.15,-119.3097,-0.395284708,1,-4.01E-06,0.186925175,-0.268441408,0.002654741,0.50365991,0.178822867,1.248003747,-0.199490081,-0.272003649,2310.357421,0.890608875,126,-0.760785902,-0.445313965,-1,1.129762467,-0.023638903,-25.619,-0.538284133,-25.619,-0.072386204,-0.922237218,-0.273512431,-2977.699544,-1,-1,-0.000707477,TRUE,-1,0.436668321,-1,0,-2.24957651,-0.976978272,0,-0.051742344,-0.00187166,-17,0,TRUE,-1,0.126177024,0.896061876,FALSE,-6.51E-05,-1,-0.761945151,-71523.41762,0,-11,-5,-0.488580511,-4.273748245,5,7.41502308,TRUE,0.18448195,-1,-0.000897018,0.868116777,0.007370693
2017/7/14,CI005001.INDX,2403.279,2415.005,2395.095,2409.8995,607930300,4961641000,0.126691094,-0.629857985,0.248609435,-8,-0.425212019,0.264534897,-1,0.213,0.213,0.773715429,-0.213,-0.751972943,-1.984515766,-0.642897407,-0.087444071,-0.298478016,-0.163987305,-1,-0.121807734,-14.537,-119.0967,-0.275838642,1,-1.36E-06,0.188046665,1.56727931,0.002729371,0.650619369,0.537313433,1.452515911,-0.629543758,-0.121891321,2323.414103,0.893284748,96,-0.591842531,-0.450256719,-1,1.29842106,0.00026527,0.213,-0.646217712,0.213,0.284557993,-0.733413305,-0.280245144,-3124.382399,-3,-3,-0.000614255,TRUE,0,0.372736104,-1,0,-1.184076793,-0.98387935,0,-0.002732573,-1.73E-17,-12,0,TRUE,-1,0.29519774,0.912204633,FALSE,-0.351071777,-1,-0.824144755,-141176.3209,0,-10,-2,-0.338216325,-4.196537202,7,5.902296451,TRUE,0.404125645,-1,-0.000675656,0.332504646,0.010486495
