Alpha,平均IC,IC标准差,ICIR,IC胜率,显著IC胜率(p<0.05),自相关性,综合得分,排名
alpha047,-0.0291935161334589,0.3990546987406931,-0.0731566780834447,0.470724907063197,0.1050185873605948,0.0061783240738783,10.4,1
alpha028,-0.0129016669660192,0.4001244301256976,-0.0322441370599795,0.4871577758961332,0.1199548405306237,-0.0229241817564384,13.2,2
alpha033,-0.0154640224606871,0.3979952715467046,-0.0388547894063923,0.4809483488569009,0.1140276601749929,-0.0006498445692532,13.700000000000001,3
alpha004,-0.0293349773273567,0.4024791061481084,-0.0728857147594682,0.4643370033508855,0.099569171852561,0.0424834569208344,14.600000000000001,4
alpha005,0.0090266227438949,0.38905687993727,0.0232012932025526,0.5038103302286198,0.0993508326277166,0.016704288560715,19.0,5
alpha101,0.0070895235162805,0.3879493716746974,0.0182743523611766,0.5018346034434096,0.1013265594129269,0.0020479738579972,20.700000000000003,6
alpha014,-0.0196445302121352,0.3716255367667512,-0.0528610880270722,0.4831564374711583,0.0761421319796954,0.021783563280867,21.6,7
alpha054,-0.0097012353778138,0.3912433602359113,-0.0247959105860971,0.4814814814814814,0.0856481481481481,-0.0248774318507595,21.6,8
alpha094,-0.0106103617108825,0.4443248405794707,-0.023879740095208,0.4698979591836735,0.0989795918367346,-0.0151789424201454,21.9,9
alpha038,-0.0113557204350765,0.3813767387488612,-0.0297755979358624,0.4826320248517368,0.0892403275910759,0.0229658842808316,22.1,10
alpha017,-0.0091053257565745,0.3806400187310209,-0.023921094232104,0.4898242368177613,0.0809435707678075,-0.0403051876185523,23.099999999999998,11
alpha078,-0.0161167251421422,0.3836540069332085,-0.0420084890314937,0.4753320683111954,0.0834914611005692,0.056950233612524,23.1,12
alpha062,-0.021284264884567,0.3753574920796383,-0.0567039830926065,0.440809968847352,0.0669781931464174,-0.0444373512257727,23.4,13
alpha001,-0.0079993404122545,0.3774136914136304,-0.0211951516180891,0.491928632115548,0.086661002548853,0.0067633159883623,23.6,14
alpha083,0.0190029141002715,0.3524803993495672,0.0539119739291536,0.5083449235048678,0.0591098748261474,0.0530329501968519,25.2,15
alpha053,-0.0089770917009845,0.3751358717417619,-0.0239302406866712,0.4897959183673469,0.0807050092764378,0.0133590302908213,26.0,16
alpha046,-0.0113471192310665,0.3786618889247671,-0.0299663619787229,0.469681742043551,0.0770519262981574,-0.0146556161526819,26.499999999999996,17
