调仓日期,因子公式,选股列表,当日净值
2019-12-31,"div(sub(close, low), volume)","CI005101.INDX,CI005201.INDX,CI005135.INDX,CI005290.INDX,CI005439.INDX",100000.0
2020-01-15,"sub(close, low)","CI005101.INDX,CI005201.INDX,CI005135.INDX,CI005290.INDX,CI005439.INDX",101008.7
2020-01-23,"sub(close, low)","CI005101.INDX,CI005201.INDX,CI005439.INDX,CI005135.INDX,CI005290.INDX",97998.43
2020-02-14,"div(close, low)","CI005101.INDX,CI005201.INDX,CI005439.INDX,CI005231.INDX,CI005357.INDX",91636.49
2020-02-28,"sub(close, low)","CI005101.INDX,CI005201.INDX,CI005439.INDX,CI005231.INDX,CI005357.INDX",88372.41
2020-03-13,"sub(close, low)","CI005101.INDX,CI005201.INDX,CI005439.INDX,CI005231.INDX,CI005397.INDX",91411.3
2020-03-31,"sub(close, low)","CI005101.INDX,CI005201.INDX,CI005457.INDX,CI005231.INDX,CI005418.INDX",87747.98
2020-04-15,"div(low, close)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005337.INDX",90217.96
2020-04-30,"div(REV_5, div(close, REV_5))","CI005528.INDX,CI005574.INDX,CI005404.INDX,CI005101.INDX,CI005201.INDX",94434.73
2020-05-15,"sub(sub(REV_5, total_turnover), open)","CI005394.INDX,CI005238.INDX,CI005529.INDX,CI005252.INDX,CI005541.INDX",93071.16
2020-05-29,"add(max(close, high), min(REV_5, REV_5))","CI005143.INDX,CI005015.INDX,CI005323.INDX,CI005261.INDX,CI005360.INDX",91223.69
2020-06-15,"div(max(close, REV_5), MF_5)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005581.INDX",93329.81
2020-06-30,"add(max(close, REV_5), high)","CI005156.INDX,CI005324.INDX,CI005145.INDX,CI005306.INDX,CI005286.INDX",99102.64
2020-07-15,"div(max(REV_5, close), MF_5)","CI005324.INDX,CI005156.INDX,CI005497.INDX,CI005145.INDX,CI005306.INDX",112541.87
2020-07-31,"mul(sub(close, MF_5), close)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005337.INDX",111938.51
2020-08-14,"mul(close, div(close, MF_5))","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005337.INDX",111475.73
2020-08-31,"div(close, MF_5)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005337.INDX",116333.66
2020-09-15,"add(high, mul(close, MF_5))","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005019.INDX",111582.32
2020-09-30,"add(total_turnover, close)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",108465.06
2020-10-15,"sub(max(min(-0.271, total_turnover), mul(close, REV_5)), close)","CI005143.INDX,CI005015.INDX,CI005240.INDX,CI005261.INDX,CI005304.INDX",115175.43
2020-10-30,"mul(sub(close, REV_5), close)","CI005022.INDX,CI005165.INDX,CI005345.INDX,CI005255.INDX,CI005294.INDX",113851.41
2020-11-13,"div(sub(REV_5, close), MF_5)","CI005337.INDX,CI005136.INDX,CI005291.INDX,CI005106.INDX,CI005213.INDX",115151.46
2020-11-30,"div(close, MF_5)","CI005156.INDX,CI005324.INDX,CI005145.INDX,CI005306.INDX,CI005019.INDX",122368.34
2020-12-15,"mul(sub(MF_5, close), close)","CI005156.INDX,CI005324.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",126373.03
2020-12-31,"mul(sub(close, MF_5), close)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",139367.41
2021-01-15,"div(close, MF_5)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",142449.33
2021-01-29,"mul(sub(close, MF_5), close)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",142555.67
2021-02-10,"mul(close, sub(MF_5, close))","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",162741.63
2021-02-26,"add(volume, close)","CI005324.INDX,CI005156.INDX,CI005145.INDX,CI005306.INDX,CI005323.INDX",138569.12
2021-03-15,"div(add(REV_5, close), MF_5)","CI005143.INDX,CI005250.INDX,CI005304.INDX,CI005015.INDX,CI005259.INDX",122289.32
2021-03-31,"min(REV_5, mul(high, MF_5))","CI005001.INDX,CI005002.INDX,CI005003.INDX,CI005004.INDX,CI005005.INDX",119691.15
2021-04-15,"mul(REV_5, min(close, REV_5))","CI005140.INDX,CI005297.INDX,CI005325.INDX,CI005394.INDX,CI005479.INDX",121496.73
2021-04-30,"min(min(close, REV_5), open)","CI005001.INDX,CI005003.INDX,CI005006.INDX,CI005011.INDX,CI005015.INDX",127763.2
2021-05-14,"min(REV_5, min(close, volume))","CI005012.INDX,CI005013.INDX,CI005014.INDX,CI005015.INDX,CI005018.INDX",126559.98
2021-05-31,"min(close, mul(MF_5, volume))","CI005001.INDX,CI005002.INDX,CI005003.INDX,CI005004.INDX,CI005005.INDX",134039.27
2021-06-15,"min(REV_5, min(open, close))","CI005001.INDX,CI005002.INDX,CI005005.INDX,CI005010.INDX,CI005011.INDX",132800.84
2021-06-30,"max(close, REV_5)","CI005497.INDX,CI005576.INDX,CI005558.INDX,CI005529.INDX,CI005579.INDX",136862.44
2021-07-15,"max(close, REV_5)","CI005498.INDX,CI005511.INDX,CI005529.INDX,CI005816.INDX,CI005568.INDX",131283.01
2021-07-30,"mul(min(close, low), log(close))","CI005837.INDX,CI005823.INDX,CI005819.INDX,CI005435.INDX,CI005548.INDX",115999.89
2021-08-13,"min(volume, div(close, volume))","CI005001.INDX,CI005002.INDX,CI005003.INDX,CI005004.INDX,CI005005.INDX",120636.16
2021-08-31,"min(mul(MF_5, total_turnover), close)","CI005001.INDX,CI005002.INDX,CI005003.INDX,CI005004.INDX,CI005005.INDX",132699.86
2021-09-15,"min(close, max(REV_5, total_turnover))","CI005247.INDX,CI005106.INDX,CI005213.INDX,CI005253.INDX,CI005318.INDX",144466.01
2021-09-30,"add(REV_5, min(close, volume))","CI005330.INDX,CI005324.INDX,CI005516.INDX,CI005156.INDX,CI005512.INDX",128414.42
2021-10-15,"min(REV_5, close)","CI005136.INDX,CI005291.INDX,CI005106.INDX,CI005213.INDX,CI005286.INDX",128068.93
2021-10-29,"min(mul(high, REV_5), close)","CI005325.INDX,CI005284.INDX,CI005286.INDX,CI005809.INDX,CI005516.INDX",122947.11
2021-11-15,"sub(open, REV_5)","CI005529.INDX,CI005557.INDX,CI005840.INDX,CI005579.INDX,CI005129.INDX",118377.11
2021-11-30,"min(REV_5, sqrt(close))","CI005294.INDX,CI005402.INDX,CI005316.INDX,CI005205.INDX,CI005242.INDX",115495.43
2021-12-15,"min(close, sub(div(low, close), abs(total_turnover)))","CI005398.INDX,CI005925.INDX,CI005195.INDX,CI005208.INDX,CI005173.INDX",111178.16
2021-12-31,"sub(max(close, total_turnover), REV_5)","CI005529.INDX,CI005504.INDX,CI005499.INDX,CI005558.INDX,CI005424.INDX",110243.66
