指标名称,中信行业指数:家电,中信行业指数:房地产,中信行业指数:建筑,中信行业指数:煤炭,中信行业指数:电力设备及新能源,中信行业指数:汽车,中信行业指数:基础化工,中信行业指数:银行,中信行业指数:电子,中信行业指数:非银行金融,中信行业指数:石油石化,中信行业指数:钢铁,中信行业指数:建材,中信行业指数:电力及公用事业,中信行业指数:有色金属,中信行业指数:计算机,中信行业指数:食品饮料,中信行业指数:国防军工,中信行业指数:医药,中信行业指数:消费者服务,中信行业指数:农林牧渔,中信行业指数:传媒,中信行业指数:交通运输,中信行业指数:机械,中信行业指数:纺织服装,中信行业指数:通信,中信行业指数:轻工制造,中信行业指数:综合金融,中信行业指数:商贸零售,中信行业指数:综合
单位,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点,点
指标ID,M0331615,M0331622,M0331606,M0331601,M0331610,M0331612,M0331605,M0331620,M0331624,M0331621,M0331600,M0331604,M0331607,M0331603,M0331602,M0331626,M0331618,M0331611,M0331617,M0331614,M0331619,M0331627,M0331623,M0331609,M0331616,M0331625,M0331608,M0331629,M0331613,M0331628
2015-01-05,6209.8105,6067.4823,4117.8426,1991.8007,4692.1354,5410.4732,3545.8883,5929.7783,3393.9177,10661.6828,2543.7518,1871.9054,4537.592,3176.6083,4839.1735,4054.0681,6991.1464,7331.3392,6917.435,4561.7877,3938.436,4162.0351,2100.4829,4979.0606,3133.367,2980.1821,2570.8713,,5016.1621,4276.5233
2015-01-06,6399.3503,5875.063,4105.9158,1988.4309,4825.561,5564.1394,3600.8596,5861.9902,3485.0633,10462.7045,2512.4722,1843.8431,4529.6758,3193.1359,4791.9932,4224.6766,6984.7957,7658.5993,7147.4341,4718.5282,3998.5047,4351.701,2163.3049,5076.7778,3169.4617,3062.166,2619.9058,,5031.5008,4294.3189
2015-01-07,6370.1157,5883.7885,4128.2088,1989.1665,4847.2706,5534.8588,3617.334,5784.2024,3464.6757,10681.1308,2542.4927,1853.424,4517.2691,3191.6389,4876.7168,4222.3358,6874.8322,7554.1919,7081.6089,4695.0648,4012.811,4306.322,2153.111,5132.9225,3184.8083,3054.8213,2642.6633,,5058.076,4304.8869
2015-01-08,6348.6917,5720.449,3949.0778,1960.2027,4839.5318,5514.8535,3630.4167,5571.0736,3466.5528,10316.3444,2498.9833,1800.362,4459.8023,3111.0724,4746.3853,4270.5741,6890.6739,7493.9531,7077.3377,4635.086,4043.8295,4323.724,2113.3234,5133.3856,3176.9915,3062.3553,2644.9015,,5000.6503,4265.672
2015-01-09,6256.1167,5651.4337,3950.7259,1908.0821,4766.0305,5453.2624,3591.2243,5633.1738,3466.7226,10398.9247,2470.5571,1777.7953,4432.9585,3051.0857,4684.1937,4319.1611,6835.5849,7346.4806,7040.7859,4606.8806,3988.432,4328.9567,2083.8566,5144.7654,3151.0016,3030.9109,2626.46,,4922.7989,4196.1775
2015-01-12,6342.3545,5517.0657,3809.3414,1853.272,4708.8806,5509.5742,3573.0389,5560.222,3448.3461,10370.0989,2411.1466,1719.7238,4339.2824,2957.6319,4604.7274,4427.5936,6766.0241,7090.8226,7040.6465,4626.5932,3946.2401,4416.4095,2035.9391,5007.1608,3092.3931,3004.2132,2592.0429,,4840.8194,4059.2655
2015-01-13,6527.9961,5530.8057,3834.6704,1850.9576,4808.82,5605.9558,3626.7131,5526.0989,3545.4166,10161.4899,2425.7135,1727.7979,4376.2447,2971.6602,4605.4483,4618.4843,6765.2551,7234.8882,7140.6665,4676.494,3980.041,4489.0182,2044.242,5085.5581,3114.5125,3076.586,2626.4747,,4887.9684,4103.8937
2015-01-14,6405.7512,5552.8914,3802.8516,1816.4282,4822.6306,5514.3385,3601.3629,5621.0258,3519.3167,10207.0296,2403.9759,1705.5964,4357.7949,2959.0064,4486.4198,4578.4831,6654.1543,7295.111,7125.8404,4647.5673,3983.9044,4439.3381,2006.9633,5036.0199,3089.7117,3043.4458,2615.4694,,4863.9592,4099.8016
