代码,简称,日期,开盘价,最高价,最低价,收盘价,成交量(股),
CI005019.WI,食品饮料(中信),2015-01-05,6688.3677,6996.6295,6668.947,6991.1464,1031509760,
CI005019.WI,食品饮料(中信),2015-01-06,6928.6486,7048.8597,6903.6003,6984.7957,948290240,
CI005019.WI,食品饮料(中信),2015-01-07,6947.8366,7017.0826,6814.9021,6874.8322,773181640,
CI005019.WI,食品饮料(中信),2015-01-08,6881.4541,6957.8741,6823.2588,6890.6739,959989548,
CI005019.WI,食品饮料(中信),2015-01-09,6867.2052,6992.2576,6832.0848,6835.5849,999206446,
CI005019.WI,食品饮料(中信),2015-01-12,6797.029,6827.7468,6699.2595,6766.0241,869990061,
CI005019.WI,食品饮料(中信),2015-01-13,6776.063,6823.9263,6733.5467,6765.2551,578079492,
CI005019.WI,食品饮料(中信),2015-01-14,6775.5981,6788.1903,6629.9493,6654.1543,667310596,
CI005019.WI,食品饮料(中信),2015-01-15,6652.4773,6716.5451,6607.7347,6716.5028,534318953,
CI005019.WI,食品饮料(中信),2015-01-16,6731.1382,6785.0119,6713.8857,6766.3659,630580177,
CI005019.WI,食品饮料(中信),2015-01-19,6585.2746,6691.2186,6338.2092,6424.8821,825264187,
CI005019.WI,食品饮料(中信),2015-01-20,6459.7032,6601.9652,6459.7032,6579.3727,657077980,
CI005019.WI,食品饮料(中信),2015-01-21,6597.8202,6733.9622,6587.9318,6733.9332,697408067,
CI005019.WI,食品饮料(中信),2015-01-22,6740.2535,6780.6633,6681.3512,6737.0639,620061082,
CI005019.WI,食品饮料(中信),2015-01-23,6726.5786,6756.8084,6646.1533,6676.9456,680963481,
CI005019.WI,食品饮料(中信),2015-01-26,6680.4502,6815.2681,6674.1659,6807.9752,675070973,
CI005019.WI,食品饮料(中信),2015-01-27,6815.5045,6829.2804,6691.0526,6783.5513,730686040,
CI005019.WI,食品饮料(中信),2015-01-28,6743.8972,6784.8607,6692.0827,6703.4165,549515663,
CI005019.WI,食品饮料(中信),2015-01-29,6647.321,6676.0851,6594.5474,6631.1746,475059596,
CI005019.WI,食品饮料(中信),2015-01-30,6653.1802,6710.4439,6603.4886,6619.1966,480355531,
CI005019.WI,食品饮料(中信),2015-02-02,6550.2886,6572.9358,6515.2666,6525.6499,514038164,
CI005019.WI,食品饮料(中信),2015-02-03,6581.6971,6624.8602,6553.061,6624.8602,491466983,
CI005019.WI,食品饮料(中信),2015-02-04,6639.5606,6701.9222,6587.7792,6593.0382,451304951,
CI005019.WI,食品饮料(中信),2015-02-05,6644.9224,6656.5967,6523.0196,6523.0196,500675223,
CI005019.WI,食品饮料(中信),2015-02-06,6519.9055,6551.6585,6394.0443,6420.1881,470388947,
CI005019.WI,食品饮料(中信),2015-02-09,6426.2106,6571.1319,6424.5431,6562.4173,418847141,
CI005019.WI,食品饮料(中信),2015-02-10,6578.8067,6628.306,6578.8067,6617.3734,423391782,
CI005019.WI,食品饮料(中信),2015-02-11,6616.4806,6642.9655,6609.3499,6635.2446,358078658,
CI005019.WI,食品饮料(中信),2015-02-12,6643.7312,6700.292,6635.7585,6693.9612,498684736,
CI005019.WI,食品饮料(中信),2015-02-13,6718.8702,6787.8187,6706.0202,6718.6249,589797658,
CI005019.WI,食品饮料(中信),2015-02-16,6728.825,6751.8009,6703.8782,6747.2257,490033204,
CI005019.WI,食品饮料(中信),2015-02-17,6761.706,6770.0628,6718.9394,6724.4076,485197799,
CI005019.WI,食品饮料(中信),2015-02-25,6733.9612,6734.5016,6648.9448,6679.0572,510851636,
CI005019.WI,食品饮料(中信),2015-02-26,6672.5422,6793.6318,6666.5706,6778.4311,472847031,
CI005019.WI,食品饮料(中信),2015-02-27,6784.4758,6855.3995,6783.0105,6822.4048,558750682,
CI005019.WI,食品饮料(中信),2015-03-02,6830.8484,6837.3043,6757.4492,6826.6625,727688057,
CI005019.WI,食品饮料(中信),2015-03-03,6798.6526,6807.8235,6727.212,6733.1316,854559639,
CI005019.WI,食品饮料(中信),2015-03-04,6753.203,6815.1192,6743.5022,6813.6234,838701926,
CI005019.WI,食品饮料(中信),2015-03-05,6787.3022,6805.9819,6742.8605,6788.4476,979865506,
CI005019.WI,食品饮料(中信),2015-03-06,6801.7841,6823.3661,6777.8697,6785.0352,842109993,
CI005019.WI,食品饮料(中信),2015-03-09,6771.7597,6903.6595,6738.3912,6899.9813,772701173,
CI005019.WI,食品饮料(中信),2015-03-10,6893.5609,6904.9793,6864.8859,6875.7963,785227346,
