代码,简称,日期,开盘价,最高价,最低价,收盘价,成交量(股),
CI005841.WI,通讯工程服务(中信),2017-01-03,0,0,0,2059.4292,0,
CI005841.WI,通讯工程服务(中信),2017-01-04,0,0,0,2089.291,0,
CI005841.WI,通讯工程服务(中信),2017-01-05,0,0,0,2084.2662,0,
CI005841.WI,通讯工程服务(中信),2017-01-06,0,0,0,2060.4056,0,
CI005841.WI,通讯工程服务(中信),2017-01-09,0,0,0,2067.4583,0,
CI005841.WI,通讯工程服务(中信),2017-01-10,0,0,0,2071.2831,0,
CI005841.WI,通讯工程服务(中信),2017-01-11,0,0,0,2045.709,0,
CI005841.WI,通讯工程服务(中信),2017-01-12,0,0,0,2017.7421,0,
CI005841.WI,通讯工程服务(中信),2017-01-13,0,0,0,1983.6866,0,
CI005841.WI,通讯工程服务(中信),2017-01-16,0,0,0,1876.2085,0,
CI005841.WI,通讯工程服务(中信),2017-01-17,0,0,0,1906.4304,0,
CI005841.WI,通讯工程服务(中信),2017-01-18,0,0,0,1890.8835,0,
CI005841.WI,通讯工程服务(中信),2017-01-19,0,0,0,1875.643,0,
CI005841.WI,通讯工程服务(中信),2017-01-20,0,0,0,1918.9722,0,
CI005841.WI,通讯工程服务(中信),2017-01-23,0,0,0,1926.51,0,
CI005841.WI,通讯工程服务(中信),2017-01-24,0,0,0,1909.8919,0,
CI005841.WI,通讯工程服务(中信),2017-01-25,0,0,0,1914.2407,0,
CI005841.WI,通讯工程服务(中信),2017-01-26,0,0,0,1924.1852,0,
CI005841.WI,通讯工程服务(中信),2017-02-03,0,0,0,1922.7498,0,
CI005841.WI,通讯工程服务(中信),2017-02-06,0,0,0,1942.7868,0,
CI005841.WI,通讯工程服务(中信),2017-02-07,0,0,0,1932.4395,0,
CI005841.WI,通讯工程服务(中信),2017-02-08,0,0,0,1950.5793,0,
CI005841.WI,通讯工程服务(中信),2017-02-09,0,0,0,1973.4732,0,
CI005841.WI,通讯工程服务(中信),2017-02-10,0,0,0,1975.4447,0,
CI005841.WI,通讯工程服务(中信),2017-02-13,0,0,0,1988.9094,0,
CI005841.WI,通讯工程服务(中信),2017-02-14,0,0,0,1970.3329,0,
CI005841.WI,通讯工程服务(中信),2017-02-15,0,0,0,1943.2054,0,
CI005841.WI,通讯工程服务(中信),2017-02-16,0,0,0,1938.8701,0,
CI005841.WI,通讯工程服务(中信),2017-02-17,0,0,0,1932.1286,0,
CI005841.WI,通讯工程服务(中信),2017-02-20,0,0,0,1941.2348,0,
CI005841.WI,通讯工程服务(中信),2017-02-21,0,0,0,1971.5413,0,
CI005841.WI,通讯工程服务(中信),2017-02-22,0,0,0,1978.5955,0,
CI005841.WI,通讯工程服务(中信),2017-02-23,0,0,0,1986.7987,0,
CI005841.WI,通讯工程服务(中信),2017-02-24,0,0,0,2040.0529,0,
CI005841.WI,通讯工程服务(中信),2017-02-27,0,0,0,2043.6087,0,
CI005841.WI,通讯工程服务(中信),2017-02-28,0,0,0,2042.5113,0,
CI005841.WI,通讯工程服务(中信),2017-03-01,0,0,0,2049.9359,0,
CI005841.WI,通讯工程服务(中信),2017-03-02,0,0,0,2057.1742,0,
CI005841.WI,通讯工程服务(中信),2017-03-03,0,0,0,2074.043,0,
CI005841.WI,通讯工程服务(中信),2017-03-06,0,0,0,2078.4359,0,
CI005841.WI,通讯工程服务(中信),2017-03-07,0,0,0,2097.4868,0,
CI005841.WI,通讯工程服务(中信),2017-03-08,0,0,0,2084.6292,0,
CI005841.WI,通讯工程服务(中信),2017-03-09,0,0,0,2077.7499,0,
CI005841.WI,通讯工程服务(中信),2017-03-10,0,0,0,2067.8245,0,
CI005841.WI,通讯工程服务(中信),2017-03-13,0,0,0,2105.0515,0,
CI005841.WI,通讯工程服务(中信),2017-03-14,0,0,0,2086.4281,0,
CI005841.WI,通讯工程服务(中信),2017-03-15,0,0,0,2082.3929,0,
CI005841.WI,通讯工程服务(中信),2017-03-16,0,0,0,2099.152,0,
CI005841.WI,通讯工程服务(中信),2017-03-17,0,0,0,2111.5055,0,
CI005841.WI,通讯工程服务(中信),2017-03-20,0,0,0,2129.9706,0,
CI005841.WI,通讯工程服务(中信),2017-03-21,0,0,0,2133.8833,0,
CI005841.WI,通讯工程服务(中信),2017-03-22,0,0,0,2124.6756,0,
CI005841.WI,通讯工程服务(中信),2017-03-23,0,0,0,2107.5826,0,
CI005841.WI,通讯工程服务(中信),2017-03-24,0,0,0,2106.5394,0,
CI005841.WI,通讯工程服务(中信),2017-03-27,0,0,0,2100.0554,0,
CI005841.WI,通讯工程服务(中信),2017-03-28,0,0,0,2083.1731,0,
CI005841.WI,通讯工程服务(中信),2017-03-29,0,0,0,2081.3878,0,
CI005841.WI,通讯工程服务(中信),2017-03-30,0,0,0,2020.3594,0,
CI005841.WI,通讯工程服务(中信),2017-03-31,0,0,0,2027.6873,0,
CI005841.WI,通讯工程服务(中信),2017-04-05,0,0,0,2070.4086,0,
CI005841.WI,通讯工程服务(中信),2017-04-06,0,0,0,2087.386,0,
CI005841.WI,通讯工程服务(中信),2017-04-07,0,0,0,2062.0576,0,
CI005841.WI,通讯工程服务(中信),2017-04-10,0,0,0,2016.5934,0,
CI005841.WI,通讯工程服务(中信),2017-04-11,0,0,0,2031.1007,0,
CI005841.WI,通讯工程服务(中信),2017-04-12,0,0,0,2002.1067,0,
CI005841.WI,通讯工程服务(中信),2017-04-13,0,0,0,2003.8446,0,
CI005841.WI,通讯工程服务(中信),2017-04-14,0,0,0,1947.6508,0,
CI005841.WI,通讯工程服务(中信),2017-04-17,0,0,0,1896.1432,0,
CI005841.WI,通讯工程服务(中信),2017-04-18,0,0,0,1854.1456,0,
CI005841.WI,通讯工程服务(中信),2017-04-19,0,0,0,1827.4218,0,
CI005841.WI,通讯工程服务(中信),2017-04-20,0,0,0,1817.5025,0,
CI005841.WI,通讯工程服务(中信),2017-04-21,0,0,0,1805.0927,0,
CI005841.WI,通讯工程服务(中信),2017-04-24,0,0,0,1768.776,0,
CI005841.WI,通讯工程服务(中信),2017-04-25,0,0,0,1779.5531,0,
CI005841.WI,通讯工程服务(中信),2017-04-26,0,0,0,1790.5615,0,
CI005841.WI,通讯工程服务(中信),2017-04-27,0,0,0,1832.5197,0,
CI005841.WI,通讯工程服务(中信),2017-04-28,0,0,0,1855.1275,0,
CI005841.WI,通讯工程服务(中信),2017-05-02,0,0,0,1858.7747,0,
CI005841.WI,通讯工程服务(中信),2017-05-03,0,0,0,1855.3081,0,
CI005841.WI,通讯工程服务(中信),2017-05-04,0,0,0,1856.1894,0,
CI005841.WI,通讯工程服务(中信),2017-05-05,0,0,0,1826.1637,0,
CI005841.WI,通讯工程服务(中信),2017-05-08,0,0,0,1812.3578,0,
CI005841.WI,通讯工程服务(中信),2017-05-09,0,0,0,1847.7894,0,
CI005841.WI,通讯工程服务(中信),2017-05-10,0,0,0,1814.6918,0,
CI005841.WI,通讯工程服务(中信),2017-05-11,0,0,0,1793.1297,0,
CI005841.WI,通讯工程服务(中信),2017-05-12,0,0,0,1783.5292,0,
CI005841.WI,通讯工程服务(中信),2017-05-15,0,0,0,1781.084,0,
CI005841.WI,通讯工程服务(中信),2017-05-16,0,0,0,1827.328,0,
CI005841.WI,通讯工程服务(中信),2017-05-17,0,0,0,1834.1915,0,
CI005841.WI,通讯工程服务(中信),2017-05-18,0,0,0,1837.5866,0,
CI005841.WI,通讯工程服务(中信),2017-05-19,0,0,0,1823.0421,0,
CI005841.WI,通讯工程服务(中信),2017-05-22,0,0,0,1788.4097,0,
CI005841.WI,通讯工程服务(中信),2017-05-23,0,0,0,1732.9386,0,
CI005841.WI,通讯工程服务(中信),2017-05-24,0,0,0,1741.8667,0,
CI005841.WI,通讯工程服务(中信),2017-05-25,0,0,0,1738.2106,0,
CI005841.WI,通讯工程服务(中信),2017-05-26,0,0,0,1759.7366,0,
CI005841.WI,通讯工程服务(中信),2017-05-31,0,0,0,1763.4532,0,
CI005841.WI,通讯工程服务(中信),2017-06-01,0,0,0,1717.5029,0,
CI005841.WI,通讯工程服务(中信),2017-06-02,0,0,0,1729.929,0,
CI005841.WI,通讯工程服务(中信),2017-06-05,0,0,0,1753.1568,0,
CI005841.WI,通讯工程服务(中信),2017-06-06,0,0,0,1755.9215,0,
CI005841.WI,通讯工程服务(中信),2017-06-07,0,0,0,1794.7046,0,
CI005841.WI,通讯工程服务(中信),2017-06-08,0,0,0,1781.5045,0,
CI005841.WI,通讯工程服务(中信),2017-06-09,0,0,0,1784.0218,0,
CI005841.WI,通讯工程服务(中信),2017-06-12,0,0,0,1733.3966,0,
CI005841.WI,通讯工程服务(中信),2017-06-13,0,0,0,1742.3947,0,
CI005841.WI,通讯工程服务(中信),2017-06-14,0,0,0,1744.6981,0,
CI005841.WI,通讯工程服务(中信),2017-06-15,0,0,0,1777.6257,0,
CI005841.WI,通讯工程服务(中信),2017-06-16,0,0,0,1773.4484,0,
CI005841.WI,通讯工程服务(中信),2017-06-19,0,0,0,1797.7482,0,
CI005841.WI,通讯工程服务(中信),2017-06-20,0,0,0,1813.9675,0,
CI005841.WI,通讯工程服务(中信),2017-06-21,0,0,0,1803.6424,0,
CI005841.WI,通讯工程服务(中信),2017-06-22,0,0,0,1753.2901,0,
CI005841.WI,通讯工程服务(中信),2017-06-23,0,0,0,1758.2449,0,
CI005841.WI,通讯工程服务(中信),2017-06-26,0,0,0,1749.0334,0,
CI005841.WI,通讯工程服务(中信),2017-06-27,0,0,0,1749.7068,0,
CI005841.WI,通讯工程服务(中信),2017-06-28,0,0,0,1728.2816,0,
CI005841.WI,通讯工程服务(中信),2017-06-29,0,0,0,1739.2476,0,
CI005841.WI,通讯工程服务(中信),2017-06-30,0,0,0,1738.6527,0,
CI005841.WI,通讯工程服务(中信),2017-07-03,0,0,0,1753.9111,0,
CI005841.WI,通讯工程服务(中信),2017-07-04,0,0,0,1744.7417,0,
CI005841.WI,通讯工程服务(中信),2017-07-05,0,0,0,1755.1071,0,
CI005841.WI,通讯工程服务(中信),2017-07-06,0,0,0,1758.4454,0,
CI005841.WI,通讯工程服务(中信),2017-07-07,0,0,0,1768.9239,0,
CI005841.WI,通讯工程服务(中信),2017-07-10,0,0,0,1748.2292,0,
CI005841.WI,通讯工程服务(中信),2017-07-11,0,0,0,1704.5008,0,
