旗鷹,酒各,晩豚,蝕徒勺(圷),恷互勺(圷),恷詰勺(圷),辺徒勺(圷),撹住楚(紘),
002517.SZ,磊哂利大,2015-01-05,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-06,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-07,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-08,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-09,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-12,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-13,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-14,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-15,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-16,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-19,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-20,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-21,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-22,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-23,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-26,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-27,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-28,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-29,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-01-30,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-02,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-03,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-04,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-05,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-06,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-09,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-10,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-11,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-12,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-13,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-16,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-17,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-25,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-26,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-02-27,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-02,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-03,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-04,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-05,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-06,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-09,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-10,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-11,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-12,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-13,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-16,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-17,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-18,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-19,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-20,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-23,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-24,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-25,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-26,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-27,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-30,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-03-31,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-01,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-02,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-03,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-07,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-08,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-09,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-10,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-13,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-14,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-15,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-16,29.5176,29.5176,29.5176,29.5176,0,
002517.SZ,磊哂利大,2015-04-17,32.4674,32.4674,32.4674,32.4674,22682,
002517.SZ,磊哂利大,2015-04-20,35.7243,35.7243,35.7243,35.7243,16020,
002517.SZ,磊哂利大,2015-04-21,39.2886,39.2886,39.2886,39.2886,16545,
002517.SZ,磊哂利大,2015-04-22,43.2215,43.2215,43.2215,43.2215,6025,
002517.SZ,磊哂利大,2015-04-23,47.5437,47.5437,47.5437,47.5437,14713,
002517.SZ,磊哂利大,2015-04-24,52.296,52.296,52.296,52.296,98221,
002517.SZ,磊哂利大,2015-04-27,57.5195,57.5195,57.5195,57.5195,16717,
002517.SZ,磊哂利大,2015-04-28,63.2755,63.2755,63.2755,63.2755,106504,
002517.SZ,磊哂利大,2015-04-29,69.6051,69.6051,69.6051,69.6051,47803,
002517.SZ,磊哂利大,2015-04-30,76.5697,76.5697,76.5697,76.5697,3281871,
002517.SZ,磊哂利大,2015-05-04,84.2308,84.2308,84.2308,84.2308,1425614,
