ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
002615.SZ,นþถ๛หน,2015-01-05,28.1595,28.1595,27.2342,27.7599,842389,
002615.SZ,นþถ๛หน,2015-01-06,27.7494,28.538,27.7494,28.538,1117623,
002615.SZ,นþถ๛หน,2015-01-07,28.5906,28.5906,27.8651,28.3803,1113414,
002615.SZ,นþถ๛หน,2015-01-08,28.3803,28.3803,27.8651,27.8861,599076,
002615.SZ,นþถ๛หน,2015-01-09,27.8861,28.1805,27.7179,28.0333,685674,
002615.SZ,นþถ๛หน,2015-01-12,27.9282,27.9282,26.7925,26.8556,728086,
002615.SZ,นþถ๛หน,2015-01-13,27.15,27.5181,26.8136,27.3814,510006,
002615.SZ,นþถ๛หน,2015-01-14,27.3814,27.3814,26.8766,27.0239,676041,
002615.SZ,นþถ๛หน,2015-01-15,26.9187,27.8651,26.9187,27.4445,739120,
002615.SZ,นþถ๛หน,2015-01-16,27.3709,27.9597,27.3393,27.9387,700507,
002615.SZ,นþถ๛หน,2015-01-19,27.129,28.4434,26.6243,27.5391,2527436,
002615.SZ,นþถ๛หน,2015-01-20,27.4865,28.8535,27.3814,28.8535,2039792,
002615.SZ,นþถ๛หน,2015-01-21,28.8955,29.2846,28.6011,28.9166,1633232,
002615.SZ,นþถ๛หน,2015-01-22,29.211,29.3898,28.9061,29.2005,1475333,
002615.SZ,นþถ๛หน,2015-01-23,29.2741,29.4634,28.7273,29.2531,1767104,
002615.SZ,นþถ๛หน,2015-01-26,29.2846,30.0102,28.9692,29.8314,1926148,
002615.SZ,นþถ๛หน,2015-01-27,29.7578,29.8524,28.9692,29.3792,1434998,
002615.SZ,นþถ๛หน,2015-01-28,29.1059,29.3687,28.6958,29.1059,1022807,
002615.SZ,นþถ๛หน,2015-01-29,28.8219,29.0112,28.5486,28.5696,1007886,
002615.SZ,นþถ๛หน,2015-01-30,28.6432,28.6852,28.0754,28.2331,876124,
002615.SZ,นþถ๛หน,2015-02-02,27.8651,28.149,27.6653,27.8756,675690,
002615.SZ,นþถ๛หน,2015-02-03,27.9282,28.5801,27.9282,28.4749,719805,
002615.SZ,นþถ๛หน,2015-02-04,28.4749,28.7378,27.8651,27.8651,779164,
002615.SZ,นþถ๛หน,2015-02-05,28.17,28.17,27.4655,27.5286,806770,
002615.SZ,นþถ๛หน,2015-02-06,27.3393,27.497,26.2878,26.5612,1050254,
002615.SZ,นþถ๛หน,2015-02-09,26.6558,26.6979,25.4466,25.6569,1507711,
002615.SZ,นþถ๛หน,2015-02-10,25.762,26.2668,25.5938,26.1932,1048849,
002615.SZ,นþถ๛หน,2015-02-11,26.1932,26.7084,26.0775,26.7084,716202,
002615.SZ,นþถ๛หน,2015-02-12,26.74,26.782,26.2563,26.3719,1213904,
002615.SZ,นþถ๛หน,2015-02-13,26.5927,27.1185,26.4876,27.0133,1104694,
002615.SZ,นþถ๛หน,2015-02-16,27.15,27.5917,26.9397,27.5076,774348,
002615.SZ,นþถ๛หน,2015-02-17,27.5917,27.5917,27.0239,27.2762,1010875,
002615.SZ,นþถ๛หน,2015-02-25,27.2236,27.2236,26.8136,26.8136,953943,
002615.SZ,นþถ๛หน,2015-02-26,26.8241,27.0764,26.761,27.0764,780111,
002615.SZ,นþถ๛หน,2015-02-27,27.129,27.7284,27.0344,27.7073,1316231,
002615.SZ,นþถ๛หน,2015-03-02,27.8546,28.2226,27.6443,28.191,1595167,
002615.SZ,นþถ๛หน,2015-03-03,28.0018,28.1385,27.6127,27.7809,1477697,
002615.SZ,นþถ๛หน,2015-03-04,27.6337,28.6537,27.6337,28.5065,1904823,
002615.SZ,นþถ๛หน,2015-03-05,28.4539,28.6852,28.1279,28.6852,1242822,
002615.SZ,นþถ๛หน,2015-03-06,28.6958,28.8955,28.1279,28.1805,1371141,
002615.SZ,นþถ๛หน,2015-03-09,28.1595,28.7589,27.8861,28.3593,1366770,
002615.SZ,นþถ๛หน,2015-03-10,28.4119,29.0217,28.2857,28.7273,1385283,
002615.SZ,นþถ๛หน,2015-03-11,28.6116,29.7368,28.6116,29.3477,2079974,
002615.SZ,นþถ๛หน,2015-03-12,29.232,29.7157,28.517,28.6222,1772304,
002615.SZ,นþถ๛หน,2015-03-13,28.7273,29.579,28.6537,29.4949,1492057,
002615.SZ,นþถ๛หน,2015-03-16,29.5265,30.2625,29.5054,30.0943,1908896,
002615.SZ,นþถ๛หน,2015-03-17,30.1784,30.578,29.7368,30.4833,2729918,
002615.SZ,นþถ๛หน,2015-03-18,30.4938,31.3245,30.1889,31.2825,2351660,
002615.SZ,นþถ๛หน,2015-03-19,31.3245,32.9123,31.0301,32.702,3416642,
002615.SZ,นþถ๛หน,2015-03-20,33.1331,34.1847,32.6179,33.8587,3280173,
002615.SZ,นþถ๛หน,2015-03-23,35.3308,37.2446,34.5737,37.2446,5161011,
002615.SZ,นþถ๛หน,2015-03-24,37.2446,37.2446,35.3939,36.4664,8565901,
002615.SZ,นþถ๛หน,2015-03-25,36.0669,36.2772,35.2257,35.9617,4694124,
002615.SZ,นþถ๛หน,2015-03-26,35.7409,35.8671,34.4055,34.416,3853766,
002615.SZ,นþถ๛หน,2015-03-27,34.4475,35.1731,34.3319,34.8261,1911349,
002615.SZ,นþถ๛หน,2015-03-30,34.742,35.0574,34.5842,34.8261,1769304,
002615.SZ,นþถ๛หน,2015-03-31,34.8261,34.9417,34.5001,34.6053,1556988,
002615.SZ,นþถ๛หน,2015-04-01,34.6473,36.0563,34.6473,35.8566,3504300,
002615.SZ,นþถ๛หน,2015-04-02,35.8566,36.887,35.5096,36.866,4076428,
002615.SZ,นþถ๛หน,2015-04-03,36.5926,38.2014,36.13,37.4549,3705746,
002615.SZ,นþถ๛หน,2015-04-07,37.8755,38.5695,37.3392,38.3592,4147646,
002615.SZ,นþถ๛หน,2015-04-08,38.2014,40.9774,37.8649,39.4843,4190702,
002615.SZ,นþถ๛หน,2015-04-09,39.7997,39.7997,35.5411,38.5169,3106850,
002615.SZ,นþถ๛หน,2015-04-10,38.4117,40.5673,37.4443,40.3781,2966670,
002615.SZ,นþถ๛หน,2015-04-13,40.9879,42.3549,40.9879,42.2708,3546798,
002615.SZ,นþถ๛หน,2015-04-14,42.0605,42.2708,40.0416,40.3255,2712309,
