¥˙¬Î,ºÚ≥∆,»’∆⁄,ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),
002930.SZ,∫Í¥®÷«ª€,2018-03-28,10.24,12.28,10.24,12.28,42625,
002930.SZ,∫Í¥®÷«ª€,2018-03-29,13.51,13.51,13.51,13.51,14252,
002930.SZ,∫Í¥®÷«ª€,2018-03-30,14.86,14.86,14.86,14.86,15899,
002930.SZ,∫Í¥®÷«ª€,2018-04-02,16.35,16.35,16.35,16.35,72766,
002930.SZ,∫Í¥®÷«ª€,2018-04-03,17.99,17.99,17.99,17.99,171893,
002930.SZ,∫Í¥®÷«ª€,2018-04-04,19.79,19.79,19.79,19.79,148706,
002930.SZ,∫Í¥®÷«ª€,2018-04-09,21.77,21.77,21.77,21.77,268500,
002930.SZ,∫Í¥®÷«ª€,2018-04-10,23.95,23.95,23.95,23.95,164427,
002930.SZ,∫Í¥®÷«ª€,2018-04-11,26.35,26.35,26.35,26.35,141874,
002930.SZ,∫Í¥®÷«ª€,2018-04-12,26.35,26.35,26.35,26.35,0,
002930.SZ,∫Í¥®÷«ª€,2018-04-13,26.35,26.35,26.35,26.35,0,
002930.SZ,∫Í¥®÷«ª€,2018-04-16,28.99,28.99,28.73,28.99,10459675,
002930.SZ,∫Í¥®÷«ª€,2018-04-17,30,31.89,29,31.89,42621888,
002930.SZ,∫Í¥®÷«ª€,2018-04-18,29.88,34.44,28.7,32.8,38384449,
002930.SZ,∫Í¥®÷«ª€,2018-04-19,31.5,33.99,30.04,30.38,33478158,
002930.SZ,∫Í¥®÷«ª€,2018-04-20,28,28.73,27.34,27.34,22029497,
002930.SZ,∫Í¥®÷«ª€,2018-04-23,26.23,29.4,26.23,28.67,23548729,
002930.SZ,∫Í¥®÷«ª€,2018-04-24,28.19,29.48,27.28,28.87,24203905,
002930.SZ,∫Í¥®÷«ª€,2018-04-25,28.18,29.8,27.88,28.05,20385142,
002930.SZ,∫Í¥®÷«ª€,2018-04-26,28.31,28.5,25.45,25.58,18382297,
002930.SZ,∫Í¥®÷«ª€,2018-04-27,25.35,25.99,24.77,25.83,12512942,
002930.SZ,∫Í¥®÷«ª€,2018-05-02,25.9,26.3,24.73,26.19,12900256,
002930.SZ,∫Í¥®÷«ª€,2018-05-03,25.81,27.49,25.62,26.7,17886192,
002930.SZ,∫Í¥®÷«ª€,2018-05-04,26.18,29.35,26.18,27.25,21043055,
002930.SZ,∫Í¥®÷«ª€,2018-05-07,27.58,28.6,26.7,28.04,20227961,
002930.SZ,∫Í¥®÷«ª€,2018-05-08,27.4,29,27.16,28.36,21296065,
002930.SZ,∫Í¥®÷«ª€,2018-05-09,28.4,31.2,27.75,31.2,35429638,
002930.SZ,∫Í¥®÷«ª€,2018-05-10,30.2,34.32,29.82,34.32,33624257,
002930.SZ,∫Í¥®÷«ª€,2018-05-11,37.26,37.75,36,37.75,18296791,
002930.SZ,∫Í¥®÷«ª€,2018-05-14,41.53,41.53,38,41.53,30207765,
002930.SZ,∫Í¥®÷«ª€,2018-05-15,41.53,41.53,41.53,41.53,0,
002930.SZ,∫Í¥®÷«ª€,2018-05-16,41.53,41.53,41.53,41.53,0,
002930.SZ,∫Í¥®÷«ª€,2018-05-17,44,45.68,43.1,45.68,15665521,
002930.SZ,∫Í¥®÷«ª€,2018-05-18,50,50.25,48.21,50.25,12797056,
002930.SZ,∫Í¥®÷«ª€,2018-05-21,55.28,55.28,55.28,55.28,1367088,
002930.SZ,∫Í¥®÷«ª€,2018-05-22,60.74,60.81,58,60.81,31200577,
002930.SZ,∫Í¥®÷«ª€,2018-05-23,60.98,62.5,59.01,60.99,29193892,
002930.SZ,∫Í¥®÷«ª€,2018-05-24,61.99,67.09,59.55,67.09,25088460,
002930.SZ,∫Í¥®÷«ª€,2018-05-25,67.09,67.09,67.09,67.09,0,
002930.SZ,∫Í¥®÷«ª€,2018-05-28,67.09,67.09,67.09,67.09,0,
002930.SZ,∫Í¥®÷«ª€,2018-05-29,67.09,67.09,67.09,67.09,0,
002930.SZ,∫Í¥®÷«ª€,2018-05-30,67.09,67.09,67.09,67.09,0,
002930.SZ,∫Í¥®÷«ª€,2018-05-31,67.09,67.09,67.09,67.09,0,
002930.SZ,∫Í¥®÷«ª€,2018-06-01,72.8,72.8,60.38,60.38,33646678,
002930.SZ,∫Í¥®÷«ª€,2018-06-04,55.5,57.35,54.34,54.34,8642895,
002930.SZ,∫Í¥®÷«ª€,2018-06-05,54,55.48,51.7,53.37,28168447,
002930.SZ,∫Í¥®÷«ª€,2018-06-06,54.15,55.37,52.18,52.95,23765261,
002930.SZ,∫Í¥®÷«ª€,2018-06-07,51.58,53.5,49.88,50.53,26260289,
002930.SZ,∫Í¥®÷«ª€,2018-06-08,50.7,51.75,50.12,51.25,18627345,
002930.SZ,∫Í¥®÷«ª€,2018-06-11,49.85,53.33,49.49,51.75,21473416,
002930.SZ,∫Í¥®÷«ª€,2018-06-12,51,51.95,48.51,51.4,20192826,
002930.SZ,∫Í¥®÷«ª€,2018-06-13,50.69,55,50.2,50.4,30824042,
002930.SZ,∫Í¥®÷«ª€,2018-06-14,46.88,47.93,45.36,45.36,25011642,
002930.SZ,∫Í¥®÷«ª€,2018-06-15,45.55,45.85,42.27,43,20952204,
002930.SZ,∫Í¥®÷«ª€,2018-06-19,41.61,43.58,40.1,42.3,17465085,
002930.SZ,∫Í¥®÷«ª€,2018-06-20,42.5,44.82,42,43.18,20416746,
002930.SZ,∫Í¥®÷«ª€,2018-06-21,41.93,42.5,39.56,39.7,18012450,
002930.SZ,∫Í¥®÷«ª€,2018-06-22,39.86,43.67,39.01,43.67,24906241,
002930.SZ,∫Í¥®÷«ª€,2018-06-25,44.66,48.04,43.88,48.04,18844535,
002930.SZ,∫Í¥®÷«ª€,2018-06-26,50.4,52.84,47.01,47.17,44632037,
002930.SZ,∫Í¥®÷«ª€,2018-06-27,45.5,51.89,44.68,49.23,38725899,
002930.SZ,∫Í¥®÷«ª€,2018-06-28,48.5,50.36,44.31,44.31,31760981,
002930.SZ,∫Í¥®÷«ª€,2018-06-29,42.08,44.5,41.71,44.14,22460656,
002930.SZ,∫Í¥®÷«ª€,2018-07-02,43.88,44.94,42.08,42.98,18184415,
002930.SZ,∫Í¥®÷«ª€,2018-07-03,43.13,44.35,41.72,43.76,19530654,
002930.SZ,∫Í¥®÷«ª€,2018-07-04,42.78,42.78,40,40.73,19689815,
002930.SZ,∫Í¥®÷«ª€,2018-07-05,40.2,41.16,37.66,37.83,16148142,
002930.SZ,∫Í¥®÷«ª€,2018-07-06,38.4,41.46,38.07,39.23,19224625,
002930.SZ,∫Í¥®÷«ª€,2018-07-09,39.76,40.68,38.7,40.19,14956557,
002930.SZ,∫Í¥®÷«ª€,2018-07-10,40.14,41.8,39.43,41.3,17776988,
002930.SZ,∫Í¥®÷«ª€,2018-07-11,39.97,39.99,38.31,39.83,14304711,
002930.SZ,∫Í¥®÷«ª€,2018-07-12,39.7,41.93,39.5,40.86,16327780,
002930.SZ,∫Í¥®÷«ª€,2018-07-13,40.25,41.49,40.11,40.2,12574292,
002930.SZ,∫Í¥®÷«ª€,2018-07-16,40.21,41.88,40.2,40.8,11842829,
002930.SZ,∫Í¥®÷«ª€,2018-07-17,41.7,42.5,38.5,40.1,14470915,
002930.SZ,∫Í¥®÷«ª€,2018-07-18,39.39,39.87,38,38.25,11877367,
002930.SZ,∫Í¥®÷«ª€,2018-07-19,37.8,38.43,35.55,36.55,12088545,
002930.SZ,∫Í¥®÷«ª€,2018-07-20,36.43,37.37,36.28,36.9,7731954,
002930.SZ,∫Í¥®÷«ª€,2018-07-23,36.95,37.12,35.67,36.15,7619246,
002930.SZ,∫Í¥®÷«ª€,2018-07-24,36.42,37.15,36,36.92,8462646,
002930.SZ,∫Í¥®÷«ª€,2018-07-25,37.24,37.34,35.84,36.02,8564697,
002930.SZ,∫Í¥®÷«ª€,2018-07-26,36.28,36.3,34.5,35.34,9702699,
002930.SZ,∫Í¥®÷«ª€,2018-07-27,35.32,35.79,34.61,34.67,6702536,
002930.SZ,∫Í¥®÷«ª€,2018-07-30,34.52,34.87,32.96,33.36,7485737,
002930.SZ,∫Í¥®÷«ª€,2018-07-31,33.5,35.51,33.47,34.47,10721939,
002930.SZ,∫Í¥®÷«ª€,2018-08-01,33.85,34.25,32.88,33.01,8704247,
002930.SZ,∫Í¥®÷«ª€,2018-08-02,33.01,35.86,32.52,34.01,13550264,
002930.SZ,∫Í¥®÷«ª€,2018-08-03,34,34.88,33.7,33.73,9496509,
002930.SZ,∫Í¥®÷«ª€,2018-08-06,32.72,32.72,30.36,30.36,10390957,
002930.SZ,∫Í¥®÷«ª€,2018-08-07,30.7,33.4,30.51,32.37,12861643,
002930.SZ,∫Í¥®÷«ª€,2018-08-08,32.5,34,31.36,31.65,14249851,
002930.SZ,∫Í¥®÷«ª€,2018-08-09,30.73,32.8,30.22,32.5,12043252,
002930.SZ,∫Í¥®÷«ª€,2018-08-10,32.61,33.25,32,32.92,10194014,
002930.SZ,∫Í¥®÷«ª€,2018-08-13,32.57,35.5,32.36,34.63,16365294,
002930.SZ,∫Í¥®÷«ª€,2018-08-14,34.05,38.09,33.31,38.09,19079698,
002930.SZ,∫Í¥®÷«ª€,2018-08-15,37,38.5,35.35,35.8,19282788,
002930.SZ,∫Í¥®÷«ª€,2018-08-16,35.64,35.69,33.3,33.62,13045997,
002930.SZ,∫Í¥®÷«ª€,2018-08-17,34.22,34.46,30.8,31.7,11812996,
002930.SZ,∫Í¥®÷«ª€,2018-08-20,31,32.1,30.61,31.7,7574557,
002930.SZ,∫Í¥®÷«ª€,2018-08-21,31.78,32.28,31.07,31.76,7149166,
002930.SZ,∫Í¥®÷«ª€,2018-08-22,31.7,32.4,30.62,30.72,8391892,
002930.SZ,∫Í¥®÷«ª€,2018-08-23,30.49,31.58,30.49,31.06,6840608,
002930.SZ,∫Í¥®÷«ª€,2018-08-24,30.8,31.25,30.6,30.78,5266655,
002930.SZ,∫Í¥®÷«ª€,2018-08-27,30.67,32.53,30.67,31.6,7922960,
002930.SZ,∫Í¥®÷«ª€,2018-08-28,31.4,32.5,31.33,31.98,7413117,
002930.SZ,∫Í¥®÷«ª€,2018-08-29,31.87,32.05,31.06,31.16,5271781,
002930.SZ,∫Í¥®÷«ª€,2018-08-30,31.05,31.92,31,31.09,5706610,
002930.SZ,∫Í¥®÷«ª€,2018-08-31,31.35,31.38,29.02,29.23,7918509,
002930.SZ,∫Í¥®÷«ª€,2018-09-03,29.2,29.36,27.35,28.28,6502771,
002930.SZ,∫Í¥®÷«ª€,2018-09-04,28.16,28.96,28.16,28.49,5264185,
002930.SZ,∫Í¥®÷«ª€,2018-09-05,28.5,29.5,28.08,28.12,5765554,
002930.SZ,∫Í¥®÷«ª€,2018-09-06,28.98,29.79,28.56,29.11,10079021,
002930.SZ,∫Í¥®÷«ª€,2018-09-07,29.09,29.7,28.25,28.62,8621882,
002930.SZ,∫Í¥®÷«ª€,2018-09-10,29.1,31.48,28.63,31.48,19780402,
002930.SZ,∫Í¥®÷«ª€,2018-09-11,30.5,30.93,29.75,29.87,13566509,
002930.SZ,∫Í¥®÷«ª€,2018-09-12,29.9,30.8,29.8,29.97,8303568,
002930.SZ,∫Í¥®÷«ª€,2018-09-13,30.48,32.11,29.93,31,14060514,
002930.SZ,∫Í¥®÷«ª€,2018-09-14,30.42,30.45,28.2,28.62,11500406,
002930.SZ,∫Í¥®÷«ª€,2018-09-17,28,28,26.1,26.81,6769201,
002930.SZ,∫Í¥®÷«ª€,2018-09-18,27.09,27.67,26.9,27.57,6054767,
002930.SZ,∫Í¥®÷«ª€,2018-09-19,27.46,29.19,27.2,28.54,9440001,
002930.SZ,∫Í¥®÷«ª€,2018-09-20,28.69,30.37,28.2,28.92,12692261,
002930.SZ,∫Í¥®÷«ª€,2018-09-21,29.12,30.33,28.22,29.17,8999302,
002930.SZ,∫Í¥®÷«ª€,2018-09-25,29.49,30.99,29.3,30.41,11567434,
002930.SZ,∫Í¥®÷«ª€,2018-09-26,30.4,31.33,29.66,30.83,12488148,
002930.SZ,∫Í¥®÷«ª€,2018-09-27,30.31,30.68,28.11,28.17,11397501,
002930.SZ,∫Í¥®÷«ª€,2018-09-28,28.4,30.99,28.4,30.99,7434692,
002930.SZ,∫Í¥®÷«ª€,2018-10-08,32.5,33.5,31.38,31.65,23631889,
002930.SZ,∫Í¥®÷«ª€,2018-10-09,31.53,34.82,31.05,34.04,24095032,
002930.SZ,∫Í¥®÷«ª€,2018-10-10,33.08,33.3,31.63,32.32,17016269,
002930.SZ,∫Í¥®÷«ª€,2018-10-11,30.02,30.66,29.09,29.09,12166966,
002930.SZ,∫Í¥®÷«ª€,2018-10-12,27.9,29.25,26.97,28.62,10652128,
002930.SZ,∫Í¥®÷«ª€,2018-10-15,28.62,29.8,28.62,29,8047698,
002930.SZ,∫Í¥®÷«ª€,2018-10-16,29,30.49,28.33,29.33,9384945,
002930.SZ,∫Í¥®÷«ª€,2018-10-17,29.39,29.79,27.8,28.93,8069124,
002930.SZ,∫Í¥®÷«ª€,2018-10-18,28.4,28.6,26.04,26.25,8443015,
002930.SZ,∫Í¥®÷«ª€,2018-10-19,25.1,26.87,24.6,26.84,6992886,
002930.SZ,∫Í¥®÷«ª€,2018-10-22,27.56,28.67,27.09,28.26,8401494,
002930.SZ,∫Í¥®÷«ª€,2018-10-23,28.08,31,28.08,28.56,12158153,
002930.SZ,∫Í¥®÷«ª€,2018-10-24,28.25,28.45,27.53,27.63,7196083,
002930.SZ,∫Í¥®÷«ª€,2018-10-25,25.91,27.18,25.68,26.84,6262280,
002930.SZ,∫Í¥®÷«ª€,2018-10-26,27.34,28.07,26.94,26.99,5407140,
002930.SZ,∫Í¥®÷«ª€,2018-10-29,26.55,27.35,26.44,26.68,3644814,
002930.SZ,∫Í¥®÷«ª€,2018-10-30,26.64,27.27,25.81,26.9,4742735,
002930.SZ,∫Í¥®÷«ª€,2018-10-31,27,27.7,27,27.43,6471635,
002930.SZ,∫Í¥®÷«ª€,2018-11-01,27.52,28.59,27.35,27.88,9623098,
002930.SZ,∫Í¥®÷«ª€,2018-11-02,28.47,28.98,28,28.71,9854691,
002930.SZ,∫Í¥®÷«ª€,2018-11-05,28.91,29.77,27.82,28.66,9768257,
002930.SZ,∫Í¥®÷«ª€,2018-11-06,28.05,29.48,26.8,29.24,12363639,
002930.SZ,∫Í¥®÷«ª€,2018-11-07,28.54,29.68,28.47,28.52,9621702,
002930.SZ,∫Í¥®÷«ª€,2018-11-08,28.67,29.27,27.83,28.15,7085758,
002930.SZ,∫Í¥®÷«ª€,2018-11-09,28.17,28.44,27.41,27.45,5047963,
002930.SZ,∫Í¥®÷«ª€,2018-11-12,27.29,27.95,26.9,27.95,5454794,
002930.SZ,∫Í¥®÷«ª€,2018-11-13,27.46,27.96,27.12,27.83,6639269,
