´תֲכ,¼ע³ֶ,ָױֶÚ,¿×ֵּ¼Û(װ×),׳מ¸ß¼Û(װ×),׳מµֽ¼Û(װ×),Êױֵּ¼Û(װ×),³ֹ½»ֱ¿(¹ֹ),
003004.SZ,*STֹשׁ¸,2020-11-26,24.31,29.17,24.31,29.17,113995,
003004.SZ,*STֹשׁ¸,2020-11-27,32.09,32.09,32.09,32.09,84862,
003004.SZ,*STֹשׁ¸,2020-11-30,35.3,35.3,35.3,35.3,111249,
003004.SZ,*STֹשׁ¸,2020-12-01,38.83,38.83,38.83,38.83,203555,
003004.SZ,*STֹשׁ¸,2020-12-02,42.71,42.71,42.71,42.71,91251,
003004.SZ,*STֹשׁ¸,2020-12-03,46.98,46.98,46.98,46.98,85979,
003004.SZ,*STֹשׁ¸,2020-12-04,51.68,51.68,51.68,51.68,92651,
003004.SZ,*STֹשׁ¸,2020-12-07,56.85,56.85,46.51,46.51,1573300,
003004.SZ,*STֹשׁ¸,2020-12-08,41.86,50.18,41.86,47.97,11503671,
003004.SZ,*STֹשׁ¸,2020-12-09,44.91,46.7,43.17,43.18,7275194,
003004.SZ,*STֹשׁ¸,2020-12-10,42,42.18,39.23,39.73,6724600,
003004.SZ,*STֹשׁ¸,2020-12-11,39.4,40.42,37.88,38.15,4440908,
003004.SZ,*STֹשׁ¸,2020-12-14,37.57,38.13,36.85,37.91,3277003,
003004.SZ,*STֹשׁ¸,2020-12-15,37.48,41.5,37.21,40.07,5768759,
003004.SZ,*STֹשׁ¸,2020-12-16,39.5,39.55,37.4,37.49,4135760,
003004.SZ,*STֹשׁ¸,2020-12-17,37.4,38.3,37.01,37.98,2879241,
003004.SZ,*STֹשׁ¸,2020-12-18,37.7,37.7,36.58,36.8,2913048,
003004.SZ,*STֹשׁ¸,2020-12-21,36.33,36.78,35.61,36.38,2240957,
003004.SZ,*STֹשׁ¸,2020-12-22,36.1,36.32,34.15,34.15,3390097,
003004.SZ,*STֹשׁ¸,2020-12-23,34.05,34.8,33.53,33.81,1904825,
003004.SZ,*STֹשׁ¸,2020-12-24,33.9,34.48,32.31,33.18,2369755,
003004.SZ,*STֹשׁ¸,2020-12-25,32.8,33.55,32.31,32.61,1727476,
003004.SZ,*STֹשׁ¸,2020-12-28,32.06,32.6,30.9,31.06,2140194,
003004.SZ,*STֹשׁ¸,2020-12-29,30.96,31.74,30.7,31.14,1395878,
003004.SZ,*STֹשׁ¸,2020-12-30,30.91,33.55,30.69,32.13,2288848,
003004.SZ,*STֹשׁ¸,2020-12-31,31.96,33.28,31.8,32.63,2160689,
003004.SZ,*STֹשׁ¸,2021-01-04,32.21,32.87,32.14,32.54,1536954,
003004.SZ,*STֹשׁ¸,2021-01-05,32.31,33.35,32.09,33.22,2230603,
003004.SZ,*STֹשׁ¸,2021-01-06,33.48,33.48,31.6,31.7,1986050,
003004.SZ,*STֹשׁ¸,2021-01-07,31.69,31.69,29.5,29.55,2272437,
003004.SZ,*STֹשׁ¸,2021-01-08,29.41,30.13,29.18,29.8,1136215,
003004.SZ,*STֹשׁ¸,2021-01-11,29.7,30,28.52,28.75,1256026,
003004.SZ,*STֹשׁ¸,2021-01-12,28.52,29.05,28.4,28.49,892470,
003004.SZ,*STֹשׁ¸,2021-01-13,28.52,28.59,27.18,27.24,1495143,
003004.SZ,*STֹשׁ¸,2021-01-14,27.24,28.5,26.72,28.01,1460416,
003004.SZ,*STֹשׁ¸,2021-01-15,27.9,29.38,27.71,28.89,1848088,
003004.SZ,*STֹשׁ¸,2021-01-18,28.72,29.28,28.6,28.9,1097524,
003004.SZ,*STֹשׁ¸,2021-01-19,28.71,29.54,28.71,29.06,1184095,
003004.SZ,*STֹשׁ¸,2021-01-20,29,29.74,28.72,29.6,1610774,
003004.SZ,*STֹשׁ¸,2021-01-21,29.45,30.45,29.22,29.81,1923712,
003004.SZ,*STֹשׁ¸,2021-01-22,29.5,30.33,29.45,30.21,1645986,
003004.SZ,*STֹשׁ¸,2021-01-25,30.28,30.95,29.01,29.1,1806039,
003004.SZ,*STֹשׁ¸,2021-01-26,29.6,32.01,29.53,32.01,2698563,
003004.SZ,*STֹשׁ¸,2021-01-27,32,34.87,30.65,33.3,6171930,
003004.SZ,*STֹשׁ¸,2021-01-28,31.7,32.28,30.74,30.99,3509248,
003004.SZ,*STֹשׁ¸,2021-01-29,31.49,31.49,28.6,28.95,2761047,
003004.SZ,*STֹשׁ¸,2021-02-01,28.45,29.38,28.04,29.24,1841521,
003004.SZ,*STֹשׁ¸,2021-02-02,29.19,29.4,28.51,28.67,1494961,
003004.SZ,*STֹשׁ¸,2021-02-03,28.85,28.85,27.2,27.3,1495495,
003004.SZ,*STֹשׁ¸,2021-02-04,27.43,28.17,27.05,27.6,1253027,
003004.SZ,*STֹשׁ¸,2021-02-05,27.66,28.65,27.63,27.83,1316064,
003004.SZ,*STֹשׁ¸,2021-02-08,28.07,29.15,27.79,28.03,939270,
003004.SZ,*STֹשׁ¸,2021-02-09,28.18,28.19,27.14,27.72,1254298,
003004.SZ,*STֹשׁ¸,2021-02-10,27.73,28.1,27.45,27.49,827192,
003004.SZ,*STֹשׁ¸,2021-02-18,27.8,28.5,27.8,28.38,1014582,
003004.SZ,*STֹשׁ¸,2021-02-19,28.44,29.15,28.4,29.05,1192058,
003004.SZ,*STֹשׁ¸,2021-02-22,29.08,29.63,28.88,29.02,1492739,
003004.SZ,*STֹשׁ¸,2021-02-23,28.95,29.02,28.2,28.6,917642,
003004.SZ,*STֹשׁ¸,2021-02-24,28.6,28.93,28.23,28.85,1099393,
003004.SZ,*STֹשׁ¸,2021-02-25,28.85,29.06,28.25,28.38,1021441,
003004.SZ,*STֹשׁ¸,2021-02-26,27.88,28.3,27.6,28.23,712520,
003004.SZ,*STֹשׁ¸,2021-03-01,28.26,28.79,28.26,28.7,684846,
003004.SZ,*STֹשׁ¸,2021-03-02,28.79,29.05,28.45,28.93,844833,
003004.SZ,*STֹשׁ¸,2021-03-03,28.93,29.84,28.75,29.67,1550762,
003004.SZ,*STֹשׁ¸,2021-03-04,29.57,29.85,29,29.3,1132388,
003004.SZ,*STֹשׁ¸,2021-03-05,29.3,29.66,29.12,29.65,946359,
003004.SZ,*STֹשׁ¸,2021-03-08,29.93,29.93,29.18,29.22,1084974,
003004.SZ,*STֹשׁ¸,2021-03-09,29.24,29.59,27.4,28.67,1397270,
003004.SZ,*STֹשׁ¸,2021-03-10,28.67,28.86,27.91,27.94,956318,
003004.SZ,*STֹשׁ¸,2021-03-11,27.94,28.3,27.66,28.3,519248,
003004.SZ,*STֹשׁ¸,2021-03-12,28.31,28.35,27.9,28.12,527542,
003004.SZ,*STֹשׁ¸,2021-03-15,28.1,28.31,27.5,28.15,720606,
003004.SZ,*STֹשׁ¸,2021-03-16,27.86,29.27,27.76,28.59,1481404,
003004.SZ,*STֹשׁ¸,2021-03-17,28.46,28.91,28.16,28.82,1369954,
003004.SZ,*STֹשׁ¸,2021-03-18,28.67,29.05,28.63,28.95,927297,
003004.SZ,*STֹשׁ¸,2021-03-19,28.9,29.65,28.89,29.49,1698018,
003004.SZ,*STֹשׁ¸,2021-03-22,29.22,30.16,29.22,30.11,1990989,
003004.SZ,*STֹשׁ¸,2021-03-23,30.16,30.49,29.18,29.51,1694840,
003004.SZ,*STֹשׁ¸,2021-03-24,29.4,30.39,29.18,29.55,1291418,
003004.SZ,*STֹשׁ¸,2021-03-25,29.55,29.84,29.01,29.72,1033254,
003004.SZ,*STֹשׁ¸,2021-03-26,29.72,30.36,29.43,30.06,1475477,
003004.SZ,*STֹשׁ¸,2021-03-29,30.51,30.51,29.41,29.55,1282012,
003004.SZ,*STֹשׁ¸,2021-03-30,29.55,32.51,29.03,32.51,3798394,
003004.SZ,*STֹשׁ¸,2021-03-31,32.42,33.88,31.16,31.99,6495770,
003004.SZ,*STֹשׁ¸,2021-04-01,31.42,31.61,30.4,30.9,3301406,
003004.SZ,*STֹשׁ¸,2021-04-02,31.01,31.94,31.01,31.58,2943810,
003004.SZ,*STֹשׁ¸,2021-04-06,31.09,32.2,30.77,32.16,2316632,
003004.SZ,*STֹשׁ¸,2021-04-07,31.9,32.96,31.26,32.25,3307319,
003004.SZ,*STֹשׁ¸,2021-04-08,32.29,33.18,31.86,32.5,3542432,
003004.SZ,*STֹשׁ¸,2021-04-09,32.05,34.87,31.6,33.99,4823291,
003004.SZ,*STֹשׁ¸,2021-04-12,34.65,36.89,33.11,35.62,5577739,
003004.SZ,*STֹשׁ¸,2021-04-13,33.88,34.35,32.06,32.06,4298278,
003004.SZ,*STֹשׁ¸,2021-04-14,31.01,31.98,29.8,31.39,3272756,
003004.SZ,*STֹשׁ¸,2021-04-15,30.94,34.53,30.25,34.53,5306451,
003004.SZ,*STֹשׁ¸,2021-04-16,34.54,35.18,33.04,33.41,4732507,
003004.SZ,*STֹשׁ¸,2021-04-19,33.4,33.52,32.6,33,2665413,
003004.SZ,*STֹשׁ¸,2021-04-20,32.6,33.08,31.99,32.1,2226389,
003004.SZ,*STֹשׁ¸,2021-04-21,31.8,35.31,31.56,35.31,4460954,
003004.SZ,*STֹשׁ¸,2021-04-22,36,36.19,33.8,34.08,5838398,
003004.SZ,*STֹשׁ¸,2021-04-23,34.08,34.34,32.91,33.45,2680548,
003004.SZ,*STֹשׁ¸,2021-04-26,33.6,34.5,32.98,34.18,3701450,
003004.SZ,*STֹשׁ¸,2021-04-27,33.78,34.36,32.01,34.33,3347619,
003004.SZ,*STֹשׁ¸,2021-04-28,33.99,34.97,32.8,32.86,2544012,
003004.SZ,*STֹשׁ¸,2021-04-29,32.33,32.5,30.4,30.7,2750689,
003004.SZ,*STֹשׁ¸,2021-04-30,30.7,30.7,29.18,29.18,1711222,
003004.SZ,*STֹשׁ¸,2021-05-06,29.3,29.45,28.75,29.01,1187609,
003004.SZ,*STֹשׁ¸,2021-05-07,29.07,29.21,28.04,28.08,1188266,
003004.SZ,*STֹשׁ¸,2021-05-10,28.08,28.6,27.98,28.57,773756,
003004.SZ,*STֹשׁ¸,2021-05-11,28.31,29.41,28.31,29.11,826341,
003004.SZ,*STֹשׁ¸,2021-05-12,29.37,29.49,28.9,29.15,664902,
003004.SZ,*STֹשׁ¸,2021-05-13,28.96,29.32,28.5,28.54,646000,
003004.SZ,*STֹשׁ¸,2021-05-14,28.49,28.9,28.38,28.72,488448,
003004.SZ,*STֹשׁ¸,2021-05-17,28.73,28.94,27.88,28.14,841918,
003004.SZ,*STֹשׁ¸,2021-05-18,28,28.44,27.89,28.27,355842,
003004.SZ,*STֹשׁ¸,2021-05-19,28.27,28.39,28.09,28.09,397200,
003004.SZ,*STֹשׁ¸,2021-05-20,28.08,28.15,27.26,27.27,967970,
003004.SZ,*STֹשׁ¸,2021-05-21,27.28,27.77,27.28,27.51,440705,
003004.SZ,*STֹשׁ¸,2021-05-24,27.61,27.79,27.48,27.66,365924,
003004.SZ,*STֹשׁ¸,2021-05-25,27.63,27.85,27.28,27.78,521179,
003004.SZ,*STֹשׁ¸,2021-05-26,27.79,28.26,27.73,28.15,500800,
