代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
300207.SZ,欣旺达,2015-01-05,33.9265,34.4145,32.3172,33.1086,3584315,
300207.SZ,欣旺达,2015-01-06,32.7129,34.309,32.1061,34.1639,4833270,
300207.SZ,欣旺达,2015-01-07,34.4145,34.4145,32.8316,33.6758,3454566,
300207.SZ,欣旺达,2015-01-08,33.3724,36.7888,33.1614,35.8523,8075340,
300207.SZ,欣旺达,2015-01-09,35.6017,38.6355,35.417,36.5646,7645687,
300207.SZ,欣旺达,2015-01-12,37.3428,38.3585,36.9207,37.7254,6496028,
300207.SZ,欣旺达,2015-01-13,38.0947,39.7699,37.7254,39.2819,7769409,
300207.SZ,欣旺达,2015-01-14,39.15,39.6776,38.4904,39.0181,3536259,
300207.SZ,欣旺达,2015-01-15,39.427,39.4665,38.6487,39.1763,2978743,
300207.SZ,欣旺达,2015-01-16,38.8334,39.3083,37.356,38.2662,4060561,
300207.SZ,欣旺达,2015-01-19,37.8573,40.2316,36.9603,39.1632,6342514,
300207.SZ,欣旺达,2015-01-20,39.15,41.5507,38.5432,41.3396,5378178,
300207.SZ,欣旺达,2015-01-21,40.9175,42.8566,40.9175,41.3264,4441073,
300207.SZ,欣旺达,2015-01-22,41.155,41.8804,40.4954,41.5902,3855351,
300207.SZ,欣旺达,2015-01-23,42.0519,45.2441,41.6958,42.9753,6294606,
300207.SZ,欣旺达,2015-01-26,43.2787,45.1781,43.2787,44.1888,5150186,
300207.SZ,欣旺达,2015-01-27,44.2811,46.4048,44.2811,46.0355,6880239,
300207.SZ,欣旺达,2015-01-28,46.2993,47.6843,45.0726,46.9852,8027031,
300207.SZ,欣旺达,2015-01-29,46.1674,47.3414,44.822,44.9803,3734192,
300207.SZ,欣旺达,2015-01-30,44.9803,45.9036,43.3314,44.7428,4805221,
300207.SZ,欣旺达,2015-02-02,44.3207,44.9143,43.5425,44.8483,2763049,
300207.SZ,欣旺达,2015-02-03,44.8483,46.2597,43.991,45.5079,1961179,
300207.SZ,欣旺达,2015-02-04,45.6266,45.9036,42.8697,44.1624,4077593,
300207.SZ,欣旺达,2015-02-05,43.7271,44.8088,43.0676,44.1888,3128425,
300207.SZ,欣旺达,2015-02-06,44.0437,44.3867,42.7378,43.5161,2438238,
300207.SZ,欣旺达,2015-02-09,43.7931,43.9514,40.9043,43.3974,3121895,
300207.SZ,欣旺达,2015-02-10,42.5927,44.3207,42.5927,44.1624,1612195,
300207.SZ,欣旺达,2015-02-11,43.9514,48.5549,43.8459,47.935,3496275,
300207.SZ,欣旺达,2015-02-12,47.7503,50.6259,47.3546,49.9268,4132211,
300207.SZ,欣旺达,2015-02-13,50.6259,50.7182,48.8187,50.0455,3371008,
300207.SZ,欣旺达,2015-02-16,50.0587,50.9161,49.3728,50.5203,3169717,
