測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
300246.SZ,惘應杻,2015-01-05,79.8794,80.0643,75.8485,77.4387,1983394,
300246.SZ,惘應杻,2015-01-06,77.4387,84.8349,76.9579,84.0953,4304058,
300246.SZ,惘應杻,2015-01-07,83.1338,83.8734,81.4326,82.8379,2207247,
300246.SZ,惘應杻,2015-01-08,82.0983,86.2772,82.0983,84.3172,2956762,
300246.SZ,惘應杻,2015-01-09,84.1323,87.2017,83.8734,84.7979,3017384,
300246.SZ,惘應杻,2015-01-12,84.687,85.6855,83.4296,84.7979,1476146,
300246.SZ,惘應杻,2015-01-13,84.8719,87.0908,83.7625,86.573,1840966,
300246.SZ,惘應杻,2015-01-14,85.9813,88.0523,85.3157,85.7964,1899220,
300246.SZ,惘應杻,2015-01-15,86.647,87.5715,83.8734,83.9844,1987478,
300246.SZ,惘應杻,2015-01-16,83.2077,85.9074,82.4681,84.9089,1701883,
300246.SZ,惘應杻,2015-01-19,83.2077,90.9368,82.653,87.9783,4350996,
300246.SZ,惘應杻,2015-01-20,87.4606,95.7074,87.4606,95.7074,6798947,
300246.SZ,惘應杻,2015-01-21,96.1512,96.8908,93.5995,94.3021,4954039,
300246.SZ,惘應杻,2015-01-22,94.3021,96.8168,93.1927,96.8168,4520434,
300246.SZ,惘應杻,2015-01-23,96.447,96.447,93.8583,94.0802,2759596,
300246.SZ,惘應杻,2015-01-26,94.0802,95.6334,92.4531,94.2281,2602827,
300246.SZ,惘應杻,2015-01-27,94.2281,96.1512,93.2666,95.6334,3492258,
300246.SZ,惘應杻,2015-01-28,95.0417,99.1097,94.6719,98.518,4958319,
300246.SZ,惘應杻,2015-01-29,97.7414,100.7368,96.3731,97.7783,3145483,
300246.SZ,惘應杻,2015-01-30,97.0757,98.555,92.49,92.49,3229272,
300246.SZ,惘應杻,2015-02-02,91.2327,94.598,91.2327,93.7844,1679798,
300246.SZ,惘應杻,2015-02-03,93.8583,97.8523,93.8583,97.3716,3014699,
300246.SZ,惘應杻,2015-02-04,96.8908,98.444,96.7059,97.2606,2784327,
300246.SZ,惘應杻,2015-02-05,97.2236,102.401,96.558,99.8493,5655408,
300246.SZ,惘應杻,2015-02-06,100.5889,103.1036,97.9633,98.6659,4364945,
300246.SZ,惘應杻,2015-02-09,99.2206,99.7753,94.3021,95.3376,3090359,
300246.SZ,惘應杻,2015-02-10,95.4485,102.401,94.3021,102.2531,4104650,
300246.SZ,惘應杻,2015-02-11,101.4765,107.9852,100.7738,107.5044,7038496,
300246.SZ,惘應杻,2015-02-12,107.2455,108.7248,105.1006,106.6169,4254277,
300246.SZ,惘應杻,2015-02-13,106.6169,109.4274,105.3965,106.5799,4321495,
300246.SZ,惘應杻,2015-02-16,106.6908,113.1256,106.5429,113.1256,5874373,
300246.SZ,惘應杻,2015-02-17,114.4569,114.5308,109.7603,113.1995,3476978,
300246.SZ,惘應杻,2015-02-25,114.3459,114.4199,107.2455,110.1301,4402535,
300246.SZ,惘應杻,2015-02-26,109.4644,109.4644,104.7678,107.0606,3479596,
300246.SZ,惘應杻,2015-02-27,106.9127,109.6493,106.8387,107.4674,2830790,
300246.SZ,惘應杻,2015-03-02,107.5784,114.272,105.3965,113.1625,4796850,
300246.SZ,惘應杻,2015-03-03,112.0531,118.0441,109.8712,114.7157,5495684,
300246.SZ,惘應杻,2015-03-04,114.6788,123.6652,113.6063,122.4818,5447411,
300246.SZ,惘應杻,2015-03-05,121.1875,124.109,118.3769,121.6312,3609084,
300246.SZ,惘應杻,2015-03-06,121.6312,121.6312,112.4229,113.3474,4239991,
300246.SZ,惘應杻,2015-03-09,111.3505,122.038,111.3505,120.5588,4220768,
300246.SZ,惘應杻,2015-03-10,120.5588,124.2569,118.6358,121.8901,3018084,
300246.SZ,惘應杻,2015-03-11,121.9641,127.5852,120.189,126.4758,3779597,
300246.SZ,惘應杻,2015-03-12,127.8811,128.2509,118.3399,122.7037,3854385,
300246.SZ,惘應杻,2015-03-13,122.6667,125.6252,119.4863,122.7407,2756691,
300246.SZ,惘應杻,2015-03-16,122.7407,128.2879,122.7407,125.3663,4709104,
300246.SZ,惘應杻,2015-03-17,126.2169,127.5112,122.5188,125.8841,4598093,
300246.SZ,惘應杻,2015-03-18,125.6622,131.4682,123.8871,131.4682,5191061,
300246.SZ,惘應杻,2015-03-19,131.4682,137.3852,129.8041,137.3852,5491142,
300246.SZ,惘應杻,2015-03-20,136.4607,144.3747,135.6841,143.4871,4986501,
300246.SZ,惘應杻,2015-03-23,143.8569,152.6955,140.5656,152.6955,5374793,
300246.SZ,惘應杻,2015-03-24,150.1807,152.9173,142.7475,147.9249,7814177,
300246.SZ,惘應杻,2015-03-25,147.1853,147.9249,143.0434,144.6336,6134251,
300246.SZ,惘應杻,2015-03-26,140.4547,144.8554,137.94,140.8984,3468320,
300246.SZ,惘應杻,2015-03-27,138.3098,145.706,138.3098,145.632,5046382,
300246.SZ,惘應杻,2015-03-30,144.3007,145.632,137.9769,139.752,5670513,
300246.SZ,惘應杻,2015-03-31,140.8984,147.5181,139.826,145.3362,6817443,
300246.SZ,惘應杻,2015-04-01,145.2622,159.8698,144.7075,159.8698,6172192,
300246.SZ,惘應杻,2015-04-02,159.0192,175.8457,159.0192,175.5129,7369330,
300246.SZ,惘應杻,2015-04-03,177.5099,184.9061,170.1506,177.5468,5593039,
300246.SZ,惘應杻,2015-04-07,177.5468,192.3023,177.5099,184.1665,5681520,
300246.SZ,惘應杻,2015-04-08,186.6072,186.6812,171.26,175.1061,6027679,
300246.SZ,惘應杻,2015-04-09,174.9212,179.3219,159.0192,173.6638,6266890,
300246.SZ,惘應杻,2015-04-10,172.1846,191.045,168.1906,191.045,5316264,
300246.SZ,惘應杻,2015-04-13,192.5612,209.6835,189.7137,199.6986,6990199,
300246.SZ,惘應杻,2015-04-14,205.2458,205.2458,191.5627,192.6722,4302944,
300246.SZ,惘應杻,2015-04-15,192.3023,202.9529,177.0661,198.848,5998997,
300246.SZ,惘應杻,2015-04-16,198.811,217.4496,187.7537,207.2797,5225429,
300246.SZ,惘應杻,2015-04-17,207.0948,214.9718,201.5846,210.3492,4511585,
300246.SZ,惘應杻,2015-04-20,206.762,209.1658,194.3733,196.0005,5216337,
300246.SZ,惘應杻,2015-04-21,194.1514,203.3967,193.4118,201.5846,3245760,
300246.SZ,惘應杻,2015-04-22,201.8435,209.2397,196.7401,200.1424,5011476,
300246.SZ,惘應杻,2015-04-23,204.5061,204.5061,192.4873,197.6646,5934940,
300246.SZ,惘應杻,2015-04-24,197.6646,217.4496,192.6722,217.4496,8259207,
300246.SZ,惘應杻,2015-04-27,225.5854,231.7983,210.793,219.2617,5715357,
300246.SZ,惘應杻,2015-04-28,216.4141,221.8134,210.3492,214.4171,3849867,
300246.SZ,惘應杻,2015-04-29,218.1892,221.8873,199.6986,213.0118,6144076,
300246.SZ,惘應杻,2015-04-30,211.9024,223.7364,210.793,220.0383,5212550,
300246.SZ,惘應杻,2015-05-04,218.596,218.596,206.3552,208.4262,4290903,
300246.SZ,惘應杻,2015-05-05,210.719,210.719,198.5522,204.6541,3462985,
300246.SZ,惘應杻,2015-05-06,202.6201,213.7515,200.1424,205.2088,2928243,
300246.SZ,惘應杻,2015-05-07,201.7326,203.7295,193.5227,199.3288,2675359,
300246.SZ,惘應杻,2015-05-08,201.7326,212.9748,197.0359,211.8654,6886848,
300246.SZ,惘應杻,2015-05-11,212.1982,221.1477,206.3552,217.4496,8896930,
300246.SZ,惘應杻,2015-05-12,217.4496,220.2232,210.0533,214.5281,5076331,
300246.SZ,惘應杻,2015-05-13,209.6835,215.6005,207.0948,214.3432,5038458,
300246.SZ,惘應杻,2015-05-14,214.4541,228.5439,211.5326,214.8609,5024193,
300246.SZ,惘應杻,2015-05-15,217.4496,217.4496,203.3967,207.6865,3165897,
300246.SZ,惘應杻,2015-05-18,207.0948,224.0322,203.9144,221.8134,6513797,
300246.SZ,惘應杻,2015-05-19,223.7364,223.7364,208.9809,210.682,6790535,
300246.SZ,惘應杻,2015-05-20,211.1628,218.9288,203.3967,218.1892,9451250,
300246.SZ,惘應杻,2015-05-21,220.7779,240.0081,220.7779,240.0081,11052552,
300246.SZ,惘應杻,2015-05-22,246.8496,253.6912,227.8043,236.6798,10362430,
300246.SZ,惘應杻,2015-05-25,225.5854,230.7628,222.6269,225.9553,7774189,
300246.SZ,惘應杻,2015-05-26,225.5854,235.2006,223.4036,231.5024,6401004,
300246.SZ,惘應杻,2015-05-27,231.6875,231.7615,219.1038,221.6946,7263623,
300246.SZ,惘應杻,2015-05-28,218.3636,225.7658,199.5251,199.5251,7412872,
300246.SZ,惘應杻,2015-05-29,192.8262,203.5593,180.9827,198.0077,7265418,
