ґъВл,јтіЖ,ИХЖЪ,їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),
300945.SZ,ВьїЁБъ,2021-02-10,23,29.8,20,21.92,32765924,
300945.SZ,ВьїЁБъ,2021-02-18,27,43,26.99,34.35,34589942,
300945.SZ,ВьїЁБъ,2021-02-19,32,34.13,27.91,32,28492005,
300945.SZ,ВьїЁБъ,2021-02-22,31,39.98,30.11,33.76,30595634,
300945.SZ,ВьїЁБъ,2021-02-23,30,33.3,27.72,27.85,24982802,
300945.SZ,ВьїЁБъ,2021-02-24,26.25,29.5,25.84,26.94,20106582,
300945.SZ,ВьїЁБъ,2021-02-25,27.14,28.76,25.78,26.15,19786256,
300945.SZ,ВьїЁБъ,2021-02-26,24,24.81,23.16,23.18,17957339,
300945.SZ,ВьїЁБъ,2021-03-01,22.93,23.37,22.31,22.83,13730416,
300945.SZ,ВьїЁБъ,2021-03-02,22.84,24.13,22.22,24.04,16054279,
300945.SZ,ВьїЁБъ,2021-03-03,23.27,23.47,22.75,22.79,12407378,
300945.SZ,ВьїЁБъ,2021-03-04,22.33,23.1,20.95,21.19,12767214,
300945.SZ,ВьїЁБъ,2021-03-05,20.8,21.96,20.11,21.4,11197974,
300945.SZ,ВьїЁБъ,2021-03-08,21.68,25.68,21.5,25.68,17550886,
300945.SZ,ВьїЁБъ,2021-03-09,26.5,26.89,23.21,23.63,23316002,
300945.SZ,ВьїЁБъ,2021-03-10,22.86,24.26,21.88,22.28,15326922,
300945.SZ,ВьїЁБъ,2021-03-11,21.78,22.8,20.94,22.4,12134630,
300945.SZ,ВьїЁБъ,2021-03-12,22.01,22.95,21.5,21.67,11853371,
300945.SZ,ВьїЁБъ,2021-03-15,21.52,23,21.21,22.36,11653081,
300945.SZ,ВьїЁБъ,2021-03-16,22,22.14,21.42,21.76,9061496,
300945.SZ,ВьїЁБъ,2021-03-17,21.5,22.88,21.27,22.65,12565711,
300945.SZ,ВьїЁБъ,2021-03-18,22.37,24.76,22.36,23.98,19569350,
300945.SZ,ВьїЁБъ,2021-03-19,23.07,25.75,22.6,25.01,21015880,
300945.SZ,ВьїЁБъ,2021-03-22,24.39,26.26,24.1,24.92,18572770,
300945.SZ,ВьїЁБъ,2021-03-23,24.71,28.26,24.5,25.74,22748493,
300945.SZ,ВьїЁБъ,2021-03-24,24,27.5,23.42,25.66,19183064,
300945.SZ,ВьїЁБъ,2021-03-25,25.6,26.49,23.4,23.51,14486723,
300945.SZ,ВьїЁБъ,2021-03-26,23,23.76,22.68,23.17,10413845,
300945.SZ,ВьїЁБъ,2021-03-29,23.05,23.97,23.05,23.67,8941166,
300945.SZ,ВьїЁБъ,2021-03-30,23.22,23.77,22.21,22.52,10161382,
300945.SZ,ВьїЁБъ,2021-03-31,22.4,23.26,22.05,22.81,8342837,
300945.SZ,ВьїЁБъ,2021-04-01,23,23.21,21.76,21.95,8381736,
300945.SZ,ВьїЁБъ,2021-04-02,22.3,23.63,22.01,23.46,11664760,
300945.SZ,ВьїЁБъ,2021-04-06,23.28,24.68,23.28,24.4,13728501,
300945.SZ,ВьїЁБъ,2021-04-07,24.02,25.82,23.91,25.33,17682595,
300945.SZ,ВьїЁБъ,2021-04-08,24.94,25.35,23.9,24.15,14650478,
300945.SZ,ВьїЁБъ,2021-04-09,23.82,24.8,23.65,23.9,8984183,
300945.SZ,ВьїЁБъ,2021-04-12,23.69,23.9,22.56,22.71,8335537,
300945.SZ,ВьїЁБъ,2021-04-13,22.98,23.22,22.35,22.6,6371980,
300945.SZ,ВьїЁБъ,2021-04-14,22.69,23.12,22.29,22.99,5915946,
300945.SZ,ВьїЁБъ,2021-04-15,22.7,23.2,22.02,22.29,6458545,
300945.SZ,ВьїЁБъ,2021-04-16,22.18,23.87,22.17,23.59,10943549,
300945.SZ,ВьїЁБъ,2021-04-19,23.5,23.79,23.19,23.54,7788618,
300945.SZ,ВьїЁБъ,2021-04-20,23.28,23.6,22.68,22.74,8274031,
300945.SZ,ВьїЁБъ,2021-04-21,22.48,22.99,22.18,22.6,5961442,
300945.SZ,ВьїЁБъ,2021-04-22,22.9,22.98,22.21,22.29,4823662,
300945.SZ,ВьїЁБъ,2021-04-23,22.32,22.34,21.2,21.37,7015762,
300945.SZ,ВьїЁБъ,2021-04-26,21.15,21.54,20.8,21.28,3672125,
300945.SZ,ВьїЁБъ,2021-04-27,21.08,21.47,20.04,20.11,5357028,
300945.SZ,ВьїЁБъ,2021-04-28,20,20.49,19.49,20.48,4106837,
300945.SZ,ВьїЁБъ,2021-04-29,20.39,20.85,20.08,20.1,4039510,
300945.SZ,ВьїЁБъ,2021-04-30,20.06,20.3,18.68,18.99,5730733,
300945.SZ,ВьїЁБъ,2021-05-06,19.19,20.38,19.16,19.88,5714040,
300945.SZ,ВьїЁБъ,2021-05-07,20,21.74,19.93,20.73,9052522,
300945.SZ,ВьїЁБъ,2021-05-10,20.48,20.9,19.93,20.03,6489777,
300945.SZ,ВьїЁБъ,2021-05-11,19.64,20.2,19.22,19.8,4826670,
300945.SZ,ВьїЁБъ,2021-05-12,19.68,19.78,19.18,19.52,4089785,
300945.SZ,ВьїЁБъ,2021-05-13,19.34,19.99,19.2,19.25,3920758,
300945.SZ,ВьїЁБъ,2021-05-14,19.08,19.4,18.89,19.35,3760013,
300945.SZ,ВьїЁБъ,2021-05-17,19.4,19.79,19.03,19.77,5126499,
