代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
600743.SH,华远控股,2015-01-05,45.5124,49.082,45.1157,46.8014,113681528,
600743.SH,华远控股,2015-01-06,45.6115,45.909,44.2233,45.0166,49277749,
600743.SH,华远控股,2015-01-07,44.62,45.8098,43.6284,45.4132,28115648,
600743.SH,华远控股,2015-01-08,45.1157,45.3141,43.8267,44.3225,23505929,
600743.SH,华远控股,2015-01-09,44.2233,45.4132,43.6284,43.7276,27203429,
600743.SH,华远控股,2015-01-12,43.2318,43.4301,40.9512,41.447,23958374,
600743.SH,华远控股,2015-01-13,41.2487,41.9428,41.0504,41.6453,15912942,
600743.SH,华远控股,2015-01-14,41.6453,42.3394,41.1495,41.5461,15245036,
600743.SH,华远控股,2015-01-15,41.6453,42.9343,41.447,42.8352,16995053,
600743.SH,华远控股,2015-01-16,43.1326,43.2318,41.6453,42.3394,30930581,
600743.SH,华远控股,2015-01-19,40.9512,41.0504,38.0757,38.1749,36130291,
600743.SH,华远控股,2015-01-20,38.6706,39.3647,38.1749,39.3647,18051957,
600743.SH,华远控股,2015-01-21,39.3647,41.1495,39.1664,41.1495,23402813,
600743.SH,华远控股,2015-01-22,40.7529,41.5461,40.6537,41.0504,19308765,
600743.SH,华远控股,2015-01-23,41.1495,41.8436,40.6537,41.1495,24677982,
600743.SH,华远控股,2015-01-26,40.9512,43.7276,40.6537,43.4301,58210609,
600743.SH,华远控股,2015-01-27,43.1326,43.6284,41.7445,42.5377,39285922,
600743.SH,华远控股,2015-01-28,42.0419,42.6369,41.6453,42.3394,20360500,
600743.SH,华远控股,2015-01-29,41.8436,42.3394,41.3478,41.7445,14474000,
600743.SH,华远控股,2015-01-30,41.7445,42.5377,41.2487,41.8436,15927435,
600743.SH,华远控股,2015-02-02,41.447,43.3309,40.7529,42.3394,29075814,
600743.SH,华远控股,2015-02-03,42.2402,42.6369,41.1495,42.2402,19633062,
600743.SH,华远控股,2015-02-04,42.0419,42.6369,41.9428,42.1411,15449855,
600743.SH,华远控股,2015-02-05,43.4301,43.6284,41.7445,41.7445,22032474,
600743.SH,华远控股,2015-02-06,41.5461,42.0419,39.9597,40.2571,16121448,
600743.SH,华远控股,2015-02-09,40.158,40.2571,39.4639,39.7613,10116298,
600743.SH,华远控股,2015-02-10,39.7613,40.5546,39.563,40.2571,9141969,
600743.SH,华远控股,2015-02-11,40.3563,40.5546,39.8605,40.4554,8845237,
600743.SH,华远控股,2015-02-12,40.3563,40.6537,40.158,40.6537,6351330,
600743.SH,华远控股,2015-02-13,40.7529,42.0419,40.7529,41.3478,12274770,
600743.SH,华远控股,2015-02-16,41.447,41.7445,41.1495,41.6453,9369646,
600743.SH,华远控股,2015-02-17,41.8436,41.9428,41.0504,41.447,39198232,
600743.SH,华远控股,2015-02-25,41.1495,41.3478,40.7529,40.9512,18393329,
600743.SH,华远控股,2015-02-26,40.9512,41.7445,40.5546,41.6453,26169381,
600743.SH,华远控股,2015-02-27,41.6453,41.7445,41.2487,41.6453,18992694,
600743.SH,华远控股,2015-03-02,42.1411,42.5377,41.8436,42.4385,39695972,
600743.SH,华远控股,2015-03-03,42.5377,42.5377,41.6453,41.8436,22460032,
600743.SH,华远控股,2015-03-04,42.0419,43.2318,42.0419,43.0335,38012408,
600743.SH,华远控股,2015-03-05,42.736,43.2318,41.9428,42.3394,26197127,
600743.SH,华远控股,2015-03-06,42.3394,42.6369,41.5461,42.2402,25388932,
600743.SH,华远控股,2015-03-09,41.9428,42.9343,41.5461,42.8352,23928667,
600743.SH,华远控股,2015-03-10,42.736,43.4301,42.6369,43.2318,28135201,
600743.SH,华远控股,2015-03-11,43.1326,43.5293,42.5377,42.9343,21022068,
600743.SH,华远控股,2015-03-12,42.8352,45.909,42.8352,44.8183,54762695,
600743.SH,华远控股,2015-03-13,44.8183,45.8098,44.025,45.0166,43949532,
600743.SH,华远控股,2015-03-16,45.1157,46.4048,44.7191,46.0081,37231527,
600743.SH,华远控股,2015-03-17,46.2065,47.8921,46.0081,47.3963,57928625,
600743.SH,华远控股,2015-03-18,47.7929,52.1558,47.7929,50.7676,109354362,
