旗鷹,酒各,晩豚,蝕徒勺(圷),恷互勺(圷),恷詰勺(圷),辺徒勺(圷),撹住楚(紘),
601966.SH,早艸態魅,2016-07-06,15.58,18.69,15.58,18.69,95936,
601966.SH,早艸態魅,2016-07-07,20.56,20.56,20.56,20.56,54766,
601966.SH,早艸態魅,2016-07-08,22.62,22.62,22.62,22.62,44000,
601966.SH,早艸態魅,2016-07-11,24.88,24.88,24.88,24.88,118941,
601966.SH,早艸態魅,2016-07-12,27.37,27.37,27.37,27.37,189755,
601966.SH,早艸態魅,2016-07-13,30.11,30.11,30.11,30.11,136272,
601966.SH,早艸態魅,2016-07-14,33.12,33.12,33.12,33.12,457874,
601966.SH,早艸態魅,2016-07-15,36.43,36.43,36.43,36.43,714750,
601966.SH,早艸態魅,2016-07-18,40.07,40.07,40.07,40.07,1561187,
601966.SH,早艸態魅,2016-07-19,43,43,40.08,42.09,94325201,
601966.SH,早艸態魅,2016-07-20,41,41.5,40.11,40.16,45790411,
601966.SH,早艸態魅,2016-07-21,39.97,41.99,39.62,40.62,39519294,
601966.SH,早艸態魅,2016-07-22,39.9,40.39,38.01,38.18,40083100,
601966.SH,早艸態魅,2016-07-25,39.5,40.44,38.76,39.38,33299589,
601966.SH,早艸態魅,2016-07-26,38.82,40.2,38.3,39.49,26150672,
601966.SH,早艸態魅,2016-07-27,39.55,39.73,36.36,37.29,33197111,
601966.SH,早艸態魅,2016-07-28,36.98,37.95,36.28,37.32,19347859,
601966.SH,早艸態魅,2016-07-29,37.4,38.65,36.5,38.08,27139084,
601966.SH,早艸態魅,2016-08-01,37.4,37.66,35.08,35.86,18330198,
601966.SH,早艸態魅,2016-08-02,36.01,36.48,35.59,36.07,12904855,
601966.SH,早艸態魅,2016-08-03,35.98,37.77,35.7,37.26,24848562,
601966.SH,早艸態魅,2016-08-04,37,37.5,36.61,36.75,17136184,
601966.SH,早艸態魅,2016-08-05,36.81,36.87,35.61,35.76,17306525,
601966.SH,早艸態魅,2016-08-08,35.5,35.5,34.56,35.24,16074303,
601966.SH,早艸態魅,2016-08-09,35.29,35.64,35.1,35.56,13880314,
601966.SH,早艸態魅,2016-08-10,35.7,37.58,35.26,36.92,31607931,
601966.SH,早艸態魅,2016-08-11,36.49,36.69,35.68,35.71,18349272,
601966.SH,早艸態魅,2016-08-12,35.47,36.58,35.31,36.38,18682024,
601966.SH,早艸態魅,2016-08-15,36.45,37.48,35.84,36.92,23924607,
601966.SH,早艸態魅,2016-08-16,36.79,37.69,36.77,37,24160305,
601966.SH,早艸態魅,2016-08-17,36.87,37.47,36.61,37,19037052,
601966.SH,早艸態魅,2016-08-18,37,37.25,36.2,36.34,18498934,
601966.SH,早艸態魅,2016-08-19,36.1,36.34,35.8,35.9,12974014,
601966.SH,早艸態魅,2016-08-22,35.81,36.63,35.8,35.91,12010219,
