΄ϊΒλ,Ός³Ζ,ΘΥΖΪ,ΏªΕΜΌΫ(Τª),ΧξΈίΌΫ(Τª),ΧξµΝΌΫ(Τª),ΚΥΕΜΌΫ(Τª),³Ι½»ΑΏ(ΉΙ),
603885.SH,ΌªΟιΊ½ΏΥ,2015-05-27,16.1,16.1,16.1,16.1,23600,
603885.SH,ΌªΟιΊ½ΏΥ,2015-05-28,17.71,17.71,17.71,17.71,6881,
603885.SH,ΌªΟιΊ½ΏΥ,2015-05-29,19.48,19.48,19.48,19.48,7825,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-01,21.43,21.43,21.43,21.43,4500,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-02,23.57,23.57,23.57,23.57,5000,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-03,25.93,25.93,25.93,25.93,8252,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-04,28.52,28.52,28.52,28.52,31300,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-05,31.37,31.37,31.37,31.37,15000,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-08,34.51,34.51,34.51,34.51,24600,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-09,37.96,37.96,37.96,37.96,31100,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-10,41.76,41.76,41.76,41.76,56400,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-11,45.94,45.94,45.94,45.94,35500,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-12,50.53,50.53,50.53,50.53,37900,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-15,55.58,55.58,55.58,55.58,98294,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-16,61.14,61.14,61.14,61.14,522300,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-17,67.25,67.25,67.25,67.25,668342,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-18,73.98,73.98,73.98,73.98,1986526,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-19,67.02,80.1,66.58,68.17,32593597,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-23,65.11,68.17,61.4,65.42,17612269,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-24,68.04,71.96,66,69.44,22771760,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-25,66.5,74.18,63,67.75,20113043,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-26,65.01,72.78,63,68.96,18420177,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-29,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-06-30,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-01,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-02,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-03,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-06,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-07,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-08,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-09,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-10,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-13,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-14,68.96,68.96,68.96,68.96,0,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-15,62.06,62.06,62.06,62.06,1251200,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-16,55.85,59.99,55.85,55.89,27448131,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-17,56,60,54,58.55,15328629,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-20,57,60.94,56.9,57.82,11468025,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-21,56.52,63.6,54.8,63.6,15374009,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-22,63,65.28,60.7,61.39,12407937,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-23,61.28,67.3,60.91,66.85,13536806,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-24,67.29,72.94,67.29,70.91,16215583,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-27,69.22,76.9,63.82,63.83,18913806,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-28,59.01,68,57.53,62.5,13772139,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-29,63.9,68.75,60.9,68.74,14683210,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-30,67,70,63,64.87,13737231,
603885.SH,ΌªΟιΊ½ΏΥ,2015-07-31,63.2,64.85,58.89,60.27,10073307,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-03,60.25,61.98,54.55,56.94,11038619,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-04,58,62.59,55.8,62.17,11052309,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-05,62,63,58.8,59.25,10324115,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-06,57.95,59.24,56.8,57.25,5772342,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-07,58.5,60,58.01,59,6358771,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-10,60.13,63.7,60.03,63.23,9417607,
603885.SH,ΌªΟιΊ½ΏΥ,2015-08-11,63,65.71,60.7,61.67,10503272,
