іъ¬л,Љт≥∆,»’∆Џ,њ™≈ћЉџ(‘™),„оЄяЉџ(‘™),„оµЌЉџ(‘™), ’≈ћЉџ(‘™),≥…љїЅњ(є…),
603993.SH,¬е—фов“µ,2015-01-05,9.2055,10.1313,9.1529,10.1313,30510838,
603993.SH,¬е—фов“µ,2015-01-06,10.6047,10.9098,10.2049,10.4259,56495703,
603993.SH,¬е—фов“µ,2015-01-07,10.3627,11.2465,10.1944,10.7836,41568562,
603993.SH,¬е—фов“µ,2015-01-08,10.6573,10.8151,10.247,10.489,24731532,
603993.SH,¬е—фов“µ,2015-01-09,10.3627,10.8888,10.3101,10.4153,31578402,
603993.SH,¬е—фов“µ,2015-01-12,10.1523,10.3522,9.9209,10.2155,20629134,
603993.SH,¬е—фов“µ,2015-01-13,10.2155,10.3522,9.8683,9.9209,19357640,
603993.SH,¬е—фов“µ,2015-01-14,9.9735,10.0366,9.4895,9.6473,21768514,
603993.SH,¬е—фов“µ,2015-01-15,9.5632,9.7841,9.4475,9.7631,18770968,
603993.SH,¬е—фов“µ,2015-01-16,9.8893,10.1418,9.7525,10.0997,33862872,
603993.SH,¬е—фов“µ,2015-01-19,9.5211,9.8683,9.0898,9.3738,24150456,
603993.SH,¬е—фов“µ,2015-01-20,9.458,9.6263,9.3107,9.5737,14536649,
603993.SH,¬е—фов“µ,2015-01-21,9.5947,10.5206,9.5842,10.2049,45462489,
603993.SH,¬е—фов“µ,2015-01-22,10.226,11.2254,10.0892,11.2254,60813982,
603993.SH,¬е—фов“µ,2015-01-23,11.3622,11.9619,11.2359,11.499,68799440,
603993.SH,¬е—фов“µ,2015-01-26,11.3622,11.8356,11.1518,11.7515,47576565,
603993.SH,¬е—фов“µ,2015-01-27,11.6042,12.8246,11.5516,12.3301,54638252,
603993.SH,¬е—фов“µ,2015-01-28,12.0881,12.1828,11.762,11.8567,28184312,
603993.SH,¬е—фов“µ,2015-01-29,11.6778,11.8146,11.2675,11.5936,24029984,
603993.SH,¬е—фов“µ,2015-01-30,11.5831,12.0776,11.4779,11.6042,29455836,
603993.SH,¬е—фов“µ,2015-02-02,11.4674,11.9513,11.2044,11.762,19689521,
603993.SH,¬е—фов“µ,2015-02-03,11.8882,11.9934,11.3727,11.7935,21811870,
603993.SH,¬е—фов“µ,2015-02-04,11.7515,12.5195,11.7199,12.3511,40008398,
603993.SH,¬е—фов“µ,2015-02-05,12.6247,13.077,11.9093,11.9408,33042035,
603993.SH,¬е—фов“µ,2015-02-06,11.6042,11.8882,11.1307,11.3306,22522914,
603993.SH,¬е—фов“µ,2015-02-09,11.3306,11.4884,11.1623,11.278,12462876,
603993.SH,¬е—фов“µ,2015-02-10,11.2044,11.6462,11.1833,11.5831,11887885,
603993.SH,¬е—фов“µ,2015-02-11,11.541,11.7515,11.2675,11.499,15289783,
603993.SH,¬е—фов“µ,2015-02-12,11.5095,11.5621,11.0992,11.3096,14224294,
603993.SH,¬е—фов“µ,2015-02-13,11.4464,12.1828,11.3938,11.8672,28723820,
603993.SH,¬е—фов“µ,2015-02-16,11.9513,12.0986,11.6989,12.0881,18023711,
603993.SH,¬е—фов“µ,2015-02-17,12.0566,12.288,11.9408,11.9513,15115952,
603993.SH,¬е—фов“µ,2015-02-25,11.9829,11.9829,11.5831,11.6462,14093702,
603993.SH,¬е—фов“µ,2015-02-26,11.6462,12.814,11.5831,12.814,29997742,
603993.SH,¬е—фов“µ,2015-02-27,12.8666,13.845,12.551,13.2349,46111964,
603993.SH,¬е—фов“µ,2015-03-02,13.5505,13.9923,13.1928,13.4558,40583843,
603993.SH,¬е—фов“µ,2015-03-03,13.3085,14.066,13.0876,13.2664,37734048,
603993.SH,¬е—фов“µ,2015-03-04,13.1507,13.4347,12.7614,13.1612,29898251,
603993.SH,¬е—фов“µ,2015-03-05,13.0139,13.7293,12.8982,13.582,28378218,
603993.SH,¬е—фов“µ,2015-03-06,13.4558,14.4658,13.298,13.7924,34372474,
603993.SH,¬е—фов“µ,2015-03-09,13.6767,13.7293,13.0665,13.6346,21422973,
603993.SH,¬е—фов“µ,2015-03-10,13.5715,14.066,13.4768,13.582,17410063,
603993.SH,¬е—фов“µ,2015-03-11,13.561,13.9187,13.1612,13.4032,16550881,
603993.SH,¬е—фов“µ,2015-03-12,13.4137,13.6136,13.1507,13.4558,12876887,
603993.SH,¬е—фов“µ,2015-03-13,13.4137,14.2027,13.2559,13.824,18489337,
603993.SH,¬е—фов“µ,2015-03-16,13.8766,14.4026,13.7293,14.3921,22952880,
603993.SH,¬е—фов“µ,2015-03-17,14.4342,14.6867,14.0975,14.2448,25942152,
603993.SH,¬е—фов“µ,2015-03-18,14.1501,14.4342,14.0975,14.4132,21755018,
603993.SH,¬е—фов“µ,2015-03-19,14.4342,14.8235,14.2133,14.3079,24444950,
603993.SH,¬е—фов“µ,2015-03-20,14.2974,14.3079,13.9608,14.2238,20528085,
603993.SH,¬е—фов“µ,2015-03-23,14.4763,14.834,14.2238,14.3185,25414917,
603993.SH,¬е—фов“µ,2015-03-24,14.35,14.571,13.7924,14.1501,26839016,
603993.SH,¬е—фов“µ,2015-03-25,14.0239,14.0975,13.4663,13.6346,27591310,
603993.SH,¬е—фов“µ,2015-03-26,13.6241,14.1607,13.3611,13.9397,29111423,
603993.SH,¬е—фов“µ,2015-03-27,14.0449,14.1817,13.9397,13.9923,21685974,
603993.SH,¬е—фов“µ,2015-03-30,14.0029,14.2974,13.8976,14.2343,27458301,
603993.SH,¬е—фов“µ,2015-03-31,14.2659,14.8235,14.1817,14.2974,36900270,
603993.SH,¬е—фов“µ,2015-04-01,14.2974,14.571,14.1291,14.5184,22292170,
603993.SH,¬е—фов“µ,2015-04-02,14.6236,15.1391,14.3395,15.097,38398296,
603993.SH,¬е—фов“µ,2015-04-03,14.8129,15.36,14.7288,15.0128,27821508,
603993.SH,¬е—фов“µ,2015-04-07,15.0339,15.5178,14.8866,15.2022,28901088,
603993.SH,¬е—фов“µ,2015-04-08,15.2022,15.2548,14.3185,14.5289,31830690,
603993.SH,¬е—фов“µ,2015-04-09,14.5499,14.6236,13.4979,13.845,23328155,
603993.SH,¬е—фов“µ,2015-04-10,13.8661,14.2343,13.845,14.0975,17093388,
603993.SH,¬е—фов“µ,2015-04-13,14.1081,14.7814,14.0134,14.7182,26463537,
603993.SH,¬е—фов“µ,2015-04-14,14.6972,14.6972,14.1817,14.3711,21978181,
603993.SH,¬е—фов“µ,2015-04-15,14.2027,14.4237,13.7819,13.8871,16999218,
603993.SH,¬е—фов“µ,2015-04-16,13.6767,14.3079,13.4768,14.0449,13230837,
603993.SH,¬е—фов“µ,2015-04-17,14.1291,15.0549,14.0765,14.8866,40531310,
603993.SH,¬е—фов“µ,2015-04-20,15.0444,15.2443,14.3079,14.3711,44735820,
603993.SH,¬е—фов“µ,2015-04-21,14.35,14.8024,14.087,14.7709,23270994,
603993.SH,¬е—фов“µ,2015-04-22,14.6867,16.0228,14.6236,15.8966,50632359,
603993.SH,¬е—фов“µ,2015-04-23,15.7703,17.4852,15.381,17.4852,69520830,
603993.SH,¬е—фов“µ,2015-04-24,17.4852,18.5056,16.6961,17.8008,64402754,
603993.SH,¬е—фов“µ,2015-04-27,17.6745,17.6745,16.9381,17.2116,39626436,
603993.SH,¬е—фов“µ,2015-04-28,16.9907,17.0854,15.8439,15.886,40814358,
603993.SH,¬е—фов“µ,2015-04-29,16.4647,17.4746,16.4436,17.4746,26004699,
603993.SH,¬е—фов“µ,2015-04-30,19.221,19.221,17.3063,17.3694,69069539,
603993.SH,¬е—фов“µ,2015-05-04,16.8329,16.9486,16.0544,16.5699,36144485,
603993.SH,¬е—фов“µ,2015-05-05,16.391,16.7803,15.4652,15.5599,29079307,
603993.SH,¬е—фов“µ,2015-05-06,15.5599,16.2963,15.2548,15.5599,21019208,
603993.SH,¬е—фов“µ,2015-05-07,15.339,15.9912,15.2548,15.7072,17419651,
603993.SH,¬е—фов“µ,2015-05-08,15.8439,16.1385,15.6967,16.1385,19498302,
603993.SH,¬е—фов“µ,2015-05-11,16.3595,16.7066,16.1806,16.5804,27152250,
603993.SH,¬е—фов“µ,2015-05-12,16.6119,17.0012,16.107,16.9065,32814169,
603993.SH,¬е—фов“µ,2015-05-13,16.6014,17.2327,16.5699,16.7803,33113519,
603993.SH,¬е—фов“µ,2015-05-14,16.6751,17.2327,15.9807,17.138,37335301,
603993.SH,¬е—фов“µ,2015-05-15,17.2011,17.8849,16.6856,16.7066,45607260,
603993.SH,¬е—фов“µ,2015-05-18,16.2016,16.3069,15.8439,15.9912,25055373,
603993.SH,¬е—фов“µ,2015-05-19,15.9071,16.4121,15.886,16.3805,23042036,
603993.SH,¬е—фов“µ,2015-05-20,16.3069,16.8013,16.1806,16.3069,26278701,
603993.SH,¬е—фов“µ,2015-05-21,16.3069,16.4857,16.128,16.4436,21782616,
603993.SH,¬е—фов“µ,2015-05-22,16.4647,17.3694,16.4647,17.3589,41060590,
603993.SH,¬е—фов“µ,2015-05-25,17.3589,17.8113,17.138,17.6535,38489107,
603993.SH,¬е—фов“µ,2015-05-26,17.9901,18.4636,17.3799,18.1479,40029079,
603993.SH,¬е—фов“µ,2015-05-27,18.0427,18.6635,17.4326,18.4215,43235951,
603993.SH,¬е—фов“µ,2015-05-28,18.2532,19.1264,16.5804,16.6014,45875248,
603993.SH,¬е—фов“µ,2015-05-29,16.2858,16.8329,15.36,16.0123,27288309,
603993.SH,¬е—фов“µ,2015-06-01,15.9702,17.2327,15.9492,17.0328,25708326,
603993.SH,¬е—фов“µ,2015-06-02,17.0433,17.6535,16.7592,17.5588,27055418,
603993.SH,¬е—фов“µ,2015-06-03,17.5904,17.5904,16.8329,17.0959,24140200,
603993.SH,¬е—фов“µ,2015-06-04,17.0854,18.8107,16.0438,18.8107,52033757,
603993.SH,¬е—фов“µ,2015-06-05,19.442,20.6308,18.8107,19.6313,79022053,
