╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
605166.SH,╬ш╨окЁ,2020-06-18,8.46,10.15,8.46,10.15,248864,
605166.SH,╬ш╨окЁ,2020-06-19,11.17,11.17,11.17,11.17,97113,
605166.SH,╬ш╨окЁ,2020-06-22,12.29,12.29,12.29,12.29,212333,
605166.SH,╬ш╨окЁ,2020-06-23,13.52,13.52,13.52,13.52,162399,
605166.SH,╬ш╨окЁ,2020-06-24,14.87,14.87,14.87,14.87,360452,
605166.SH,╬ш╨окЁ,2020-06-29,16.36,16.36,16.36,16.36,4422626,
605166.SH,╬ш╨окЁ,2020-06-30,16,16.46,15.33,15.85,46908104,
605166.SH,╬ш╨окЁ,2020-07-01,15.34,15.45,14.3,14.39,35585936,
605166.SH,╬ш╨окЁ,2020-07-02,14.13,14.57,13.91,14.4,21857760,
605166.SH,╬ш╨окЁ,2020-07-03,14.32,14.39,14.02,14.09,17773738,
605166.SH,╬ш╨окЁ,2020-07-06,14.08,14.8,14.08,14.57,23363266,
605166.SH,╬ш╨окЁ,2020-07-07,14.68,15.28,14.18,14.82,28304419,
605166.SH,╬ш╨окЁ,2020-07-08,14.77,15.28,14.5,15.14,25002532,
605166.SH,╬ш╨окЁ,2020-07-09,15.01,16.59,14.9,16.22,32202573,
605166.SH,╬ш╨окЁ,2020-07-10,15.9,16.54,15.53,15.63,25068876,
605166.SH,╬ш╨окЁ,2020-07-13,15.72,15.98,15.4,15.8,19954820,
605166.SH,╬ш╨окЁ,2020-07-14,15.91,15.92,14.86,15.03,18650788,
605166.SH,╬ш╨окЁ,2020-07-15,15.1,15.16,14.34,14.47,13000966,
605166.SH,╬ш╨окЁ,2020-07-16,14.56,14.62,13.68,13.73,10399105,
605166.SH,╬ш╨окЁ,2020-07-17,13.76,14.04,13.55,14.01,7787698,
605166.SH,╬ш╨окЁ,2020-07-20,14.05,14.32,13.9,14.29,7340032,
605166.SH,╬ш╨окЁ,2020-07-21,14.35,14.35,13.92,14.04,6719854,
605166.SH,╬ш╨окЁ,2020-07-22,13.99,14.24,13.75,14.04,7126533,
605166.SH,╬ш╨окЁ,2020-07-23,13.87,13.97,13.53,13.66,7260509,
605166.SH,╬ш╨окЁ,2020-07-24,13.66,13.93,13.23,13.32,7864126,
605166.SH,╬ш╨окЁ,2020-07-27,13.23,13.36,12.85,12.94,6097753,
605166.SH,╬ш╨окЁ,2020-07-28,13,13.4,12.98,13.37,5656506,
605166.SH,╬ш╨окЁ,2020-07-29,13.32,13.51,13.21,13.51,5272758,
605166.SH,╬ш╨окЁ,2020-07-30,13.46,13.5,13.16,13.16,5360010,
605166.SH,╬ш╨окЁ,2020-07-31,13.18,13.34,13.01,13.17,4716747,
605166.SH,╬ш╨окЁ,2020-08-03,13.33,13.54,13.3,13.44,6303040,
605166.SH,╬ш╨окЁ,2020-08-04,13.5,13.87,13.41,13.79,8892809,
605166.SH,╬ш╨окЁ,2020-08-05,13.7,13.7,13.32,13.52,6626305,
605166.SH,╬ш╨окЁ,2020-08-06,13.51,13.54,13.16,13.26,5026123,
605166.SH,╬ш╨окЁ,2020-08-07,13.32,13.32,13.01,13.07,4248452,
605166.SH,╬ш╨окЁ,2020-08-10,13,13.22,12.96,13.19,3392244,
605166.SH,╬ш╨окЁ,2020-08-11,13.23,13.34,13.09,13.1,4294597,
605166.SH,╬ш╨окЁ,2020-08-12,13,13.1,12.47,12.72,6247292,
605166.SH,╬ш╨окЁ,2020-08-13,12.75,12.77,12.66,12.68,2515147,
605166.SH,╬ш╨окЁ,2020-08-14,12.62,12.71,12.48,12.69,2684656,
605166.SH,╬ш╨окЁ,2020-08-17,12.67,12.84,12.63,12.79,2993261,
605166.SH,╬ш╨окЁ,2020-08-18,12.78,12.89,12.74,12.8,2399005,
605166.SH,╬ш╨окЁ,2020-08-19,12.84,13.1,12.78,12.82,3378858,
605166.SH,╬ш╨окЁ,2020-08-20,12.75,12.75,12.52,12.57,2957921,
605166.SH,╬ш╨окЁ,2020-08-21,12.64,12.75,12.58,12.64,2212145,
