ґъВл,јтіЖ,ИХЖЪ,їЄЕМјЫ(ФЄ),ЧоёЯјЫ(ФЄ),ЧоµНјЫ(ФЄ),КХЕМјЫ(ФЄ),іЙЅ»Бї(№Й),
605577.SH,Бъ°жґ«ГЅ,2021-08-24,7.19,8.63,7.19,8.63,1160586,
605577.SH,Бъ°жґ«ГЅ,2021-08-25,9.49,9.49,9.49,9.49,274704,
605577.SH,Бъ°жґ«ГЅ,2021-08-26,10.44,10.44,10.44,10.44,289755,
605577.SH,Бъ°жґ«ГЅ,2021-08-27,11.48,11.48,11.48,11.48,367929,
605577.SH,Бъ°жґ«ГЅ,2021-08-30,12.63,12.63,12.63,12.63,598806,
605577.SH,Бъ°жґ«ГЅ,2021-08-31,13.89,13.89,13.89,13.89,2063610,
605577.SH,Бъ°жґ«ГЅ,2021-09-01,15.28,15.28,14.32,15.28,29046469,
605577.SH,Бъ°жґ«ГЅ,2021-09-02,15.2,15.98,13.88,15,30250492,
605577.SH,Бъ°жґ«ГЅ,2021-09-03,13.8,15.25,13.5,14.85,21605242,
605577.SH,Бъ°жґ«ГЅ,2021-09-06,14.52,15.88,14.33,15.4,21595814,
605577.SH,Бъ°жґ«ГЅ,2021-09-07,15.58,16.5,14.48,14.97,22321444,
605577.SH,Бъ°жґ«ГЅ,2021-09-08,14.86,15.3,14.15,14.38,18401433,
605577.SH,Бъ°жґ«ГЅ,2021-09-09,14.09,14.45,13.75,14.41,13641478,
605577.SH,Бъ°жґ«ГЅ,2021-09-10,14.25,14.64,13.83,13.95,12482852,
605577.SH,Бъ°жґ«ГЅ,2021-09-13,13.6,13.65,12.91,13.03,13095989,
605577.SH,Бъ°жґ«ГЅ,2021-09-14,13.16,14.33,12.94,14.33,18553994,
605577.SH,Бъ°жґ«ГЅ,2021-09-15,14.2,14.2,13.35,13.47,14568389,
605577.SH,Бъ°жґ«ГЅ,2021-09-16,13.2,13.41,12.12,12.29,13041953,
605577.SH,Бъ°жґ«ГЅ,2021-09-17,12.11,12.46,12.02,12.33,7319247,
605577.SH,Бъ°жґ«ГЅ,2021-09-22,12.18,12.7,12,12.51,6849507,
605577.SH,Бъ°жґ«ГЅ,2021-09-23,12.9,12.9,12.29,12.34,5509057,
605577.SH,Бъ°жґ«ГЅ,2021-09-24,12.23,13.57,12.08,13.57,16368156,
605577.SH,Бъ°жґ«ГЅ,2021-09-27,13,13,12.4,12.5,10223582,
605577.SH,Бъ°жґ«ГЅ,2021-09-28,12.4,12.75,12.23,12.6,6332650,
605577.SH,Бъ°жґ«ГЅ,2021-09-29,12.3,12.54,11.63,11.63,6544658,
605577.SH,Бъ°жґ«ГЅ,2021-09-30,11.61,12.02,11.6,11.8,4313057,
605577.SH,Бъ°жґ«ГЅ,2021-10-08,11.96,12.28,11.9,12.06,3460916,
605577.SH,Бъ°жґ«ГЅ,2021-10-11,12.05,12.57,12.05,12.18,4608824,
605577.SH,Бъ°жґ«ГЅ,2021-10-12,12.16,13.4,12.1,12.55,13434429,
605577.SH,Бъ°жґ«ГЅ,2021-10-13,12.23,13.81,12.01,13.81,10953391,
605577.SH,Бъ°жґ«ГЅ,2021-10-14,14.59,15.19,14.27,15.19,15676653,
605577.SH,Бъ°жґ«ГЅ,2021-10-15,15.83,16.71,13.9,14.01,35260775,
605577.SH,Бъ°жґ«ГЅ,2021-10-18,12.97,14.01,12.97,13.6,23716940,
605577.SH,Бъ°жґ«ГЅ,2021-10-19,13.3,13.65,13.18,13.34,14863885,
605577.SH,Бъ°жґ«ГЅ,2021-10-20,13.29,13.65,13,13.45,14333858,
605577.SH,Бъ°жґ«ГЅ,2021-10-21,13.18,13.58,12.9,12.9,11814650,
605577.SH,Бъ°жґ«ГЅ,2021-10-22,12.71,12.85,12.28,12.35,10164344,
605577.SH,Бъ°жґ«ГЅ,2021-10-25,12.29,12.49,12.22,12.36,5489528,
605577.SH,Бъ°жґ«ГЅ,2021-10-26,12.23,12.56,12.09,12.14,6350427,
605577.SH,Бъ°жґ«ГЅ,2021-10-27,12.09,12.12,11.69,11.91,6143003,
605577.SH,Бъ°жґ«ГЅ,2021-10-28,11.9,12.48,11.88,12.31,9492566,
605577.SH,Бъ°жґ«ГЅ,2021-10-29,12.28,12.4,11.79,12.1,7341879,
605577.SH,Бъ°жґ«ГЅ,2021-11-01,12,12.2,11.85,12.01,5403000,
605577.SH,Бъ°жґ«ГЅ,2021-11-02,12.09,12.26,11.28,11.35,8015810,
605577.SH,Бъ°жґ«ГЅ,2021-11-03,11.3,11.63,11.11,11.58,5025438,
605577.SH,Бъ°жґ«ГЅ,2021-11-04,11.62,11.71,11.51,11.66,3878725,
605577.SH,Бъ°жґ«ГЅ,2021-11-05,11.61,12.5,11.57,12.24,9377502,
605577.SH,Бъ°жґ«ГЅ,2021-11-08,12.07,12.35,11.93,12.16,4859708,
605577.SH,Бъ°жґ«ГЅ,2021-11-09,12.13,12.26,12.05,12.15,3669558,
605577.SH,Бъ°жґ«ГЅ,2021-11-10,12.08,13.31,12.03,12.71,12450595,
605577.SH,Бъ°жґ«ГЅ,2021-11-11,12.5,13,12.28,12.81,9544362,
605577.SH,Бъ°жґ«ГЅ,2021-11-12,12.74,12.84,12.5,12.54,6819386,
605577.SH,Бъ°жґ«ГЅ,2021-11-15,12.54,13.22,12.5,13.05,10984753,
605577.SH,Бъ°жґ«ГЅ,2021-11-16,13.14,14.13,13.07,13.26,16542036,
605577.SH,Бъ°жґ«ГЅ,2021-11-17,12.95,13.7,12.8,13.63,10550977,
605577.SH,Бъ°жґ«ГЅ,2021-11-18,13.47,13.58,12.97,13.08,7121872,
605577.SH,Бъ°жґ«ГЅ,2021-11-19,13.08,13.24,12.84,12.92,5081041,
605577.SH,Бъ°жґ«ГЅ,2021-11-22,13.01,13.03,12.72,12.97,3860625,
605577.SH,Бъ°жґ«ГЅ,2021-11-23,13.01,13.01,12.59,12.72,4419168,
605577.SH,Бъ°жґ«ГЅ,2021-11-24,12.75,13.68,12.59,13.49,10383940,
605577.SH,Бъ°жґ«ГЅ,2021-11-25,13.48,13.58,13.01,13.08,6209624,
605577.SH,Бъ°жґ«ГЅ,2021-11-26,13.08,13.25,12.85,13.03,4596146,
605577.SH,Бъ°жґ«ГЅ,2021-11-29,12.7,12.98,12.43,12.49,5102836,
605577.SH,Бъ°жґ«ГЅ,2021-11-30,12.51,12.87,12.5,12.75,3662538,
605577.SH,Бъ°жґ«ГЅ,2021-12-01,12.7,12.77,12.6,12.72,2391366,
605577.SH,Бъ°жґ«ГЅ,2021-12-02,12.7,12.71,12.23,12.32,3667496,
605577.SH,Бъ°жґ«ГЅ,2021-12-03,12.39,12.49,12.2,12.23,2117753,
605577.SH,Бъ°жґ«ГЅ,2021-12-06,12.23,12.28,12,12.05,2538775,
605577.SH,Бъ°жґ«ГЅ,2021-12-07,12.18,12.18,11.84,12.03,2453257,
605577.SH,Бъ°жґ«ГЅ,2021-12-08,12.04,12.19,11.95,12.14,2171176,
605577.SH,Бъ°жґ«ГЅ,2021-12-09,12.23,12.35,12.1,12.26,2934124,
605577.SH,Бъ°жґ«ГЅ,2021-12-10,12.28,12.67,12.19,12.53,5586880,
605577.SH,Бъ°жґ«ГЅ,2021-12-13,12.53,13.12,12.36,12.89,8210216,
605577.SH,Бъ°жґ«ГЅ,2021-12-14,12.89,13.5,12.72,13.21,11286504,
605577.SH,Бъ°жґ«ГЅ,2021-12-15,13.22,14.14,13.22,13.5,14256084,
605577.SH,Бъ°жґ«ГЅ,2021-12-16,13.34,14.85,13.31,14.85,15990130,
605577.SH,Бъ°жґ«ГЅ,2021-12-17,15.1,15.35,13.7,13.76,23933830,
605577.SH,Бъ°жґ«ГЅ,2021-12-20,13.62,15.14,13.42,15.14,20719451,
605577.SH,Бъ°жґ«ГЅ,2021-12-21,15.7,16.65,14.91,16.65,27051028,
605577.SH,Бъ°жґ«ГЅ,2021-12-22,18.01,18.32,17.31,18.32,10938370,
