����,���,����,���̼�(Ԫ),��߼�(Ԫ),��ͼ�(Ԫ),���̼�(Ԫ),�ɽ���(��),
688173.SH,ϣݶ΢,2022-01-21,41.8,51.88,41.41,44.05,24335487,
688173.SH,ϣݶ΢,2022-01-24,40.1,40.76,34.38,34.38,14208003,
688173.SH,ϣݶ΢,2022-01-25,33.98,35.28,32.33,33.13,8218642,
688173.SH,ϣݶ΢,2022-01-26,32.88,33.58,30.13,30.58,7164444,
688173.SH,ϣݶ΢,2022-01-27,30.66,30.76,27.71,27.71,6119322,
688173.SH,ϣݶ΢,2022-01-28,28.2,28.45,27.49,27.7,3341735,
688173.SH,ϣݶ΢,2022-02-07,28.75,29.4,27.88,28.58,3525503,
688173.SH,ϣݶ΢,2022-02-08,28.38,29.17,28.01,28.82,2256775,
688173.SH,ϣݶ΢,2022-02-09,28.86,29.38,28.24,29.13,2957439,
688173.SH,ϣݶ΢,2022-02-10,29.09,29.09,27.63,27.8,3341572,
688173.SH,ϣݶ΢,2022-02-11,27.79,27.79,26.49,26.51,3074277,
688173.SH,ϣݶ΢,2022-02-14,26.12,26.85,26.07,26.52,1506297,
688173.SH,ϣݶ΢,2022-02-15,26.65,27.35,26.65,27.13,2046487,
688173.SH,ϣݶ΢,2022-02-16,27.9,29.48,27.3,28.84,4316264,
688173.SH,ϣݶ΢,2022-02-17,28.25,29.18,28.25,28.48,2796246,
688173.SH,ϣݶ΢,2022-02-18,28.04,28.37,27.65,28.19,1723080,
688173.SH,ϣݶ΢,2022-02-21,27.74,28.18,27.74,28.04,1590480,
688173.SH,ϣݶ΢,2022-02-22,27.92,29.06,26.82,28.39,3458496,
688173.SH,ϣݶ΢,2022-02-23,28.1,30.87,28,30.05,4659721,
688173.SH,ϣݶ΢,2022-02-24,29.82,30.08,28.3,28.62,3682303,
688173.SH,ϣݶ΢,2022-02-25,29.17,29.7,28.71,29.01,2150673,
688173.SH,ϣݶ΢,2022-02-28,29.01,29.88,28.76,29.2,2242243,
688173.SH,ϣݶ΢,2022-03-01,29.58,29.58,28.08,28.39,2300418,
688173.SH,ϣݶ΢,2022-03-02,28.38,28.55,27.72,28.42,1259523,
688173.SH,ϣݶ΢,2022-03-03,28.51,28.77,27.82,27.82,1439559,
688173.SH,ϣݶ΢,2022-03-04,27.43,29.07,27.32,27.97,1870148,
688173.SH,ϣݶ΢,2022-03-07,27.85,27.85,27,27.05,1589666,
688173.SH,ϣݶ΢,2022-03-08,27.02,27.93,26.52,26.98,1684461,
688173.SH,ϣݶ΢,2022-03-09,26.98,27.58,25.85,26.89,1853938,
688173.SH,ϣݶ΢,2022-03-10,27.62,28.27,26.91,27.02,2403070,
688173.SH,ϣݶ΢,2022-03-11,26.87,26.91,25.76,26.48,2059181,
688173.SH,ϣݶ΢,2022-03-14,26.33,26.77,26.06,26.41,1118651,
688173.SH,ϣݶ΢,2022-03-15,26.1,26.26,24.5,24.8,2416168,
688173.SH,ϣݶ΢,2022-03-16,25.3,25.65,23.9,25.4,1943172,
688173.SH,ϣݶ΢,2022-03-17,25.8,27.38,25.8,26.5,3092067,
688173.SH,ϣݶ΢,2022-03-18,26.08,26.75,26.07,26.2,1567123,
688173.SH,ϣݶ΢,2022-03-21,26.5,28.36,26.13,28.25,3307631,
688173.SH,ϣݶ΢,2022-03-22,28.16,28.38,27.7,27.95,1668563,
688173.SH,ϣݶ΢,2022-03-23,27.76,28.1,27.5,27.6,1143352,
688173.SH,ϣݶ΢,2022-03-24,27.7,27.7,26.7,26.91,1238956,
688173.SH,ϣݶ΢,2022-03-25,27.17,27.97,26.8,26.8,1185820,
688173.SH,ϣݶ΢,2022-03-28,26.98,26.98,25.92,26.19,925175,
688173.SH,ϣݶ΢,2022-03-29,26.37,26.5,25.28,25.31,913227,
688173.SH,ϣݶ΢,2022-03-30,25.76,25.81,24.92,25.18,1333859,
688173.SH,ϣݶ΢,2022-03-31,25.33,25.33,24.3,24.32,1182673,
688173.SH,ϣݶ΢,2022-04-01,24.32,24.44,23.5,23.65,1687660,
688173.SH,ϣݶ΢,2022-04-06,23.69,24.58,23.52,23.93,1352132,
688173.SH,ϣݶ΢,2022-04-07,23.9,23.92,22.92,22.93,1543906,
688173.SH,ϣݶ΢,2022-04-08,23,23.18,22.05,22.49,1060710,
688173.SH,ϣݶ΢,2022-04-11,22.49,22.5,20.9,21.21,1354721,
688173.SH,ϣݶ΢,2022-04-12,21.97,21.97,21,21.48,1044541,
688173.SH,ϣݶ΢,2022-04-13,21.3,21.41,20.67,20.73,1018569,
688173.SH,ϣݶ΢,2022-04-14,20.78,21.42,20.78,21.2,954002,
688173.SH,ϣݶ΢,2022-04-15,21,21.17,20.33,20.51,1128907,
688173.SH,ϣݶ΢,2022-04-18,20.49,21.55,20.05,21.45,1763195,
688173.SH,ϣݶ΢,2022-04-19,21.7,21.85,20.93,21.17,1414090,
688173.SH,ϣݶ΢,2022-04-20,21.05,21.49,21.05,21.1,900916,
688173.SH,ϣݶ΢,2022-04-21,20.56,21.45,20.54,20.77,1215514,
688173.SH,ϣݶ΢,2022-04-22,20.77,21.97,20.77,21.2,1570731,
688173.SH,ϣݶ΢,2022-04-25,20.82,20.82,18.46,18.66,2152167,
688173.SH,ϣݶ΢,2022-04-26,18.56,18.95,17.52,17.52,1331850,
688173.SH,ϣݶ΢,2022-04-27,17.29,18.67,17.03,18.65,1224539,
688173.SH,ϣݶ΢,2022-04-28,19.16,20.47,18.67,19.62,2035563,
688173.SH,ϣݶ΢,2022-04-29,19.93,20.47,19.53,20.11,1468130,
688173.SH,ϣݶ΢,2022-05-05,20.38,21.58,19.98,21.21,1909619,
688173.SH,ϣݶ΢,2022-05-06,20.57,21.4,20.55,20.68,1145199,
688173.SH,ϣݶ΢,2022-05-09,20.3,21.02,20.3,20.69,762499,
