測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
688381.SH,著兜峚,2022-08-23,53.66,55.5,48,48.27,38376235,
688381.SH,著兜峚,2022-08-24,50.9,51.86,49,49.05,27431371,
688381.SH,著兜峚,2022-08-25,48.1,48.62,44.28,46.27,18692228,
688381.SH,著兜峚,2022-08-26,46.7,47.18,43.21,43.3,13031468,
688381.SH,著兜峚,2022-08-29,42.45,45.7,41.91,43.29,9859822,
688381.SH,著兜峚,2022-08-30,43.59,45.23,43.31,44.45,6849598,
688381.SH,著兜峚,2022-08-31,43.99,44.86,42.01,42.14,6734652,
688381.SH,著兜峚,2022-09-01,42.65,43.7,41.66,41.88,4813243,
688381.SH,著兜峚,2022-09-02,42.39,43.68,41.2,42.34,5608001,
688381.SH,著兜峚,2022-09-05,42.4,42.4,39.5,39.8,7573600,
688381.SH,著兜峚,2022-09-06,40.1,41.96,39.33,41.73,7228932,
688381.SH,著兜峚,2022-09-07,41.27,43.67,41.21,42.84,7207145,
688381.SH,著兜峚,2022-09-08,42.83,43.46,42.41,42.94,4937544,
688381.SH,著兜峚,2022-09-09,42.6,44.38,42.41,43.6,6445247,
688381.SH,著兜峚,2022-09-13,43.6,43.66,41.12,41.47,5067422,
688381.SH,著兜峚,2022-09-14,40.49,42.45,40.44,41.95,4024707,
688381.SH,著兜峚,2022-09-15,42.11,42.48,39.78,40.34,5271878,
688381.SH,著兜峚,2022-09-16,40.41,42.06,40,41.45,4615316,
688381.SH,著兜峚,2022-09-19,41.42,42.87,41.16,41.49,3821171,
688381.SH,著兜峚,2022-09-20,41.11,42.76,40.88,41.69,3724893,
688381.SH,著兜峚,2022-09-21,41.35,42.54,41.06,41.82,2952258,
688381.SH,著兜峚,2022-09-22,41.52,43.05,41.19,42.92,3992224,
688381.SH,著兜峚,2022-09-23,42.89,43.1,39.88,40.3,5290644,
688381.SH,著兜峚,2022-09-26,39.81,40.28,37.88,38,4085712,
688381.SH,著兜峚,2022-09-27,37.98,38.76,37.41,38.5,2823565,
688381.SH,著兜峚,2022-09-28,38.28,38.87,35.44,35.55,4090731,
688381.SH,著兜峚,2022-09-29,36.11,36.48,34.81,35.02,2595962,
688381.SH,著兜峚,2022-09-30,34.75,35.08,32.35,32.48,3532597,
688381.SH,著兜峚,2022-10-10,32.4,33.3,31.55,32.62,3810138,
688381.SH,著兜峚,2022-10-11,32.36,33.15,31.61,32.88,2936898,
688381.SH,著兜峚,2022-10-12,32.57,35.47,32.38,35.43,4259451,
688381.SH,著兜峚,2022-10-13,34.79,35.8,34.7,35.21,2411061,
688381.SH,著兜峚,2022-10-14,35.38,36.15,35.01,35.8,2151281,
688381.SH,著兜峚,2022-10-17,35.79,36.81,35.32,36.24,2052715,
688381.SH,著兜峚,2022-10-18,36.25,36.58,35.42,35.56,1986879,
688381.SH,著兜峚,2022-10-19,35.57,36.11,34.96,35.21,1461147,
688381.SH,著兜峚,2022-10-20,35.21,36.93,34.16,36.2,4745480,
688381.SH,著兜峚,2022-10-21,36,36.28,34.52,35.91,3662267,
688381.SH,著兜峚,2022-10-24,35.91,36.75,35.7,35.97,2941160,
688381.SH,著兜峚,2022-10-25,35.87,36.34,35,35.3,2082405,
688381.SH,著兜峚,2022-10-26,35.68,36.98,34.91,36.77,2531934,
688381.SH,著兜峚,2022-10-27,36.74,37.17,35.2,35.21,3020922,
