¥˙¬Î,ºÚ≥∆,»’∆⁄,ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),
688488.SH,∞¨µœ“©“µ,2020-07-20,35,36.72,29.99,30.92,37923918,
688488.SH,∞¨µœ“©“µ,2020-07-21,30.5,38.5,30.5,37.5,30735234,
688488.SH,∞¨µœ“©“µ,2020-07-22,35,36.18,33.76,34.63,22129474,
688488.SH,∞¨µœ“©“µ,2020-07-23,33.71,35.76,32.03,35.09,18310568,
688488.SH,∞¨µœ“©“µ,2020-07-24,36.88,40.82,35.62,35.78,25202913,
688488.SH,∞¨µœ“©“µ,2020-07-27,36.8,41.82,33.18,40.93,23216957,
688488.SH,∞¨µœ“©“µ,2020-07-28,39,44.44,38.5,39.31,22751561,
688488.SH,∞¨µœ“©“µ,2020-07-29,38.89,41.2,38.61,39.72,15661336,
688488.SH,∞¨µœ“©“µ,2020-07-30,39.32,42.77,39.02,41.9,16933330,
688488.SH,∞¨µœ“©“µ,2020-07-31,44.41,45.26,41.5,41.89,16786898,
688488.SH,∞¨µœ“©“µ,2020-08-03,41.75,43.48,40.86,42.05,13292652,
688488.SH,∞¨µœ“©“µ,2020-08-04,42.26,43.58,41.62,42.49,10948357,
688488.SH,∞¨µœ“©“µ,2020-08-05,41.8,41.8,39.9,40.51,10543796,
688488.SH,∞¨µœ“©“µ,2020-08-06,39.78,40.72,37.7,38.08,11188088,
688488.SH,∞¨µœ“©“µ,2020-08-07,37.75,38.38,36,37.14,7621427,
688488.SH,∞¨µœ“©“µ,2020-08-10,37.14,38.28,37.09,37.7,4664677,
688488.SH,∞¨µœ“©“µ,2020-08-11,37.28,37.62,35.57,35.93,5577271,
688488.SH,∞¨µœ“©“µ,2020-08-12,36.05,36.18,34.8,35.02,4074753,
688488.SH,∞¨µœ“©“µ,2020-08-13,35.41,36.3,34.68,35.47,4321906,
688488.SH,∞¨µœ“©“µ,2020-08-14,35.4,35.86,34.8,35.53,2656653,
688488.SH,∞¨µœ“©“µ,2020-08-17,35.75,36.69,35.6,36.4,3199577,
688488.SH,∞¨µœ“©“µ,2020-08-18,36.38,36.5,35.28,35.47,3941979,
688488.SH,∞¨µœ“©“µ,2020-08-19,35.18,35.48,32.79,33.09,5992038,
688488.SH,∞¨µœ“©“µ,2020-08-20,33,33,31.76,32.02,3190196,
688488.SH,∞¨µœ“©“µ,2020-08-21,32.52,32.52,31.64,31.84,2226206,
688488.SH,∞¨µœ“©“µ,2020-08-24,31.82,33.37,30.68,32.9,4331618,
688488.SH,∞¨µœ“©“µ,2020-08-25,32.51,32.99,32.04,32.06,2559476,
688488.SH,∞¨µœ“©“µ,2020-08-26,31.99,33.92,31.64,32.72,4753651,
688488.SH,∞¨µœ“©“µ,2020-08-27,32.41,33.89,31.82,33.08,3526603,
688488.SH,∞¨µœ“©“µ,2020-08-28,32.83,33.1,32.3,32.89,2364074,
688488.SH,∞¨µœ“©“µ,2020-08-31,32.9,33.6,32.8,33.01,1944766,
688488.SH,∞¨µœ“©“µ,2020-09-01,32.71,33.06,32.18,32.36,1654567,
688488.SH,∞¨µœ“©“µ,2020-09-02,32.36,32.36,30.95,31,3390637,
688488.SH,∞¨µœ“©“µ,2020-09-03,31.18,31.69,30.41,31.29,2496772,
688488.SH,∞¨µœ“©“µ,2020-09-04,30.88,31.28,30.65,31.19,1251295,
688488.SH,∞¨µœ“©“µ,2020-09-07,31.14,31.87,30.81,30.9,2121378,
688488.SH,∞¨µœ“©“µ,2020-09-08,30.81,31.28,30.03,30.16,1898050,
688488.SH,∞¨µœ“©“µ,2020-09-09,29.93,29.93,27.75,27.82,3763132,
688488.SH,∞¨µœ“©“µ,2020-09-10,28.03,28.33,26.76,26.88,2314009,
688488.SH,∞¨µœ“©“µ,2020-09-11,26.71,27.97,26.63,27.86,1731286,
688488.SH,∞¨µœ“©“µ,2020-09-14,28.08,29.66,28.08,28.58,2215776,
688488.SH,∞¨µœ“©“µ,2020-09-15,28.6,29,28.11,28.53,941588,
688488.SH,∞¨µœ“©“µ,2020-09-16,28.8,28.8,27.74,28.03,1185538,
688488.SH,∞¨µœ“©“µ,2020-09-17,28.03,30.69,27.57,29.95,5160993,
688488.SH,∞¨µœ“©“µ,2020-09-18,29.95,30.88,29.5,30.2,2219326,
688488.SH,∞¨µœ“©“µ,2020-09-21,30.18,31,29.9,30.39,1565093,
688488.SH,∞¨µœ“©“µ,2020-09-22,30.05,31.18,30,30.45,1837324,
688488.SH,∞¨µœ“©“µ,2020-09-23,30.45,31.6,30.13,31.17,2547652,
688488.SH,∞¨µœ“©“µ,2020-09-24,31.17,31.17,29.88,30.03,1841348,
688488.SH,∞¨µœ“©“µ,2020-09-25,30.05,30.27,29.05,29.32,1544411,
688488.SH,∞¨µœ“©“µ,2020-09-28,29.05,29.47,28.3,28.44,1202786,
688488.SH,∞¨µœ“©“µ,2020-09-29,28.59,29.15,28.59,28.7,876288,
688488.SH,∞¨µœ“©“µ,2020-09-30,28.98,28.98,28.01,28.41,949271,
688488.SH,∞¨µœ“©“µ,2020-10-09,28.98,29.3,28.72,29.09,905484,
688488.SH,∞¨µœ“©“µ,2020-10-12,29.34,30.45,29.12,30.21,1526079,
688488.SH,∞¨µœ“©“µ,2020-10-13,30.2,31.21,29.86,30.92,1929706,
688488.SH,∞¨µœ“©“µ,2020-10-14,30.88,30.97,29.99,29.99,1467093,
688488.SH,∞¨µœ“©“µ,2020-10-15,30.18,30.3,28.85,29.06,1587986,
688488.SH,∞¨µœ“©“µ,2020-10-16,29.02,29.5,28.95,29.39,871623,
688488.SH,∞¨µœ“©“µ,2020-10-19,29.39,29.39,28.53,28.56,1374457,
688488.SH,∞¨µœ“©“µ,2020-10-20,28.51,29.04,28.3,28.88,782627,
688488.SH,∞¨µœ“©“µ,2020-10-21,28.75,29.28,28.73,29,1017697,
688488.SH,∞¨µœ“©“µ,2020-10-22,28.72,28.99,28.11,28.33,979544,
688488.SH,∞¨µœ“©“µ,2020-10-23,28.75,28.78,27.34,27.63,1418892,
688488.SH,∞¨µœ“©“µ,2020-10-26,27.87,27.88,27.04,27.55,863106,
688488.SH,∞¨µœ“©“µ,2020-10-27,27.66,28.38,27.39,28.29,1165857,
688488.SH,∞¨µœ“©“µ,2020-10-28,28.18,28.41,27.41,27.41,1166701,
688488.SH,∞¨µœ“©“µ,2020-10-29,27.01,27.57,27,27.31,716732,
688488.SH,∞¨µœ“©“µ,2020-10-30,27.3,27.54,26.7,26.8,986980,
688488.SH,∞¨µœ“©“µ,2020-11-02,26.75,26.98,25.73,26.04,1590839,
688488.SH,∞¨µœ“©“µ,2020-11-03,26.36,27.46,25.95,27.46,1288062,
688488.SH,∞¨µœ“©“µ,2020-11-04,27.39,27.5,26.72,27.09,603473,
688488.SH,∞¨µœ“©“µ,2020-11-05,27.78,27.88,26.94,27.28,835128,
688488.SH,∞¨µœ“©“µ,2020-11-06,27.26,27.28,26.53,26.96,787602,
688488.SH,∞¨µœ“©“µ,2020-11-09,27.23,27.93,27,27.8,1392637,
688488.SH,∞¨µœ“©“µ,2020-11-10,27.81,28.74,27.81,28.02,2177102,
688488.SH,∞¨µœ“©“µ,2020-11-11,27.67,28.49,27.66,27.85,1432510,
688488.SH,∞¨µœ“©“µ,2020-11-12,28.16,28.17,27.7,27.86,567091,
688488.SH,∞¨µœ“©“µ,2020-11-13,28.5,28.88,28.15,28.42,1453170,
688488.SH,∞¨µœ“©“µ,2020-11-16,28.3,28.54,27.86,28.4,1084747,
688488.SH,∞¨µœ“©“µ,2020-11-17,28.2,28.38,27.76,28.05,809613,
688488.SH,∞¨µœ“©“µ,2020-11-18,28.24,31.48,27.78,30.93,4706112,
688488.SH,∞¨µœ“©“µ,2020-11-19,30.67,33.31,30.6,31.72,5977283,
688488.SH,∞¨µœ“©“µ,2020-11-20,31.69,32.36,30.33,31.22,2656835,
688488.SH,∞¨µœ“©“µ,2020-11-23,32,32.4,31.1,31.83,2772711,
688488.SH,∞¨µœ“©“µ,2020-11-24,31.82,31.85,30,30.35,2829166,
688488.SH,∞¨µœ“©“µ,2020-11-25,30.6,31.24,30.15,30.55,1544001,
688488.SH,∞¨µœ“©“µ,2020-11-26,30.3,30.59,29.72,29.89,1290278,
688488.SH,∞¨µœ“©“µ,2020-11-27,30.19,30.39,29.63,30.29,804719,
688488.SH,∞¨µœ“©“µ,2020-11-30,30.11,31.06,30.11,30.72,1343724,
688488.SH,∞¨µœ“©“µ,2020-12-01,31,31.3,29.89,29.92,1719501,
688488.SH,∞¨µœ“©“µ,2020-12-02,30,30,28.37,28.53,2633133,
688488.SH,∞¨µœ“©“µ,2020-12-03,28.39,29.5,28.16,28.69,1709362,
688488.SH,∞¨µœ“©“µ,2020-12-04,28.5,29.06,28.5,28.72,680208,
688488.SH,∞¨µœ“©“µ,2020-12-07,28.98,29.35,28.7,28.88,651124,
688488.SH,∞¨µœ“©“µ,2020-12-08,28.84,29.07,28.45,28.53,683773,
688488.SH,∞¨µœ“©“µ,2020-12-09,28.53,28.7,27.5,27.78,977554,
688488.SH,∞¨µœ“©“µ,2020-12-10,27.55,28,27.4,27.51,598677,
688488.SH,∞¨µœ“©“µ,2020-12-11,27.51,27.7,26.83,27.2,636383,
688488.SH,∞¨µœ“©“µ,2020-12-14,26.97,27.43,26.6,26.71,636293,
688488.SH,∞¨µœ“©“µ,2020-12-15,26.79,27.85,26.62,27.53,1005498,
688488.SH,∞¨µœ“©“µ,2020-12-16,27.53,27.7,27.06,27.24,454252,
688488.SH,∞¨µœ“©“µ,2020-12-17,27.2,27.94,26.92,27.94,793553,
688488.SH,∞¨µœ“©“µ,2020-12-18,27.94,28.04,27.44,27.63,491214,
688488.SH,∞¨µœ“©“µ,2020-12-21,27.6,27.74,27.23,27.64,575442,
688488.SH,∞¨µœ“©“µ,2020-12-22,27.91,28.08,27.18,27.3,854745,
688488.SH,∞¨µœ“©“µ,2020-12-23,27.15,27.27,26.43,26.7,1057978,
688488.SH,∞¨µœ“©“µ,2020-12-24,27.2,27.2,26.2,26.57,647381,
688488.SH,∞¨µœ“©“µ,2020-12-25,26.04,26.86,26.04,26.55,466017,
688488.SH,∞¨µœ“©“µ,2020-12-28,26.55,26.96,26,26,843574,
688488.SH,∞¨µœ“©“µ,2020-12-29,26.02,26.18,25.16,25.27,1282778,
688488.SH,∞¨µœ“©“µ,2020-12-30,25.27,25.27,24.57,24.67,874437,
688488.SH,∞¨µœ“©“µ,2020-12-31,24.69,24.98,24.51,24.8,633493,
688488.SH,∞¨µœ“©“µ,2021-01-04,24.83,25.17,24.83,24.91,799106,
688488.SH,∞¨µœ“©“µ,2021-01-05,24.95,25.58,24.76,24.92,975909,
688488.SH,∞¨µœ“©“µ,2021-01-06,24.88,25.2,24.6,24.71,752719,
688488.SH,∞¨µœ“©“µ,2021-01-07,24.71,24.71,22.17,22.55,2129723,
688488.SH,∞¨µœ“©“µ,2021-01-08,22.33,22.99,22.3,22.69,921168,
688488.SH,∞¨µœ“©“µ,2021-01-11,22.9,23.1,21.15,21.16,1614793,
688488.SH,∞¨µœ“©“µ,2021-01-12,21.17,22.03,21.17,21.32,900214,
688488.SH,∞¨µœ“©“µ,2021-01-13,21.12,21.32,19.84,19.86,1696202,
688488.SH,∞¨µœ“©“µ,2021-01-14,20.36,20.95,19.6,20.17,1205940,
688488.SH,∞¨µœ“©“µ,2021-01-15,20.29,21.35,20.2,21.05,1417255,
688488.SH,∞¨µœ“©“µ,2021-01-18,21.46,21.46,20.86,20.96,630099,
688488.SH,∞¨µœ“©“µ,2021-01-19,20.87,21.34,20.87,20.98,969085,
