ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
688772.SH,ึ้บฃนฺำ๎,2021-10-15,39.5,40.65,33.51,33.65,75633489,
688772.SH,ึ้บฃนฺำ๎,2021-10-18,35,38.16,34.45,37.05,55286570,
688772.SH,ึ้บฃนฺำ๎,2021-10-19,36.77,41.22,36.58,40.5,41141309,
688772.SH,ึ้บฃนฺำ๎,2021-10-20,40,42.87,39.81,41.71,30765585,
688772.SH,ึ้บฃนฺำ๎,2021-10-21,41.33,41.88,39.6,41.66,18967436,
688772.SH,ึ้บฃนฺำ๎,2021-10-22,41.85,44.2,39.8,39.8,23266749,
688772.SH,ึ้บฃนฺำ๎,2021-10-25,39.08,43.65,38.36,42.75,25701210,
688772.SH,ึ้บฃนฺำ๎,2021-10-26,42.52,44.75,41.55,42.22,14956839,
688772.SH,ึ้บฃนฺำ๎,2021-10-27,42.25,42.69,40.34,41.11,10415768,
688772.SH,ึ้บฃนฺำ๎,2021-10-28,40.55,40.55,37,38.12,14525758,
688772.SH,ึ้บฃนฺำ๎,2021-10-29,38.15,39.12,37.11,38.23,7817281,
688772.SH,ึ้บฃนฺำ๎,2021-11-01,38,40.04,37.52,38.99,9303007,
688772.SH,ึ้บฃนฺำ๎,2021-11-02,39.28,41.99,38.7,38.94,11735910,
688772.SH,ึ้บฃนฺำ๎,2021-11-03,39.28,41.26,38.44,41.1,11427379,
688772.SH,ึ้บฃนฺำ๎,2021-11-04,41.1,43.9,41.06,42.9,13674171,
688772.SH,ึ้บฃนฺำ๎,2021-11-05,45.5,50.98,45.23,49.12,24230860,
688772.SH,ึ้บฃนฺำ๎,2021-11-08,48.43,54,48.43,52.1,15455475,
688772.SH,ึ้บฃนฺำ๎,2021-11-09,51.32,52.88,50.32,51.6,8664461,
688772.SH,ึ้บฃนฺำ๎,2021-11-10,51.6,53.16,50.42,52.98,8130156,
688772.SH,ึ้บฃนฺำ๎,2021-11-11,52.5,55.38,51.95,52.49,8030969,
688772.SH,ึ้บฃนฺำ๎,2021-11-12,52.03,57.9,50.9,57.58,11730714,
688772.SH,ึ้บฃนฺำ๎,2021-11-15,57.5,59.8,54.19,55.03,10898802,
688772.SH,ึ้บฃนฺำ๎,2021-11-16,54.49,55.09,50.83,52.33,10321362,
688772.SH,ึ้บฃนฺำ๎,2021-11-17,52,62.8,51.69,62.8,13942190,
688772.SH,ึ้บฃนฺำ๎,2021-11-18,60.99,64.47,60.12,62.78,10924424,
688772.SH,ึ้บฃนฺำ๎,2021-11-19,64.6,64.6,57.77,58.77,11556600,
688772.SH,ึ้บฃนฺำ๎,2021-11-22,58.88,62.38,58,59.41,9756577,
688772.SH,ึ้บฃนฺำ๎,2021-11-23,58.8,60.88,57.8,60.08,7177890,
688772.SH,ึ้บฃนฺำ๎,2021-11-24,59.5,61.19,57.1,58.16,8871360,
688772.SH,ึ้บฃนฺำ๎,2021-11-25,57.5,58.95,55.1,56.7,7613880,
688772.SH,ึ้บฃนฺำ๎,2021-11-26,57,60.76,56.78,57.6,8559475,
688772.SH,ึ้บฃนฺำ๎,2021-11-29,56.34,60.88,56.34,60,8384144,
688772.SH,ึ้บฃนฺำ๎,2021-11-30,59.91,60.5,57.27,58.59,6230435,
688772.SH,ึ้บฃนฺำ๎,2021-12-01,58.03,58.96,56.96,58.11,4669668,
688772.SH,ึ้บฃนฺำ๎,2021-12-02,57.75,58.65,55.7,56.56,5161109,
688772.SH,ึ้บฃนฺำ๎,2021-12-03,56.02,56.78,53.81,54.1,5435331,
688772.SH,ึ้บฃนฺำ๎,2021-12-06,53.77,56.93,53.47,55.05,7289607,
688772.SH,ึ้บฃนฺำ๎,2021-12-07,55.66,56,51.71,52.8,5953672,
688772.SH,ึ้บฃนฺำ๎,2021-12-08,53.1,53.89,52.6,52.97,2588543,
688772.SH,ึ้บฃนฺำ๎,2021-12-09,52.55,54.35,52.25,52.55,4416631,
688772.SH,ึ้บฃนฺำ๎,2021-12-10,52.64,52.64,50.52,50.64,5533324,
688772.SH,ึ้บฃนฺำ๎,2021-12-13,50.95,51.18,49.55,50.69,3613261,
688772.SH,ึ้บฃนฺำ๎,2021-12-14,50.9,52.2,50.18,51.31,4729319,
688772.SH,ึ้บฃนฺำ๎,2021-12-15,51.49,51.89,50.46,50.55,3554509,
688772.SH,ึ้บฃนฺำ๎,2021-12-16,50,50.66,48.33,50.1,5143084,
688772.SH,ึ้บฃนฺำ๎,2021-12-17,50.48,52.88,50.37,50.5,6160779,
688772.SH,ึ้บฃนฺำ๎,2021-12-20,49.5,50.65,48.5,49.96,3878833,
688772.SH,ึ้บฃนฺำ๎,2021-12-21,49.5,50.29,46.88,47.46,5750863,
688772.SH,ึ้บฃนฺำ๎,2021-12-22,47.81,48.87,47.6,48.45,3875974,
688772.SH,ึ้บฃนฺำ๎,2021-12-23,48.5,49.45,46.3,46.96,5431445,
688772.SH,ึ้บฃนฺำ๎,2021-12-24,48,48,44.68,44.76,4509693,
688772.SH,ึ้บฃนฺำ๎,2021-12-27,44.05,46.39,44.05,45.41,3558581,
688772.SH,ึ้บฃนฺำ๎,2021-12-28,45.65,46.7,44.85,46.21,3588686,
688772.SH,ึ้บฃนฺำ๎,2021-12-29,45.8,47.47,45.65,46.36,3962546,
688772.SH,ึ้บฃนฺำ๎,2021-12-30,46.78,49.8,46,49.16,7341566,
688772.SH,ึ้บฃนฺำ๎,2021-12-31,49.8,50.25,48.51,48.65,3657593,
688772.SH,ึ้บฃนฺำ๎,2022-01-04,48.64,49.39,46.88,47.26,6736204,
688772.SH,ึ้บฃนฺำ๎,2022-01-05,47.26,47.8,44.69,45.61,6170098,
688772.SH,ึ้บฃนฺำ๎,2022-01-06,45.23,47.86,45.15,47.63,5510690,
688772.SH,ึ้บฃนฺำ๎,2022-01-07,47.92,48,45.61,47.26,3468668,
688772.SH,ึ้บฃนฺำ๎,2022-01-10,46.65,48.5,46.32,47.9,2851338,
688772.SH,ึ้บฃนฺำ๎,2022-01-11,47.91,48.38,46.4,47.15,2209128,
688772.SH,ึ้บฃนฺำ๎,2022-01-12,47.54,52.47,47.5,51.45,7905979,
688772.SH,ึ้บฃนฺำ๎,2022-01-13,51.5,52.4,50.12,50.45,3411540,
688772.SH,ึ้บฃนฺำ๎,2022-01-14,50.02,53.37,50.02,51.99,4887516,
688772.SH,ึ้บฃนฺำ๎,2022-01-17,52.4,52.4,49.42,50.37,4256067,
688772.SH,ึ้บฃนฺำ๎,2022-01-18,50,51.22,49.41,50.01,2937466,
688772.SH,ึ้บฃนฺำ๎,2022-01-19,49.96,49.96,48.09,48.2,2416597,
688772.SH,ึ้บฃนฺำ๎,2022-01-20,48.1,48.87,47.23,47.26,2286311,
688772.SH,ึ้บฃนฺำ๎,2022-01-21,47.24,49.75,46.3,49.13,3678089,
688772.SH,ึ้บฃนฺำ๎,2022-01-24,48.84,50.89,48.8,49.9,2378222,
688772.SH,ึ้บฃนฺำ๎,2022-01-25,49.87,50.43,48.04,48.28,2279965,
688772.SH,ึ้บฃนฺำ๎,2022-01-26,48.06,48.96,47.65,48.5,1698292,
688772.SH,ึ้บฃนฺำ๎,2022-01-27,48.2,48.44,44.85,45,3418120,
688772.SH,ึ้บฃนฺำ๎,2022-01-28,46,46.15,43.5,43.78,3304652,
