╢ЗбК,╪РЁф,хуфз,©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),
920118.BJ,л╚╨Чт╤╢С,2024-08-22,23,28.69,22.92,23.13,7995881,
920118.BJ,л╚╨Чт╤╢С,2024-08-23,21,21.86,19.98,20.77,5005140,
920118.BJ,л╚╨Чт╤╢С,2024-08-26,20.12,21.47,19.58,19.68,3094255,
920118.BJ,л╚╨Чт╤╢С,2024-08-27,19.23,19.57,18,18.25,2771678,
920118.BJ,л╚╨Чт╤╢С,2024-08-28,18,20.57,17.82,19.12,3584790,
920118.BJ,л╚╨Чт╤╢С,2024-08-29,18.25,18.86,18.16,18.28,2734930,
920118.BJ,л╚╨Чт╤╢С,2024-08-30,18.11,18.65,18.11,18.15,2177844,
920118.BJ,л╚╨Чт╤╢С,2024-09-02,18.12,18.8,17.89,18.16,2090504,
920118.BJ,л╚╨Чт╤╢С,2024-09-03,18.1,18.19,17.42,17.5,1936339,
920118.BJ,л╚╨Чт╤╢С,2024-09-04,17.6,17.6,17.03,17.12,1336219,
920118.BJ,л╚╨Чт╤╢С,2024-09-05,17.25,17.59,17.12,17.18,773463,
920118.BJ,л╚╨Чт╤╢С,2024-09-06,17.25,17.44,17.15,17.23,1089520,
920118.BJ,л╚╨Чт╤╢С,2024-09-09,17.18,17.23,16.7,16.95,1075481,
920118.BJ,л╚╨Чт╤╢С,2024-09-10,16.97,17.08,16.78,17,762598,
920118.BJ,л╚╨Чт╤╢С,2024-09-11,16.88,17.03,16.7,17,883030,
920118.BJ,л╚╨Чт╤╢С,2024-09-12,16.98,17.1,16.81,17,954415,
920118.BJ,л╚╨Чт╤╢С,2024-09-13,17,19.3,16.85,17.9,3771918,
920118.BJ,л╚╨Чт╤╢С,2024-09-18,17,17.2,16.73,17,2361316,
920118.BJ,л╚╨Чт╤╢С,2024-09-19,16.96,17.47,16.77,17,1455315,
920118.BJ,л╚╨Чт╤╢С,2024-09-20,17.04,17.18,16.8,16.84,1029819,
920118.BJ,л╚╨Чт╤╢С,2024-09-23,16.68,16.68,16.11,16.12,1105600,
920118.BJ,л╚╨Чт╤╢С,2024-09-24,16.23,16.95,16.17,16.68,1281265,
920118.BJ,л╚╨Чт╤╢С,2024-09-25,16.88,17.27,16.73,16.75,1269486,
920118.BJ,л╚╨Чт╤╢С,2024-09-26,16.7,17,16.48,16.96,1150833,
920118.BJ,л╚╨Чт╤╢С,2024-09-27,17.31,18.69,17.11,18.05,2110547,
920118.BJ,л╚╨Чт╤╢С,2024-09-30,18.69,22.35,18.69,22.05,3939164,
920118.BJ,л╚╨Чт╤╢С,2024-10-08,27.74,28.66,24,28.66,4410475,
920118.BJ,л╚╨Чт╤╢С,2024-10-09,26.11,31.5,24.53,24.55,4398010,
920118.BJ,л╚╨Чт╤╢С,2024-10-10,24.8,25.96,23.5,23.87,2327451,
920118.BJ,л╚╨Чт╤╢С,2024-10-11,23,24.89,21.16,21.88,2315359,
920118.BJ,л╚╨Чт╤╢С,2024-10-14,21.9,22.95,21.02,22.5,1909456,
920118.BJ,л╚╨Чт╤╢С,2024-10-15,22.3,22.95,21.74,21.81,1864395,
920118.BJ,л╚╨Чт╤╢С,2024-10-16,21.2,21.95,21.06,21.65,1220850,
920118.BJ,л╚╨Чт╤╢С,2024-10-17,21.81,24.45,21.81,23.3,2727329,
920118.BJ,л╚╨Чт╤╢С,2024-10-18,22.63,25.58,22.63,24.7,2710912,
920118.BJ,л╚╨Чт╤╢С,2024-10-21,24.96,27.2,24.88,26.61,3041264,
920118.BJ,л╚╨Чт╤╢С,2024-10-22,26.75,26.76,23.66,23.66,2206961,
920118.BJ,л╚╨Чт╤╢С,2024-10-23,23.9,24.58,23.21,24.2,1458749,
920118.BJ,л╚╨Чт╤╢С,2024-10-24,24.2,26.36,23.68,25.48,1846744,
920118.BJ,л╚╨Чт╤╢С,2024-10-25,26,27.99,25.38,26.03,3101792,
920118.BJ,л╚╨Чт╤╢С,2024-10-28,25.71,26.85,25.3,26.22,1852547,
920118.BJ,л╚╨Чт╤╢С,2024-10-29,26.5,28.8,26.5,27.77,2661578,
920118.BJ,л╚╨Чт╤╢С,2024-10-30,28.28,31.45,27.6,30.19,3060006,
920118.BJ,л╚╨Чт╤╢С,2024-10-31,30.58,30.58,26.43,27.29,2887624,
920118.BJ,л╚╨Чт╤╢С,2024-11-01,27.01,27.01,25,25,1532497,
920118.BJ,л╚╨Чт╤╢С,2024-11-04,24.98,26.25,24.96,26.25,1086679,
920118.BJ,л╚╨Чт╤╢С,2024-11-05,26.5,28.48,26.5,27.98,1723669,
920118.BJ,л╚╨Чт╤╢С,2024-11-06,28.38,28.99,27.74,28.3,2414387,
920118.BJ,л╚╨Чт╤╢С,2024-11-07,28.03,29.97,27.6,29.82,2262515,
920118.BJ,л╚╨Чт╤╢С,2024-11-08,30.22,30.5,27.81,28.4,1869367,
920118.BJ,л╚╨Чт╤╢С,2024-11-11,28.4,28.88,27.11,28.1,1205686,
920118.BJ,л╚╨Чт╤╢С,2024-11-12,28.26,28.57,27,27.89,1261333,
920118.BJ,л╚╨Чт╤╢С,2024-11-13,27.72,34.6,27.62,31.95,5528099,
920118.BJ,л╚╨Чт╤╢С,2024-11-14,30.79,31.63,28.81,29.02,3233554,
920118.BJ,л╚╨Чт╤╢С,2024-11-15,28.76,30.49,28.01,29.2,2200669,
920118.BJ,л╚╨Чт╤╢С,2024-11-18,30.59,30.75,28.85,29.26,1957898,
920118.BJ,л╚╨Чт╤╢С,2024-11-19,29.26,29.92,25.88,27.8,2367768,
920118.BJ,л╚╨Чт╤╢С,2024-11-20,27.5,28.8,27.17,28.54,1565559,
920118.BJ,л╚╨Чт╤╢С,2024-11-21,28.35,30.4,28.35,29.73,2152968,
920118.BJ,л╚╨Чт╤╢С,2024-11-22,29.73,32,29.3,29.54,2423415,
920118.BJ,л╚╨Чт╤╢С,2024-11-25,28.77,29.92,28.37,29.92,1473445,
920118.BJ,л╚╨Чт╤╢С,2024-11-26,29.86,30.99,29.26,29.26,1275258,
920118.BJ,л╚╨Чт╤╢С,2024-11-27,28.68,29.61,27.17,29.61,1345791,
920118.BJ,л╚╨Чт╤╢С,2024-11-28,29.54,31.99,29.45,30.2,2292485,
920118.BJ,л╚╨Чт╤╢С,2024-11-29,30.25,34,30.02,32.34,2606797,
920118.BJ,л╚╨Чт╤╢С,2024-12-02,32.81,35.86,32.43,32.77,2822339,
920118.BJ,л╚╨Чт╤╢С,2024-12-03,32.32,33.5,31.8,33.1,2342672,
920118.BJ,л╚╨Чт╤╢С,2024-12-04,32.88,36.6,32.2,34.05,2978051,
920118.BJ,л╚╨Чт╤╢С,2024-12-05,33.55,34.01,32.25,32.55,1764331,
920118.BJ,л╚╨Чт╤╢С,2024-12-06,32,33,31.79,31.79,1166585,
920118.BJ,л╚╨Чт╤╢С,2024-12-09,31.33,31.74,29,29.71,1572994,
920118.BJ,л╚╨Чт╤╢С,2024-12-10,31.33,31.5,29,29.2,1155648,
920118.BJ,л╚╨Чт╤╢С,2024-12-11,28.96,29.45,27.91,28,1020957,
920118.BJ,л╚╨Чт╤╢С,2024-12-12,28.12,28.44,27.5,28.43,718762,
920118.BJ,л╚╨Чт╤╢С,2024-12-13,28.27,29.58,28.02,28.72,783575,
920118.BJ,л╚╨Чт╤╢С,2024-12-16,29.04,29.68,28.1,28.58,510241,
920118.BJ,л╚╨Чт╤╢С,2024-12-17,28.41,28.69,27.08,27.25,644962,
920118.BJ,л╚╨Чт╤╢С,2024-12-18,27.25,27.63,26.37,26.69,633163,
920118.BJ,л╚╨Чт╤╢С,2024-12-19,26.5,27.25,25.2,27.01,830549,
920118.BJ,л╚╨Чт╤╢С,2024-12-20,27.19,27.74,26.68,26.68,660676,
920118.BJ,л╚╨Чт╤╢С,2024-12-23,26.28,26.88,25.21,25.39,483196,
920118.BJ,л╚╨Чт╤╢С,2024-12-24,25.65,26.19,25.34,25.97,441629,
920118.BJ,л╚╨Чт╤╢С,2024-12-25,25.84,25.85,24.71,24.8,489501,
920118.BJ,л╚╨Чт╤╢С,2024-12-26,24.65,25.58,24.65,24.97,553034,
920118.BJ,л╚╨Чт╤╢С,2024-12-27,25.07,25.47,24.89,25.1,381853,
920118.BJ,л╚╨Чт╤╢С,2024-12-30,25,25.1,24.13,24.2,450417,
920118.BJ,л╚╨Чт╤╢С,2024-12-31,24.3,25.15,24.02,24.4,444071,
