代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
920198.BJ,微创光电,2020-07-27,23.38,23.38,16.01,16.4,3350531,
920198.BJ,微创光电,2020-07-28,16.39,17.11,15.35,16.74,1212558,
920198.BJ,微创光电,2020-07-29,16.8,18.38,16.74,18.22,1858298,
920198.BJ,微创光电,2020-07-30,18.4,18.88,18.11,18.22,1344165,
920198.BJ,微创光电,2020-07-31,18.03,18.42,17.72,18.23,805258,
920198.BJ,微创光电,2020-08-03,18.49,19.1,18.23,19,1415145,
920198.BJ,微创光电,2020-08-04,19.14,19.19,18.21,18.6,1118804,
920198.BJ,微创光电,2020-08-05,18.65,18.9,18.26,18.28,504278,
920198.BJ,微创光电,2020-08-06,18.48,18.5,18.03,18.07,414608,
920198.BJ,微创光电,2020-08-07,18.28,18.28,17.38,17.51,347708,
920198.BJ,微创光电,2020-08-10,17.61,17.74,17.31,17.58,552899,
920198.BJ,微创光电,2020-08-11,17.52,17.78,17.3,17.32,537256,
920198.BJ,微创光电,2020-08-12,17.31,17.32,17.02,17.23,182894,
920198.BJ,微创光电,2020-08-13,17.3,17.39,17.16,17.2,175180,
920198.BJ,微创光电,2020-08-14,17.2,17.42,17.08,17.2,310299,
920198.BJ,微创光电,2020-08-17,17.21,17.25,17,17.25,254427,
920198.BJ,微创光电,2020-08-18,17.13,17.39,16.75,16.83,360817,
920198.BJ,微创光电,2020-08-19,16.81,17.12,16.68,16.69,152211,
920198.BJ,微创光电,2020-08-20,16.55,16.87,16.55,16.6,121936,
920198.BJ,微创光电,2020-08-21,16.54,16.85,16.53,16.8,58155,
920198.BJ,微创光电,2020-08-24,16.6,16.96,16.6,16.9,124963,
920198.BJ,微创光电,2020-08-25,16.75,16.95,16.53,16.56,240637,
920198.BJ,微创光电,2020-08-26,16.73,17.37,16.73,17.17,232402,
920198.BJ,微创光电,2020-08-27,17.04,17.25,16.93,17.16,90504,
920198.BJ,微创光电,2020-08-28,17.18,17.35,17.11,17.32,173426,
920198.BJ,微创光电,2020-08-31,17.33,17.39,17.08,17.11,116378,
920198.BJ,微创光电,2020-09-01,17.13,17.29,17.12,17.21,135126,
920198.BJ,微创光电,2020-09-02,17.2,17.25,17.04,17.12,95978,
920198.BJ,微创光电,2020-09-03,17.05,17.24,17.02,17.18,94550,
920198.BJ,微创光电,2020-09-04,17,17.17,16.93,17.09,48793,
920198.BJ,微创光电,2020-09-07,17.09,17.09,16.9,16.92,58474,
920198.BJ,微创光电,2020-09-08,16.81,16.89,16.6,16.77,171782,
920198.BJ,微创光电,2020-09-09,16.63,16.76,15.79,16.02,180755,
920198.BJ,微创光电,2020-09-10,16.26,16.26,15.86,16.11,68504,
920198.BJ,微创光电,2020-09-11,15.84,16.09,15.72,15.94,47720,
920198.BJ,微创光电,2020-09-14,15.89,16.28,15.89,16.21,46598,
920198.BJ,微创光电,2020-09-15,16.22,16.22,15.9,16.02,37271,
920198.BJ,微创光电,2020-09-16,16.05,16.1,15.91,16.05,43072,
920198.BJ,微创光电,2020-09-17,16.05,16.29,16,16.26,56239,
920198.BJ,微创光电,2020-09-18,16.1,16.48,16.1,16.36,25861,
920198.BJ,微创光电,2020-09-21,16.18,16.4,16.12,16.18,18934,
920198.BJ,微创光电,2020-09-22,16.03,16.11,15.86,15.96,77785,
920198.BJ,微创光电,2020-09-23,15.83,15.97,15.71,15.71,62798,
920198.BJ,微创光电,2020-09-24,15.66,15.71,15.48,15.52,39258,
920198.BJ,微创光电,2020-09-25,15.51,15.6,15.36,15.46,45852,
920198.BJ,微创光电,2020-09-28,15.46,15.67,15.4,15.47,36436,
920198.BJ,微创光电,2020-09-29,15.45,15.66,15.31,15.49,30258,
920198.BJ,微创光电,2020-09-30,15.86,15.87,15.53,15.7,45566,
920198.BJ,微创光电,2020-10-09,15.96,16.05,15.65,16.05,92683,
920198.BJ,微创光电,2020-10-12,16.11,16.95,16.11,16.73,151512,
920198.BJ,微创光电,2020-10-13,16.97,17.49,16.92,17.47,436778,
920198.BJ,微创光电,2020-10-14,17.54,17.85,17.4,17.53,241948,
920198.BJ,微创光电,2020-10-15,17.49,17.74,17.28,17.45,144519,
920198.BJ,微创光电,2020-10-16,17.31,17.68,17.31,17.56,92355,
920198.BJ,微创光电,2020-10-19,17.75,18.15,17.61,17.92,214542,
920198.BJ,微创光电,2020-10-20,18,18.15,17.61,17.91,113480,
920198.BJ,微创光电,2020-10-21,18,18.05,17.83,17.84,59213,
920198.BJ,微创光电,2020-10-22,17.81,17.9,17.76,17.88,89642,
