´úÂë,¼ò³Æ,ÈÕÆÚ,¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),
920357.BJ,ÑÅÝáÐù,2022-11-18,13.33,13.89,13.11,13.44,4484639,
920357.BJ,ÑÅÝáÐù,2022-11-21,13.5,14.06,13.41,13.79,2824502,
920357.BJ,ÑÅÝáÐù,2022-11-22,13.55,13.73,13.3,13.5,1316424,
920357.BJ,ÑÅÝáÐù,2022-11-23,13.48,13.58,13.33,13.55,589530,
920357.BJ,ÑÅÝáÐù,2022-11-24,13.47,13.58,13.44,13.46,371119,
920357.BJ,ÑÅÝáÐù,2022-11-25,13.48,13.54,13.3,13.36,445481,
920357.BJ,ÑÅÝáÐù,2022-11-28,13.3,13.3,13.1,13.18,328921,
920357.BJ,ÑÅÝáÐù,2022-11-29,13.2,13.25,13.16,13.19,266158,
920357.BJ,ÑÅÝáÐù,2022-11-30,13.2,13.24,13.15,13.23,167835,
920357.BJ,ÑÅÝáÐù,2022-12-01,13.3,13.3,13.21,13.26,165209,
920357.BJ,ÑÅÝáÐù,2022-12-02,13.3,13.37,13.22,13.31,173014,
920357.BJ,ÑÅÝáÐù,2022-12-05,13.33,13.37,13.23,13.26,188148,
920357.BJ,ÑÅÝáÐù,2022-12-06,13.23,13.25,13.2,13.23,180564,
920357.BJ,ÑÅÝáÐù,2022-12-07,13.24,13.28,13.17,13.18,166078,
920357.BJ,ÑÅÝáÐù,2022-12-08,13.23,13.25,13.09,13.16,252222,
920357.BJ,ÑÅÝáÐù,2022-12-09,13.17,13.19,13.06,13.1,150600,
920357.BJ,ÑÅÝáÐù,2022-12-12,13.04,13.18,13.04,13.05,109357,
920357.BJ,ÑÅÝáÐù,2022-12-13,13.1,13.1,13.01,13.03,136248,
920357.BJ,ÑÅÝáÐù,2022-12-14,13.02,13.07,13,13.04,95284,
