測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
920438.BJ,資捺暪,2024-03-25,23.74,27.58,19.77,22.71,37007922,
920438.BJ,資捺暪,2024-03-26,22,26.18,21.83,24.77,22510686,
920438.BJ,資捺暪,2024-03-27,25.55,26.5,24.11,25.28,14818803,
920438.BJ,資捺暪,2024-03-28,25.32,27.49,24.18,26.33,13831987,
920438.BJ,資捺暪,2024-03-29,26.88,29.29,26.49,29.29,13994521,
920438.BJ,資捺暪,2024-04-01,29.31,29.97,27.61,27.85,13540509,
920438.BJ,資捺暪,2024-04-02,27.79,28.48,27.05,27.65,10752159,
920438.BJ,資捺暪,2024-04-03,26.98,27.38,24.67,26.93,13530824,
920438.BJ,資捺暪,2024-04-08,26.5,26.71,24.3,24.33,8634482,
920438.BJ,資捺暪,2024-04-09,23.99,24.48,22.82,23.51,8016102,
920438.BJ,資捺暪,2024-04-10,23.48,24.3,22.61,23,7377845,
920438.BJ,資捺暪,2024-04-11,22.55,22.59,20.46,20.55,9566606,
920438.BJ,資捺暪,2024-04-12,20.6,21,19,19.45,10870161,
920438.BJ,資捺暪,2024-04-15,19.62,21.19,19.11,20.02,9813034,
920438.BJ,資捺暪,2024-04-16,19.7,19.75,18.02,18.2,8189856,
920438.BJ,資捺暪,2024-04-17,18.79,19.94,18.5,19.5,7871511,
920438.BJ,資捺暪,2024-04-18,19.9,21.3,18.81,18.88,11043413,
920438.BJ,資捺暪,2024-04-19,18,18.03,16.8,16.87,11069791,
920438.BJ,資捺暪,2024-04-22,16.5,16.7,16.1,16.5,5613906,
920438.BJ,資捺暪,2024-04-23,16.55,17.07,16.46,16.63,3699933,
920438.BJ,資捺暪,2024-04-24,16.6,17.4,16.33,17.08,5229251,
920438.BJ,資捺暪,2024-04-25,17.05,17.89,17.05,17.33,4873792,
920438.BJ,資捺暪,2024-04-26,17.1,18.79,17.1,18.75,6475465,
920438.BJ,資捺暪,2024-04-29,19.06,19.45,17.57,17.69,9376060,
920438.BJ,資捺暪,2024-04-30,17.63,17.66,16.86,16.94,5350675,
920438.BJ,資捺暪,2024-05-06,17.12,17.48,16.66,16.82,4802460,
920438.BJ,資捺暪,2024-05-07,16.95,17.28,16.91,17.08,3750307,
920438.BJ,資捺暪,2024-05-08,17.16,17.31,16.54,17.31,4920966,
920438.BJ,資捺暪,2024-05-09,16.9,17.44,16.8,17.14,5111498,
920438.BJ,資捺暪,2024-05-10,17.01,17.14,16.26,16.38,4315984,
920438.BJ,資捺暪,2024-05-13,16.11,16.21,15.52,15.56,3887228,
920438.BJ,資捺暪,2024-05-14,15.44,15.98,15.3,15.83,2748649,
920438.BJ,資捺暪,2024-05-15,15.89,15.89,15.31,15.39,2347117,
920438.BJ,資捺暪,2024-05-16,15.45,15.85,15.2,15.34,1844317,
920438.BJ,資捺暪,2024-05-17,15.1,16.17,14.78,16.06,5860985,
920438.BJ,資捺暪,2024-05-20,16.59,17.4,16.35,16.47,8866778,
920438.BJ,資捺暪,2024-05-21,15.74,16.26,15.52,15.78,5518587,
920438.BJ,資捺暪,2024-05-22,15.69,16.77,15.31,16.6,6262180,
920438.BJ,資捺暪,2024-05-23,16.55,18.57,16.07,17.68,11545769,
920438.BJ,資捺暪,2024-05-24,17.49,17.68,16.3,16.31,6761585,
