ด๚ย๋,ผ๒ณฦ,ศีฦฺ,ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),
920706.BJ,ฬ๚อุป๚ะต,2024-03-08,15,20,15,16.06,20261387,
920706.BJ,ฬ๚อุป๚ะต,2024-03-11,14.89,15.06,13.87,14.03,14049854,
920706.BJ,ฬ๚อุป๚ะต,2024-03-12,14.1,14.63,13.98,14.1,8132910,
920706.BJ,ฬ๚อุป๚ะต,2024-03-13,14.05,14.29,13.5,13.67,7362916,
920706.BJ,ฬ๚อุป๚ะต,2024-03-14,13.9,14.08,13.42,13.7,5677853,
920706.BJ,ฬ๚อุป๚ะต,2024-03-15,13.56,14.13,13.43,14.03,8675804,
920706.BJ,ฬ๚อุป๚ะต,2024-03-18,13.93,14.35,13.76,13.76,6530194,
920706.BJ,ฬ๚อุป๚ะต,2024-03-19,13.69,13.78,13.13,13.2,5898878,
920706.BJ,ฬ๚อุป๚ะต,2024-03-20,13.11,13.23,12.91,13.06,3849373,
920706.BJ,ฬ๚อุป๚ะต,2024-03-21,13.12,13.36,12.83,12.9,2900043,
920706.BJ,ฬ๚อุป๚ะต,2024-03-22,12.86,12.96,12.2,12.21,4240191,
920706.BJ,ฬ๚อุป๚ะต,2024-03-25,12.19,12.5,11.9,12.02,3544249,
920706.BJ,ฬ๚อุป๚ะต,2024-03-26,11.97,12.49,11.91,12.24,2780781,
920706.BJ,ฬ๚อุป๚ะต,2024-03-27,12.1,12.54,11.87,11.87,3470648,
920706.BJ,ฬ๚อุป๚ะต,2024-03-28,11.8,11.99,11.5,11.65,2702716,
920706.BJ,ฬ๚อุป๚ะต,2024-03-29,11.63,11.88,11.57,11.73,1742894,
920706.BJ,ฬ๚อุป๚ะต,2024-04-01,11.8,11.91,11.63,11.68,1728980,
920706.BJ,ฬ๚อุป๚ะต,2024-04-02,11.7,11.7,11.47,11.5,1414314,
920706.BJ,ฬ๚อุป๚ะต,2024-04-03,11.52,11.56,11.11,11.12,1663072,
920706.BJ,ฬ๚อุป๚ะต,2024-04-08,11.29,11.29,10.77,10.79,1395035,
920706.BJ,ฬ๚อุป๚ะต,2024-04-09,10.7,11.27,10.7,11.1,1684910,
920706.BJ,ฬ๚อุป๚ะต,2024-04-10,11.2,11.83,11.1,11.58,4152839,
